TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,126.6800,no,unknown,unknown,unknown,Unknown,-18.8132,-5.8387,-0.6826,0.0018,0.0046,0.4268,0.0240,0.0046,0.1924,0.1941,-0.1616,0.0812,0.0002,0.0002,0.0110,0.0565,0.1395,0.0011,0.0000,0.0027,0.0007,0.0026,0.2465,0.0268,0.0594,0.0003,96.2030,0.0000,0.0028,6.2548,0.0013,0.0014,0.0667,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0000,0.0039,2.2978,2.2978,0.0018,0.0281,
0.0667,0,127.8460,no,unknown,unknown,unknown,Unknown,-19.6161,-5.3923,-0.0556,0.0018,0.0046,0.4279,0.0240,0.0046,0.1925,0.1947,-0.1698,0.0813,0.0003,0.0003,0.0115,0.0584,0.1572,0.0010,0.0000,0.0021,0.0008,0.0032,0.2440,0.0406,0.0906,0.0004,96.5161,0.0000,0.0034,6.1228,0.0011,0.0014,0.1170,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0000,0.0055,2.2978,2.2978,0.0018,0.0281,
0.1333,0,131.9120,no,unknown,unknown,unknown,Unknown,-16.2870,-5.3264,-0.5793,0.0018,0.0046,0.4290,0.0242,0.0046,0.1914,0.1990,-0.1536,0.0809,0.0001,0.0005,0.0113,0.1745,0.1216,0.0020,0.0001,0.0011,0.0011,0.0040,0.1622,0.0725,0.2732,0.0054,96.5601,0.0000,0.0272,7.0465,0.0008,0.0020,0.3950,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0000,0.0046,2.2978,2.2978,0.0018,0.0282,
0.2000,0,132.5775,no,unknown,unknown,unknown,Unknown,-17.0009,-4.6287,-0.3742,0.0018,0.0046,0.4303,0.0245,0.0047,0.1900,0.2047,-0.1539,0.0814,0.0000,0.0006,0.0105,0.3080,0.1062,0.0035,0.0001,0.0009,0.0014,0.0043,0.1116,0.0867,0.5147,0.0381,96.9946,0.0000,0.0717,7.2352,0.0009,0.0024,0.8479,0.0018,0.0018,0.0018,0.0018,0.0018,0.0047,0.0000,0.0041,2.2979,2.2979,0.0018,0.0284,
0.2667,0,127.9423,no,unknown,unknown,unknown,Unknown,-15.6769,-4.0467,-3.3438,0.0017,0.0050,0.4404,0.0263,0.0052,0.1796,0.2013,-0.6219,0.0895,0.0000,0.0004,0.0126,1.4256,0.2509,0.0030,0.0006,0.0009,0.0031,0.0114,0.2388,0.3221,0.1599,0.0085,97.3160,0.0000,0.0217,9.2709,0.0015,0.0071,0.6088,0.0018,0.0018,0.0015,0.0018,0.0018,0.0052,0.0000,0.0038,2.2979,2.2979,0.0018,0.0284,
0.3333,0,129.6305,no,unknown,unknown,unknown,Unknown,-13.7357,-2.7694,-2.5203,0.0013,0.0065,0.4734,0.0343,0.0074,0.1470,0.2144,-1.9759,0.1231,0.0000,0.0004,0.0124,5.2515,0.5822,0.0018,0.0026,0.0010,0.0062,0.0767,0.2877,0.9670,0.0829,0.0028,97.9084,0.0000,0.0077,14.5959,0.0032,0.0254,0.6718,0.0018,0.0017,0.0012,0.0018,0.0018,0.0074,0.0000,0.0036,2.2979,2.2979,0.0018,0.0285,
0.4000,0,126.4739,no,unknown,unknown,unknown,Unknown,-12.1652,4.3410,1.0940,0.0008,0.0099,0.5015,0.0570,0.0142,0.0980,0.2434,-4.2220,0.2021,0.0000,0.0004,0.0119,12.0965,0.9396,0.0007,0.0039,0.0009,0.0103,0.1937,0.2096,1.0720,0.0688,0.0009,97.1579,0.0000,0.0029,18.3190,0.0068,0.0513,0.4028,0.0017,0.0015,0.0010,0.0018,0.0018,0.0142,0.0000,0.0036,2.2979,2.2979,0.0018,0.0285,
0.4667,0,120.8106,no,unknown,unknown,unknown,Unknown,-6.6972,7.0341,1.5396,0.0008,0.0115,0.5748,0.0592,0.0163,0.0964,0.2493,-5.2307,0.2480,0.0000,0.0005,0.0140,13.4862,1.5145,0.0004,0.0070,0.0010,0.0168,1.2961,0.1140,2.5549,0.0503,0.0001,95.2265,0.0000,0.0025,18.0585,0.0103,0.0697,0.3684,0.0016,0.0014,0.0010,0.0018,0.0018,0.0163,0.0000,0.0039,2.2979,2.2979,0.0018,0.0285,
0.5333,0,121.1301,no,unknown,unknown,unknown,Unknown,-1.7522,6.2147,4.0303,0.0004,0.0264,0.5306,0.1314,0.0504,0.0539,0.3106,-8.1508,0.6958,0.0000,0.0005,0.0133,25.2520,0.5214,0.0002,0.0096,0.0003,0.0202,0.9969,0.0303,5.2955,0.0476,0.0002,95.9186,0.0000,0.0018,22.4115,0.0091,0.0305,0.1545,0.0015,0.0013,0.0011,0.0018,0.0018,0.0504,0.0000,0.0053,2.2978,2.2978,0.0018,0.0284,
0.6000,0,118.1934,no,unknown,unknown,unknown,Unknown,-1.7043,8.2565,3.2722,0.0001,0.0743,0.5281,0.3805,0.2148,0.0241,0.4123,-12.4773,2.4336,0.0000,0.0005,0.0125,40.5177,0.1586,0.0001,0.0120,0.0001,0.0159,0.7691,0.0127,7.8061,0.0304,0.0013,93.9840,0.0000,0.0013,28.5244,0.0154,0.0395,0.1152,0.0014,0.0012,0.0011,0.0018,0.0018,0.2148,0.0000,0.0188,2.2978,2.2978,0.0018,0.0284,
0.6667,0,115.4615,no,unknown,unknown,unknown,Unknown,2.4501,9.1694,0.9465,0.0002,0.0735,0.5498,0.2651,0.1587,0.0347,0.3880,-11.4278,2.5502,0.0000,0.0005,0.0169,37.3498,0.0838,0.0001,0.0117,0.0001,0.0144,0.5692,0.0068,11.6458,0.0150,0.0014,92.8649,0.0000,0.0004,30.4246,0.0235,0.0311,0.1032,0.0013,0.0011,0.0012,0.0018,0.0018,0.1587,0.0000,2.7749,2.2978,2.2978,0.0018,0.0284,
0.7333,0,114.7775,no,unknown,unknown,unknown,Unknown,-0.0549,8.7691,1.2798,0.0001,0.1295,0.5655,0.4416,0.3290,0.0241,0.4484,-13.6494,5.0556,0.0001,0.0005,0.0169,45.0891,0.0451,0.0000,0.0184,0.0001,0.0154,0.2834,0.0069,13.8519,0.0164,0.0003,93.3775,0.0000,0.0001,31.9650,0.0488,0.0348,0.1010,0.0012,0.0010,0.0012,0.0018,0.0018,0.3290,0.0000,10.5518,2.2978,2.2978,0.0018,0.0284,
0.8000,0,116.9265,no,unknown,unknown,unknown,Unknown,0.2490,8.6545,0.6201,0.0005,0.0257,0.4996,0.1058,0.0413,0.0669,0.2987,-7.1534,0.6942,0.0001,0.0004,0.0124,23.1678,0.0265,0.0000,0.0253,0.0001,0.0128,0.5672,0.0062,7.3467,0.0476,0.0004,93.5178,0.0000,0.0001,25.2644,0.1737,0.0289,0.0541,0.0012,0.0009,0.0012,0.0018,0.0018,0.0413,0.0000,17.3377,2.2978,2.2978,0.0018,0.0283,
0.8667,0,113.5485,no,unknown,unknown,unknown,Unknown,1.8630,10.1352,-0.2383,0.0006,0.0148,0.4507,0.0832,0.0256,0.0729,0.2730,-5.8962,0.3334,0.0001,0.0005,0.0111,17.9280,0.0243,0.0000,0.0202,0.0002,0.0168,1.6324,0.0058,2.2678,0.1251,0.0026,91.4742,0.0000,0.0001,21.7611,0.9495,0.0349,0.0338,0.0012,0.0009,0.0012,0.0018,0.0018,0.0256,0.0000,23.1697,2.2978,2.2978,0.0018,0.0283,
0.9333,0,112.4728,no,unknown,unknown,unknown,Unknown,-1.1601,8.2410,1.5048,0.0008,0.0107,0.4371,0.0610,0.0177,0.0881,0.2525,-5.2963,0.2762,0.0002,0.0006,0.0101,13.6429,0.0244,0.0000,0.0220,0.0002,0.0131,3.9124,0.0071,0.7675,0.1437,0.0093,94.0015,0.0000,0.0000,18.5711,3.9156,0.0355,0.0255,0.0012,0.0009,0.0011,0.0018,0.0018,0.0177,0.0000,28.2233,2.2978,2.2978,0.0018,0.0283,
1.0000,0,110.3623,no,unknown,unknown,unknown,Unknown,0.2734,9.3232,2.4300,0.0008,0.0102,0.4319,0.0526,0.0196,0.0882,0.2521,-7.6410,0.4819,0.0002,0.0004,0.0073,13.2777,0.0203,0.0000,0.0208,0.0003,0.0131,12.0981,0.0117,0.3116,0.1942,0.0069,92.6584,0.0000,0.0000,19.6820,23.4058,0.0472,0.0242,0.0012,0.0009,0.0010,0.0018,0.0018,0.0196,0.0000,32.6244,2.2978,2.2978,0.0018,0.0283,
1.0667,0,110.8030,no,unknown,unknown,unknown,Unknown,4.5305,10.0122,2.9317,0.0006,0.0132,0.4288,0.0695,0.0316,0.0672,0.2765,-10.0245,0.8452,0.0001,0.0005,0.0059,17.6987,0.0178,0.0000,0.0221,0.0011,0.0127,15.5930,0.0410,0.1635,0.2854,0.0011,91.6641,0.0000,0.0000,19.3188,75.9888,0.0548,0.0175,0.0011,0.0008,0.0009,0.0018,0.0018,0.0316,0.0000,38.6804,2.2978,2.2978,0.0018,0.0283,
1.1333,0,110.7084,no,unknown,unknown,unknown,Unknown,5.5169,11.1816,2.7909,0.0004,0.0187,0.4244,0.0996,0.0599,0.0471,0.3183,-13.2769,1.7966,0.0001,0.0005,0.0047,23.5760,0.0092,0.0000,0.0389,0.0064,0.0173,20.4077,0.1600,0.1037,0.5770,0.0002,89.6941,0.0000,0.0000,18.0519,95.4300,0.0860,0.0155,0.0011,0.0007,0.0008,0.0018,0.0018,0.0599,0.0000,44.0525,2.2978,2.2978,0.0018,0.0283,
