TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,135.2535,no,unknown,unknown,unknown,Unknown,0.6708,9.6878,-3.4776,0.0018,0.0046,0.4267,0.0241,0.0046,0.1924,0.1933,-0.0780,0.0803,0.0000,0.0079,0.0483,0.0846,0.0092,0.0001,0.0032,0.1411,0.0074,0.0221,0.0001,0.0265,0.0145,0.0021,92.1467,0.0000,0.0141,0.3251,0.0033,0.0021,0.4572,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0000,0.0018,2.2978,2.2978,0.0018,0.0285,
0.0667,0,130.2626,no,unknown,unknown,unknown,Unknown,2.9306,9.5375,2.9102,0.0018,0.0046,0.4266,0.0240,0.0045,0.1947,0.1964,-0.0508,0.0805,0.0000,0.0200,0.2047,0.0149,0.0102,0.0000,0.0280,0.0565,0.0130,0.0244,0.0007,0.0125,0.1794,0.0022,92.3615,0.0000,0.0222,0.3473,0.0108,0.0020,0.4351,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0285,
0.1333,0,126.9905,no,unknown,unknown,unknown,Unknown,3.3975,7.0040,14.8090,0.0018,0.0046,0.4268,0.0240,0.0044,0.1968,0.1932,-0.0622,0.0816,0.0000,0.0916,0.3693,0.0047,0.0149,0.0000,0.0169,0.0790,0.0140,0.0188,0.0037,0.0093,0.0229,0.0001,95.2538,0.0000,0.0410,0.5367,0.0039,0.0008,0.3990,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0018,2.2978,2.2978,0.0018,0.0285,
0.2000,0,127.3726,no,unknown,unknown,unknown,Unknown,0.8708,5.5963,15.8263,0.0018,0.0047,0.4280,0.0238,0.0042,0.2052,0.1944,-0.0581,0.0857,0.0000,0.2849,1.0884,0.0023,0.0370,0.0000,0.0082,0.0519,0.0131,0.0172,0.0121,0.0103,0.0845,0.0000,96.3762,0.0000,0.1915,0.5049,0.0064,0.0008,0.4403,0.0018,0.0018,0.0018,0.0018,0.0018,0.0042,0.0000,0.0018,2.2978,2.2978,0.0018,0.0285,
0.2667,0,119.3622,no,unknown,unknown,unknown,Unknown,-4.3375,-0.4951,18.9371,0.0017,0.0049,0.4314,0.0230,0.0040,0.2169,0.1945,-0.1320,0.0929,0.0000,0.1984,2.2431,0.0023,0.1086,0.0000,0.0085,0.0191,0.0104,0.0231,0.0264,0.0169,0.0896,0.0002,98.6626,0.0000,0.0226,0.3272,0.0170,0.0015,0.4326,0.0018,0.0018,0.0018,0.0018,0.0018,0.0040,0.0000,0.0018,2.2978,2.2978,0.0018,0.0285,
0.3333,0,122.6481,no,unknown,unknown,unknown,Unknown,-4.3017,-5.3736,21.3959,0.0017,0.0048,0.4334,0.0231,0.0041,0.2127,0.1960,-0.1477,0.0908,0.0000,0.1224,1.8986,0.0016,0.1617,0.0000,0.0114,0.0096,0.0077,0.0237,0.0481,0.0136,0.1620,0.0003,96.5286,0.0000,0.0069,0.2398,0.0326,0.0023,0.3090,0.0018,0.0018,0.0018,0.0018,0.0018,0.0041,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
0.4000,0,122.3989,no,unknown,unknown,unknown,Unknown,-2.8779,-5.0413,13.2911,0.0018,0.0047,0.4348,0.0235,0.0043,0.2022,0.1961,-0.1398,0.0846,0.0000,0.0537,0.9155,0.0016,0.1828,0.0000,0.0086,0.0124,0.0103,0.0384,0.0376,0.0186,0.1643,0.0001,96.7445,0.0000,0.0018,0.2014,0.0258,0.0035,0.2331,0.0018,0.0018,0.0018,0.0018,0.0018,0.0043,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
0.4667,0,122.6325,no,unknown,unknown,unknown,Unknown,-4.7303,-2.3199,4.9514,0.0018,0.0046,0.4302,0.0238,0.0044,0.1965,0.1986,-0.1130,0.0816,0.0000,0.0271,0.3676,0.0009,0.1101,0.0000,0.0048,0.0069,0.0060,0.0909,0.0592,0.0141,0.2858,0.0000,98.0848,0.0000,0.0023,0.1504,0.0470,0.0073,0.1540,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
0.5333,0,122.7554,no,unknown,unknown,unknown,Unknown,-2.2827,-1.7430,4.5696,0.0018,0.0046,0.4219,0.0237,0.0045,0.1959,0.2009,-0.1437,0.0823,0.0000,0.0223,0.3109,0.0003,0.0587,0.0000,0.0041,0.0036,0.0043,0.0872,0.2608,0.0130,0.3959,0.0000,98.2900,0.0000,0.0018,0.1214,0.0637,0.0083,0.1303,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0284,
0.6000,0,126.8634,no,unknown,unknown,unknown,Unknown,-1.1434,-0.6856,0.5803,0.0018,0.0046,0.3993,0.0235,0.0045,0.1954,0.2149,-0.3580,0.0868,0.0000,0.0201,0.2548,0.0002,0.0399,0.0000,0.0035,0.0032,0.0043,0.0294,1.0687,0.0122,1.0277,0.0000,98.6114,0.0000,0.0020,0.0899,0.1161,0.0137,0.1383,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0283,
0.6667,0,129.7349,no,unknown,unknown,unknown,Unknown,-2.2253,0.2701,3.5090,0.0018,0.0046,0.4017,0.0236,0.0045,0.1938,0.2110,-0.3082,0.0852,0.0000,0.0116,0.1014,0.0002,0.0258,0.0000,0.0028,0.0063,0.0075,0.0097,0.9519,0.0116,0.8575,0.0000,98.7207,0.0000,0.0015,0.0605,0.1298,0.0144,0.1622,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0283,
0.7333,0,129.2781,no,unknown,unknown,unknown,Unknown,-5.2564,1.9941,1.7387,0.0018,0.0045,0.3970,0.0236,0.0045,0.1933,0.2103,-0.3369,0.0857,0.0000,0.0052,0.0526,0.0003,0.0067,0.0000,0.0022,0.0069,0.0114,0.0022,1.0949,0.0093,0.8245,0.0000,98.2035,0.0000,0.0022,0.0390,0.1805,0.0175,0.1585,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0283,
0.8000,0,129.2400,no,unknown,unknown,unknown,Unknown,-5.4509,2.0542,-11.0575,0.0018,0.0045,0.3885,0.0235,0.0045,0.1929,0.2212,-0.4283,0.0875,0.0001,0.0024,0.0186,0.0002,0.0024,0.0000,0.0020,0.0096,0.0211,0.0008,1.4186,0.0075,1.3003,0.0010,98.1821,0.0000,0.0092,0.0377,0.1376,0.0169,0.1204,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0283,
0.8667,0,130.3585,yes,unknown,unknown,unknown,Unknown,-3.8137,3.5855,6.7568,0.0018,0.0045,0.3844,0.0234,0.0045,0.1928,0.2146,-0.4631,0.0885,0.0002,0.0014,0.0106,0.0003,0.0009,0.0000,0.0016,0.0147,0.0310,0.0018,1.5788,0.0049,1.0144,0.0001,97.5467,0.0000,0.0435,0.0395,0.1509,0.0209,0.0851,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0283,
0.9333,0,127.9044,yes,unknown,unknown,unknown,Unknown,-4.0549,3.3040,5.5833,0.0018,0.0045,0.3371,0.0226,0.0045,0.1929,0.2039,-1.0062,0.1022,0.0002,0.0012,0.0164,0.0004,0.0003,0.0000,0.0014,0.0087,0.0407,0.0043,3.5904,0.0041,0.5365,0.0000,97.6779,0.0000,0.1905,0.0513,0.2212,0.0225,0.0637,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2979,2.2979,0.0018,0.0283,
1.0000,0,127.3459,yes,unknown,unknown,unknown,Unknown,-3.9969,2.9123,3.5097,0.0018,0.0045,0.2871,0.0217,0.0045,0.1928,0.1999,-1.7566,0.1217,0.0002,0.0016,0.0144,0.0006,0.0002,0.0000,0.0012,0.0154,0.0516,0.0157,6.0472,0.0038,0.3450,0.0001,97.8491,0.0000,0.1707,0.0584,0.1723,0.0256,0.0568,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2979,2.2979,0.0018,0.0283,
1.0667,0,127.2907,yes,unknown,unknown,unknown,Unknown,-5.2979,1.2582,0.6108,0.0018,0.0045,0.2510,0.0210,0.0045,0.1929,0.1961,-2.3922,0.1410,0.0002,0.0014,0.0167,0.0012,0.0001,0.0000,0.0010,0.0154,0.0716,0.0331,8.1067,0.0027,0.1675,0.0002,98.4455,0.0000,0.1391,0.0813,0.1484,0.0239,0.0378,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2979,2.2979,0.0018,0.0282,
1.1333,0,132.1555,yes,unknown,unknown,unknown,Unknown,-4.2366,3.0818,0.4367,0.0018,0.0045,0.2471,0.0209,0.0045,0.1928,0.1952,-2.4648,0.1434,0.0002,0.0016,0.0125,0.0023,0.0001,0.0000,0.0007,0.0181,0.0788,0.0349,8.3440,0.0030,0.1210,0.0001,97.7766,0.0000,0.1397,0.1250,0.0966,0.0245,0.0336,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2979,2.2979,0.0018,0.0282,
1.2000,0,129.9382,yes,unknown,unknown,unknown,Unknown,-4.5327,0.3910,0.7362,0.0018,0.0045,0.1052,0.0168,0.0045,0.1928,0.1969,-6.4121,0.3640,0.0001,0.0015,0.0147,0.0027,0.0001,0.0000,0.0006,0.0051,0.0893,0.0324,21.4171,0.0032,0.2047,0.0001,98.6898,0.0000,0.0648,0.1599,0.1111,0.0268,0.0273,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2979,2.2979,0.0018,0.0282,
1.2667,0,130.7534,yes,unknown,unknown,unknown,Unknown,-4.2906,-1.7171,0.5355,0.0018,0.0045,0.0382,0.0130,0.0045,0.1928,0.2077,-11.0748,1.0918,0.0000,0.0016,0.0122,0.0040,0.0003,0.0000,0.0005,0.0045,0.1075,0.0282,36.8989,0.0029,0.7068,0.0000,98.2986,0.0000,0.0172,0.2521,0.1106,0.0331,0.0260,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0020,2.2979,2.2979,0.0018,0.0281,
1.3333,0,130.1827,yes,unknown,unknown,unknown,Unknown,-3.6012,-2.4678,1.3723,0.0018,0.0045,0.0178,0.0107,0.0045,0.1927,0.2401,-14.5803,2.4771,0.0000,0.0025,0.0118,0.0080,0.0005,0.0000,0.0004,0.0040,0.1184,0.0258,48.5664,0.0024,2.0749,0.0000,98.0285,0.0000,0.0055,0.3399,0.0747,0.0239,0.0252,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0020,2.2979,2.2979,0.0018,0.0281,
1.4000,0,132.8217,yes,unknown,unknown,unknown,Unknown,-4.5550,-3.5582,1.4290,0.0018,0.0045,0.0083,0.0088,0.0045,0.1927,0.3023,-18.0683,5.5003,0.0000,0.0058,0.0090,0.0109,0.0008,0.0000,0.0003,0.0048,0.1848,0.0330,60.1759,0.0024,4.2464,0.0000,97.5597,0.0000,0.0037,0.4914,0.0614,0.0202,0.0349,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0020,2.2979,2.2979,0.0018,0.0281,
1.4667,0,133.2490,yes,unknown,unknown,unknown,Unknown,-6.8856,-3.2804,0.2242,0.0018,0.0045,0.0068,0.0084,0.0045,0.1927,0.3173,-18.9793,6.7400,0.0000,0.0071,0.0069,0.0094,0.0008,0.0000,0.0002,0.0061,0.2449,0.0340,63.2080,0.0019,4.7046,0.0000,97.6886,0.0000,0.0016,0.4129,0.0431,0.0154,0.0365,0.0018,0.0018,0.0018,0.0019,0.0018,0.0045,0.0000,0.0020,2.2979,2.2979,0.0018,0.0281,
1.5333,0,138.3298,yes,unknown,unknown,unknown,Unknown,-11.0875,-5.0088,-2.8518,0.0018,0.0045,0.0175,0.0107,0.0045,0.1927,0.3019,-14.6696,2.5274,0.0000,0.0061,0.0080,0.0096,0.0006,0.0001,0.0001,0.0076,0.6236,0.0186,48.8568,0.0024,4.2368,0.0000,96.7649,0.0000,0.0010,0.3489,0.0277,0.0103,0.0487,0.0018,0.0018,0.0018,0.0019,0.0018,0.0045,0.0000,0.0020,2.2979,2.2979,0.0018,0.0281,
