TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,138.4729,no,unknown,unknown,unknown,Unknown,-0.5165,10.5524,15.3380,0.0018,0.0046,0.4224,0.0239,0.0046,0.1938,0.1940,-0.0565,0.0804,0.0000,0.0037,0.1107,0.0005,0.0000,0.0000,0.0008,0.0293,0.0116,0.0229,0.1324,0.0013,0.0659,0.0000,90.8005,0.6631,0.0018,0.0877,0.0400,0.0044,0.0182,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0000,0.0018,2.2978,2.2978,0.0019,0.0280,
0.0667,0,137.8399,no,unknown,unknown,unknown,Unknown,-3.3371,11.7602,10.0856,0.0018,0.0046,0.4193,0.0239,0.0047,0.1939,0.1965,-0.0926,0.0812,0.0000,0.0022,0.1208,0.0010,0.0000,0.0000,0.0008,0.0300,0.0103,0.0227,0.2603,0.0016,0.1840,0.0000,88.5742,1.1322,0.0070,0.0838,0.0454,0.0044,0.0353,0.0018,0.0018,0.0018,0.0018,0.0018,0.0047,0.0000,0.0018,2.2979,2.2979,0.0019,0.0280,
0.1333,0,136.6276,no,unknown,unknown,unknown,Unknown,-4.4396,11.3238,10.6624,0.0018,0.0046,0.4194,0.0239,0.0046,0.1938,0.1944,-0.0882,0.0812,0.0000,0.0015,0.1195,0.0012,0.0000,0.0000,0.0013,0.0157,0.0056,0.0201,0.2602,0.0024,0.0843,0.0000,89.4282,0.6493,0.0058,0.0889,0.0350,0.0060,0.0183,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0000,0.0018,2.2979,2.2979,0.0019,0.0280,
0.2000,0,135.2497,no,unknown,unknown,unknown,Unknown,-6.0895,11.8033,13.4438,0.0018,0.0046,0.4218,0.0239,0.0047,0.1936,0.1939,-0.0565,0.0805,0.0000,0.0033,0.0985,0.0024,0.0000,0.0000,0.0007,0.0131,0.0080,0.0164,0.1645,0.0033,0.0584,0.0000,88.4866,1.1184,0.0099,0.0871,0.0276,0.0033,0.0161,0.0018,0.0018,0.0018,0.0018,0.0018,0.0047,0.0000,0.0018,2.2979,2.2979,0.0019,0.0280,
0.2667,0,128.8902,no,unknown,unknown,unknown,Unknown,-5.7502,8.9884,13.7123,0.0018,0.0046,0.4229,0.0239,0.0047,0.1934,0.1937,-0.0421,0.0801,0.0000,0.0025,0.0727,0.0031,0.0000,0.0000,0.0006,0.0067,0.0066,0.0127,0.1208,0.0028,0.0478,0.0000,93.1011,0.8281,0.0053,0.0785,0.0198,0.0037,0.0138,0.0018,0.0018,0.0018,0.0018,0.0018,0.0047,0.0000,0.0018,2.2979,2.2979,0.0019,0.0280,
0.3333,0,125.1533,no,unknown,unknown,unknown,Unknown,-4.5101,8.3857,13.5102,0.0018,0.0046,0.4228,0.0239,0.0047,0.1933,0.1939,-0.0420,0.0801,0.0000,0.0022,0.0679,0.0035,0.0000,0.0000,0.0006,0.0055,0.0078,0.0115,0.1225,0.0032,0.0586,0.0000,93.8362,0.8566,0.0050,0.0741,0.0247,0.0052,0.0154,0.0018,0.0018,0.0018,0.0018,0.0018,0.0047,0.0000,0.0018,2.2978,2.2978,0.0019,0.0280,
0.4000,0,122.5784,no,unknown,unknown,unknown,Unknown,-2.7565,7.8866,10.7731,0.0018,0.0046,0.4236,0.0239,0.0048,0.1935,0.1947,-0.0335,0.0800,0.0000,0.0025,0.0845,0.0045,0.0000,0.0000,0.0005,0.0043,0.0105,0.0119,0.0916,0.0030,0.0991,0.0000,94.3889,1.5504,0.0033,0.0760,0.0264,0.0043,0.0226,0.0018,0.0018,0.0018,0.0018,0.0018,0.0048,0.0000,0.0018,2.2978,2.2978,0.0019,0.0280,
0.4667,0,122.3026,no,unknown,unknown,unknown,Unknown,-1.5428,8.3221,10.1671,0.0018,0.0046,0.4239,0.0239,0.0050,0.1935,0.1954,-0.0349,0.0800,0.0000,0.0029,0.0909,0.0038,0.0000,0.0000,0.0005,0.0050,0.0181,0.0254,0.0821,0.0032,0.1310,0.0000,93.9093,2.7309,0.0032,0.0870,0.0269,0.0041,0.0365,0.0018,0.0018,0.0018,0.0018,0.0018,0.0050,0.0000,0.0018,2.2978,2.2978,0.0019,0.0280,
0.5333,0,123.0061,no,unknown,unknown,unknown,Unknown,-1.3275,8.0452,10.4565,0.0018,0.0046,0.4245,0.0240,0.0055,0.1935,0.1962,-0.0338,0.0798,0.0000,0.0032,0.0841,0.0055,0.0000,0.0000,0.0005,0.0042,0.0390,0.0423,0.0612,0.0033,0.1706,0.0000,94.2186,5.8965,0.0036,0.0925,0.0199,0.0036,0.0585,0.0018,0.0018,0.0018,0.0018,0.0018,0.0055,0.0000,0.0018,2.2978,2.2978,0.0019,0.0280,
0.6000,0,123.8715,no,unknown,unknown,unknown,Unknown,-0.8008,7.1610,9.8919,0.0018,0.0046,0.4248,0.0239,0.0066,0.1934,0.1972,-0.0418,0.0799,0.0000,0.0052,0.0768,0.0048,0.0000,0.0000,0.0005,0.0057,0.0663,0.0779,0.0494,0.0031,0.2162,0.0000,95.1098,11.2015,0.0037,0.0900,0.0188,0.0040,0.0880,0.0018,0.0018,0.0018,0.0018,0.0018,0.0066,0.0000,0.0018,2.2978,2.2978,0.0019,0.0280,
