TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,125.0246,no,unknown,unknown,unknown,Unknown,-18.4800,-3.8448,-5.7914,0.0018,0.0046,0.4274,0.0239,0.0045,0.1941,0.1930,-0.0342,0.0798,0.0000,0.0039,0.1325,0.0002,0.0088,0.0561,0.0006,0.0000,0.0052,0.0018,0.0001,0.0103,0.0139,0.0000,97.4195,0.0088,0.0012,0.0138,0.0009,0.0012,0.1907,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2977,2.2977,0.0018,0.0282,
0.0667,0,124.6004,no,unknown,unknown,unknown,Unknown,-20.9038,-4.9259,-6.9261,0.0018,0.0046,0.4270,0.0240,0.0045,0.1941,0.1929,-0.0286,0.0798,0.0000,0.0073,0.1316,0.0004,0.0043,0.0473,0.0005,0.0000,0.0051,0.0017,0.0001,0.0122,0.0109,0.0000,96.8165,0.0189,0.0010,0.0199,0.0009,0.0010,0.1832,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2978,2.2978,0.0018,0.0282,
0.1333,0,123.1968,no,unknown,unknown,unknown,Unknown,-21.0691,-4.7194,-5.4475,0.0018,0.0046,0.4266,0.0240,0.0045,0.1937,0.1929,-0.0206,0.0796,0.0000,0.0087,0.0914,0.0005,0.0033,0.0312,0.0005,0.0000,0.0043,0.0015,0.0001,0.0102,0.0097,0.0000,96.9413,0.0095,0.0005,0.0216,0.0009,0.0008,0.1709,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2978,2.2978,0.0018,0.0282,
0.2000,0,123.9893,no,unknown,unknown,unknown,Unknown,-21.3782,-5.7607,-6.1541,0.0018,0.0046,0.4267,0.0240,0.0045,0.1942,0.1929,-0.0223,0.0799,0.0000,0.0099,0.1431,0.0007,0.0028,0.0344,0.0004,0.0000,0.0047,0.0014,0.0001,0.0116,0.0110,0.0000,96.2596,0.0157,0.0006,0.0227,0.0008,0.0009,0.1817,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2977,2.2977,0.0018,0.0282,
0.2667,0,125.7233,no,unknown,unknown,unknown,Unknown,-19.2436,-5.1649,-5.9845,0.0018,0.0046,0.4269,0.0239,0.0045,0.1949,0.1929,-0.0245,0.0803,0.0000,0.0061,0.1992,0.0005,0.0016,0.0425,0.0005,0.0000,0.0059,0.0015,0.0001,0.0254,0.0122,0.0000,96.6658,0.0191,0.0007,0.0218,0.0007,0.0009,0.1764,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2977,2.2977,0.0018,0.0282,
0.3333,0,124.7853,no,unknown,unknown,unknown,Unknown,-21.4294,-6.1517,-7.8192,0.0018,0.0046,0.4272,0.0238,0.0045,0.1958,0.1929,-0.0312,0.0809,0.0000,0.0044,0.2897,0.0003,0.0012,0.0569,0.0004,0.0000,0.0065,0.0022,0.0001,0.0385,0.0132,0.0000,95.9676,0.0307,0.0007,0.0171,0.0007,0.0007,0.1873,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2977,2.2977,0.0018,0.0282,
0.4000,0,123.8977,no,unknown,unknown,unknown,Unknown,-20.9033,-5.0542,-5.8279,0.0018,0.0046,0.4273,0.0238,0.0044,0.1972,0.1930,-0.0329,0.0817,0.0000,0.0047,0.4161,0.0002,0.0008,0.0601,0.0004,0.0000,0.0052,0.0031,0.0002,0.0489,0.0158,0.0000,96.7364,0.0383,0.0006,0.0164,0.0007,0.0008,0.2070,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0019,2.2977,2.2977,0.0018,0.0282,
0.4667,0,123.5568,no,unknown,unknown,unknown,Unknown,-20.6497,-6.1898,-5.4345,0.0018,0.0046,0.4274,0.0237,0.0044,0.1981,0.1931,-0.0370,0.0822,0.0000,0.0054,0.5051,0.0001,0.0005,0.0651,0.0004,0.0001,0.0053,0.0079,0.0002,0.0543,0.0203,0.0000,95.9381,0.0445,0.0005,0.0157,0.0009,0.0009,0.2067,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0019,2.2977,2.2977,0.0018,0.0283,
0.5333,0,122.4612,no,unknown,unknown,unknown,Unknown,-19.1125,-5.1634,-7.3317,0.0018,0.0046,0.4273,0.0236,0.0044,0.1992,0.1930,-0.0370,0.0829,0.0000,0.0058,0.6243,0.0001,0.0004,0.0603,0.0005,0.0001,0.0051,0.0155,0.0002,0.0491,0.0183,0.0000,96.6667,0.0459,0.0005,0.0146,0.0010,0.0009,0.1861,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0019,2.2977,2.2977,0.0018,0.0283,
0.6000,0,121.2181,no,unknown,unknown,unknown,Unknown,-18.5302,-5.8668,-8.1255,0.0018,0.0046,0.4271,0.0237,0.0044,0.1983,0.1932,-0.0363,0.0823,0.0000,0.0054,0.5303,0.0002,0.0004,0.0507,0.0005,0.0001,0.0044,0.0293,0.0003,0.0468,0.0269,0.0000,96.1824,0.0329,0.0005,0.0148,0.0012,0.0008,0.1848,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0019,2.2977,2.2977,0.0018,0.0283,
0.6667,0,119.4534,no,unknown,unknown,unknown,Unknown,-18.1872,-5.2544,-8.5407,0.0018,0.0046,0.4271,0.0237,0.0044,0.1978,0.1936,-0.0403,0.0820,0.0000,0.0056,0.4839,0.0002,0.0003,0.0512,0.0006,0.0002,0.0043,0.0415,0.0004,0.0449,0.0441,0.0000,96.6076,0.0228,0.0005,0.0128,0.0014,0.0008,0.1746,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0019,2.2977,2.2977,0.0018,0.0283,
0.7333,0,120.4667,no,unknown,unknown,unknown,Unknown,-17.9277,-5.0208,-8.7517,0.0018,0.0046,0.4272,0.0238,0.0044,0.1968,0.1945,-0.0438,0.0814,0.0000,0.0064,0.3813,0.0002,0.0004,0.0561,0.0007,0.0003,0.0049,0.0435,0.0006,0.0448,0.0879,0.0000,96.7574,0.0090,0.0005,0.0126,0.0018,0.0007,0.1742,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0019,2.2977,2.2977,0.0018,0.0283,
0.8000,0,119.6030,no,unknown,unknown,unknown,Unknown,-19.6983,-7.4650,-9.9680,0.0018,0.0046,0.4271,0.0239,0.0045,0.1954,0.1952,-0.0421,0.0806,0.0000,0.0086,0.2431,0.0003,0.0005,0.0562,0.0008,0.0005,0.0043,0.0344,0.0011,0.0422,0.1231,0.0000,94.8191,0.0045,0.0005,0.0133,0.0025,0.0007,0.1705,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2978,2.2978,0.0018,0.0283,
0.8667,0,119.6501,no,unknown,unknown,unknown,Unknown,-18.5744,-5.9683,-8.8598,0.0018,0.0046,0.4271,0.0239,0.0045,0.1952,0.1972,-0.0435,0.0804,0.0000,0.0146,0.2159,0.0004,0.0004,0.0565,0.0008,0.0007,0.0041,0.0325,0.0010,0.0382,0.2167,0.0000,96.1073,0.0031,0.0006,0.0144,0.0035,0.0007,0.1693,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2978,2.2978,0.0018,0.0283,
0.9333,0,122.1793,no,unknown,unknown,unknown,Unknown,-17.0578,-5.4725,-9.0614,0.0018,0.0046,0.4272,0.0239,0.0045,0.1940,0.1986,-0.0428,0.0798,0.0000,0.0107,0.1020,0.0008,0.0007,0.0598,0.0009,0.0008,0.0043,0.0275,0.0010,0.0369,0.2833,0.0000,96.4617,0.0009,0.0008,0.0143,0.0049,0.0006,0.1685,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2978,2.2978,0.0018,0.0283,
1.0000,0,122.2674,no,unknown,unknown,unknown,Unknown,-17.1673,-5.5415,-8.4160,0.0018,0.0046,0.4272,0.0240,0.0045,0.1935,0.1997,-0.0437,0.0795,0.0000,0.0070,0.0518,0.0024,0.0009,0.0614,0.0010,0.0008,0.0041,0.0304,0.0010,0.0379,0.3386,0.0000,96.4143,0.0003,0.0013,0.0165,0.0063,0.0007,0.1642,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2978,2.2978,0.0018,0.0283,
