TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,103.6612,yes,unknown,unknown,unknown,Unknown,2.9251,6.8058,-31.8592,0.0031,0.0038,0.3454,0.0190,0.0035,0.2001,0.1514,3.2558,0.1256,3.2522,0.0052,0.6266,0.0000,0.0006,0.0006,0.0008,0.0004,0.0015,0.0007,0.0000,0.1391,0.0199,0.0084,95.4298,0.0000,0.0166,0.0025,0.0004,0.0002,0.0424,0.0032,0.0018,0.0002,0.0018,0.0018,0.0035,0.0000,0.0018,2.2977,2.2977,0.0018,0.0286,
0.0667,0,96.9709,yes,unknown,unknown,unknown,Unknown,5.5428,7.9513,-8.7282,0.0021,0.0044,0.4037,0.0222,0.0042,0.1986,0.1825,0.9210,0.0901,0.9209,0.0041,0.2796,0.0000,0.0004,0.0002,0.0005,0.0015,0.0014,0.0011,0.0001,0.3578,0.1405,0.0000,94.3200,0.0000,0.0069,0.0007,0.0003,0.0015,0.2931,0.0027,0.0019,0.0010,0.0018,0.0018,0.0042,0.0000,0.0018,2.2977,2.2977,0.0018,0.0290,
0.1333,0,95.9324,yes,unknown,unknown,unknown,Unknown,4.9056,8.0036,-7.7734,0.0020,0.0045,0.4173,0.0229,0.0044,0.1977,0.1904,0.4526,0.0843,0.4520,0.0024,0.0712,0.0000,0.0003,0.0003,0.0004,0.0017,0.0014,0.0011,0.0002,0.4975,0.2083,0.0000,94.2637,0.0001,0.0068,0.0005,0.0002,0.0014,0.2369,0.0025,0.0019,0.0013,0.0018,0.0018,0.0044,0.0000,0.0018,2.2977,2.2977,0.0018,0.0288,
0.2000,0,94.7102,yes,unknown,unknown,unknown,Unknown,5.0474,5.2434,-9.0434,0.0020,0.0045,0.4126,0.0228,0.0043,0.1975,0.1872,0.5779,0.0858,0.5812,0.0037,0.1813,0.0000,0.0002,0.0001,0.0002,0.0016,0.0014,0.0075,0.0003,0.3447,0.1409,0.0000,96.6148,0.0003,0.0024,0.0003,0.0004,0.0041,0.2816,0.0023,0.0019,0.0014,0.0018,0.0018,0.0043,0.0000,0.0018,2.2977,2.2977,0.0018,0.0289,
0.2667,0,95.3372,yes,unknown,unknown,unknown,Unknown,4.0413,6.7062,-7.5668,0.0021,0.0044,0.4056,0.0225,0.0043,0.1967,0.1826,0.8028,0.0888,0.8177,0.0047,0.1772,0.0000,0.0001,0.0001,0.0002,0.0013,0.0020,0.0436,0.0005,0.2554,0.0691,0.0000,95.5159,0.0005,0.0007,0.0002,0.0009,0.0055,0.3304,0.0023,0.0019,0.0015,0.0018,0.0018,0.0043,0.0000,0.0018,2.2977,2.2977,0.0018,0.0289,
0.3333,0,95.1494,yes,unknown,unknown,unknown,Unknown,4.1360,7.5811,-6.3153,0.0025,0.0041,0.3780,0.0209,0.0040,0.1964,0.1683,1.8373,0.1035,1.8948,0.0039,0.1622,0.0000,0.0000,0.0000,0.0002,0.0012,0.0020,0.1872,0.0007,0.2396,0.0596,0.0000,94.7039,0.0007,0.0014,0.0004,0.0023,0.0128,0.4775,0.0023,0.0019,0.0015,0.0018,0.0018,0.0040,0.0000,0.0018,2.2977,2.2977,0.0018,0.0289,
0.4000,0,92.6848,yes,unknown,unknown,unknown,Unknown,3.9947,10.3626,-5.2472,0.0024,0.0042,0.3846,0.0211,0.0041,0.1962,0.1716,1.4140,0.0995,1.6158,0.0046,0.1836,0.0000,0.0000,0.0000,0.0001,0.0009,0.0022,0.6669,0.0007,0.1976,0.0457,0.0000,91.1128,0.0008,0.0007,0.0004,0.0026,0.0151,0.4349,0.0024,0.0019,0.0016,0.0018,0.0018,0.0041,0.0000,0.0018,2.2977,2.2977,0.0018,0.0290,
0.4667,0,91.5949,yes,unknown,unknown,unknown,Unknown,1.7527,8.2273,-7.2255,0.0021,0.0044,0.4071,0.0224,0.0043,0.1963,0.1830,0.6063,0.0880,0.7541,0.0060,0.1673,0.0000,0.0000,0.0000,0.0001,0.0011,0.0018,0.4851,0.0012,0.2290,0.0446,0.0005,94.0169,0.0011,0.0008,0.0004,0.0020,0.0144,0.5406,0.0023,0.0019,0.0016,0.0018,0.0018,0.0043,0.0000,0.0018,2.2977,2.2977,0.0018,0.0290,
0.5333,0,91.5786,yes,unknown,unknown,unknown,Unknown,5.1272,9.7571,-8.1746,0.0019,0.0046,0.4224,0.0235,0.0045,0.1958,0.1912,0.1494,0.0811,0.1888,0.0106,0.0917,0.0000,0.0000,0.0000,0.0002,0.0014,0.0020,0.1165,0.0025,0.2438,0.0593,0.0001,92.0457,0.0115,0.0001,0.0003,0.0008,0.0059,0.3312,0.0023,0.0019,0.0016,0.0018,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0290,
0.6000,0,91.8436,yes,unknown,unknown,unknown,Unknown,5.0621,10.5745,-8.3401,0.0019,0.0046,0.4254,0.0237,0.0045,0.1961,0.1928,0.0549,0.0810,0.0806,0.0270,0.1139,0.0000,0.0000,0.0000,0.0003,0.0013,0.0021,0.0525,0.0040,0.2434,0.0655,0.0000,90.7636,0.0167,0.0001,0.0005,0.0006,0.0039,0.2411,0.0022,0.0019,0.0016,0.0018,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0289,
0.6667,0,93.8572,yes,unknown,unknown,unknown,Unknown,4.9881,10.6902,-8.6039,0.0018,0.0046,0.4264,0.0238,0.0045,0.1962,0.1932,0.0079,0.0809,0.0350,0.0721,0.1219,0.0000,0.0000,0.0001,0.0004,0.0011,0.0023,0.0099,0.0061,0.2171,0.0489,0.0000,90.5677,0.0115,0.0000,0.0008,0.0004,0.0022,0.1663,0.0022,0.0019,0.0017,0.0018,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0289,
0.7333,0,92.3780,yes,unknown,unknown,unknown,Unknown,6.8564,8.5746,-8.0515,0.0018,0.0046,0.4274,0.0240,0.0045,0.1971,0.1938,-0.0424,0.0812,0.0131,0.1673,0.1011,0.0000,0.0001,0.0001,0.0005,0.0008,0.0025,0.0081,0.0076,0.2786,0.0635,0.0000,93.6141,0.0091,0.0000,0.0016,0.0003,0.0024,0.1059,0.0022,0.0019,0.0017,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0289,
0.8000,0,93.0683,yes,unknown,unknown,unknown,Unknown,7.6616,9.0970,-6.5746,0.0018,0.0047,0.4280,0.0243,0.0044,0.1988,0.1941,-0.1183,0.0814,0.0060,0.3927,0.0951,0.0000,0.0001,0.0001,0.0005,0.0008,0.0023,0.0093,0.0099,0.3287,0.0717,0.0000,92.9603,0.0104,0.0001,0.0028,0.0002,0.0025,0.0643,0.0021,0.0019,0.0017,0.0018,0.0018,0.0044,0.0000,0.0018,2.2978,2.2978,0.0018,0.0288,
0.8667,0,92.9599,yes,unknown,unknown,unknown,Unknown,8.2268,7.4123,-7.5637,0.0018,0.0048,0.4281,0.0253,0.0043,0.2024,0.1944,-0.3010,0.0815,0.0018,0.9755,0.0939,0.0000,0.0001,0.0001,0.0005,0.0007,0.0025,0.0207,0.0114,0.3398,0.0866,0.0000,94.8706,0.0136,0.0001,0.0030,0.0002,0.0034,0.0525,0.0021,0.0019,0.0017,0.0018,0.0018,0.0043,0.0000,0.0018,2.2978,2.2978,0.0018,0.0288,
0.9333,0,93.9554,yes,unknown,unknown,unknown,Unknown,8.9146,6.2672,-8.4371,0.0018,0.0048,0.4284,0.0260,0.0043,0.2052,0.1964,-0.4941,0.0814,0.0022,1.4560,0.0444,0.0000,0.0002,0.0001,0.0004,0.0010,0.0024,0.1844,0.0118,0.3790,0.1831,0.0000,95.8773,0.0131,0.0001,0.0036,0.0002,0.0038,0.0470,0.0021,0.0019,0.0017,0.0018,0.0018,0.0043,0.0000,0.0018,2.2979,2.2981,0.0018,0.0288,
1.0000,0,91.6601,yes,unknown,unknown,unknown,Unknown,6.9893,7.5253,-5.4730,0.0018,0.0049,0.4299,0.0265,0.0042,0.2091,0.2019,-0.6306,0.0824,0.0067,1.8398,0.0366,0.0000,0.0003,0.0001,0.0004,0.0004,0.0023,0.2785,0.0042,0.5588,0.4448,0.0000,94.7596,0.0179,0.0001,0.0040,0.0004,0.0051,0.0569,0.0021,0.0019,0.0017,0.0018,0.0018,0.0042,0.0000,0.0018,2.2980,2.2989,0.0018,0.0287,
1.0667,0,91.6866,yes,unknown,unknown,unknown,Unknown,5.0499,8.6995,-7.7654,0.0019,0.0050,0.4332,0.0257,0.0042,0.2129,0.2148,-0.5199,0.0856,0.0419,1.6403,0.0300,0.0000,0.0006,0.0001,0.0002,0.0001,0.0026,0.2289,0.0018,1.0930,1.0567,0.0000,93.4631,0.0159,0.0002,0.0046,0.0011,0.0092,0.1046,0.0020,0.0019,0.0018,0.0018,0.0018,0.0042,0.0000,0.0018,2.2981,2.3011,0.0018,0.0287,
1.1333,0,91.5697,yes,unknown,unknown,unknown,Unknown,1.7016,6.5237,-7.5168,0.0021,0.0051,0.4276,0.0236,0.0041,0.2214,0.2340,0.0291,0.0921,0.5296,1.4085,0.0265,0.0000,0.0007,0.0001,0.0001,0.0001,0.0027,0.2578,0.0010,2.1240,2.2053,0.0000,95.6697,0.0248,0.0004,0.0041,0.0041,0.0175,0.1872,0.0020,0.0019,0.0018,0.0018,0.0018,0.0041,0.0000,0.0018,2.2982,2.3110,0.0018,0.0286,
1.2000,0,90.2723,yes,unknown,unknown,unknown,Unknown,0.6255,1.7662,-10.1153,0.0633,0.0018,0.1201,0.0053,0.0011,0.2617,0.0720,20.5829,1.5662,21.0149,1.3670,0.0306,0.0000,0.0010,0.0001,0.0001,0.0000,0.0027,0.0710,0.0003,5.8772,5.5555,0.0000,98.2821,0.0617,0.0004,0.0045,0.0072,0.0309,0.3613,0.0071,0.0020,0.0018,0.0018,0.0018,0.0011,0.0000,0.0018,2.2982,2.3426,0.0018,0.0286,
