TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,104.2849,no,unknown,unknown,unknown,Unknown,-9.0090,0.5610,-8.3684,0.0018,0.0048,0.4343,0.0229,0.0045,0.2061,0.2014,-0.0279,0.0876,0.0001,0.0078,0.3433,0.0000,0.0000,0.0004,0.0002,0.0170,0.0712,0.0604,0.0087,1.1117,0.4155,0.0000,98.6451,0.5898,0.0013,0.0010,0.0371,0.0188,0.1647,0.0018,0.0018,0.0014,0.0019,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0019,0.0296,
0.0667,0,105.0706,no,unknown,unknown,unknown,Unknown,-8.1846,-0.3983,-10.1215,0.0019,0.0049,0.4370,0.0227,0.0045,0.2095,0.2037,-0.0241,0.0900,0.0002,0.0060,0.3596,0.0000,0.0000,0.0006,0.0002,0.0119,0.0700,0.0552,0.0132,1.4622,0.5263,0.0000,98.6879,0.5896,0.0051,0.0010,0.0363,0.0178,0.1559,0.0018,0.0018,0.0013,0.0019,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0019,0.0296,
0.1333,0,104.8209,no,unknown,unknown,unknown,Unknown,-8.6437,-0.2931,-10.7318,0.0019,0.0051,0.4424,0.0221,0.0050,0.2164,0.2038,-0.0264,0.0947,0.0002,0.0032,0.3612,0.0000,0.0000,0.0008,0.0002,0.0118,0.0654,0.0514,0.0232,2.1786,0.5292,0.0000,98.7149,3.4208,0.0021,0.0010,0.0331,0.0155,0.1379,0.0018,0.0018,0.0013,0.0019,0.0018,0.0050,0.0000,0.0018,2.2977,2.2977,0.0020,0.0296,
0.2000,0,105.2883,no,unknown,unknown,unknown,Unknown,-8.8752,-0.1071,-10.1844,0.0019,0.0051,0.4429,0.0220,0.0050,0.2177,0.2028,-0.0261,0.0956,0.0002,0.0043,0.4371,0.0000,0.0000,0.0009,0.0002,0.0111,0.0888,0.0541,0.0192,2.2342,0.4822,0.0000,98.7612,3.8222,0.0022,0.0010,0.0356,0.0178,0.1367,0.0018,0.0018,0.0012,0.0019,0.0018,0.0050,0.0000,0.0018,2.2977,2.2977,0.0020,0.0297,
0.2667,0,105.7209,no,unknown,unknown,unknown,Unknown,-9.6797,0.4673,-10.3663,0.0019,0.0051,0.4413,0.0222,0.0051,0.2163,0.2015,-0.0234,0.0946,0.0001,0.0026,0.4930,0.0000,0.0000,0.0013,0.0002,0.0088,0.0620,0.0463,0.0199,2.0308,0.4236,0.0000,98.6699,4.1218,0.0013,0.0009,0.0367,0.0135,0.1678,0.0018,0.0018,0.0012,0.0019,0.0018,0.0051,0.0000,0.0018,2.2977,2.2977,0.0020,0.0298,
0.3333,0,105.2652,no,unknown,unknown,unknown,Unknown,-9.3786,-0.7523,-10.4256,0.0019,0.0051,0.4414,0.0221,0.0055,0.2168,0.2001,-0.0245,0.0949,0.0001,0.0024,0.5173,0.0000,0.0000,0.0017,0.0002,0.0081,0.0473,0.0466,0.0225,2.0484,0.3583,0.0000,98.5930,6.6821,0.0008,0.0008,0.0359,0.0109,0.1779,0.0018,0.0018,0.0012,0.0019,0.0018,0.0055,0.0000,0.0018,2.2977,2.2977,0.0020,0.0299,
0.4000,0,106.2765,no,unknown,unknown,unknown,Unknown,-9.9476,-0.4987,-10.3419,0.0019,0.0051,0.4417,0.0221,0.0057,0.2177,0.1995,-0.0226,0.0954,0.0001,0.0024,0.5684,0.0000,0.0000,0.0019,0.0002,0.0075,0.0443,0.0412,0.0213,2.0821,0.3269,0.0000,98.6617,7.6717,0.0005,0.0008,0.0300,0.0089,0.1551,0.0018,0.0018,0.0011,0.0019,0.0018,0.0057,0.0000,0.0018,2.2977,2.2977,0.0020,0.0300,
0.4667,0,105.5356,no,unknown,unknown,unknown,Unknown,-9.9869,1.0541,-9.1973,0.0019,0.0052,0.4434,0.0218,0.0047,0.2227,0.1983,-0.0223,0.0987,0.0001,0.0021,0.8163,0.0000,0.0000,0.0020,0.0002,0.0085,0.0481,0.0360,0.0253,2.3119,0.2697,0.0000,98.5068,2.3655,0.0007,0.0008,0.0282,0.0085,0.1544,0.0018,0.0018,0.0010,0.0018,0.0018,0.0047,0.0000,0.0018,2.2977,2.2977,0.0020,0.0302,
0.5333,0,105.4114,no,unknown,unknown,unknown,Unknown,-10.1703,0.7282,-10.0173,0.0019,0.0054,0.4480,0.0211,0.0044,0.2340,0.1971,-0.0238,0.1065,0.0001,0.0016,1.2645,0.0000,0.0000,0.0022,0.0002,0.0075,0.0462,0.0309,0.0364,2.9171,0.2125,0.0208,98.5997,1.0548,0.0007,0.0008,0.0241,0.0069,0.1470,0.0018,0.0018,0.0009,0.0018,0.0018,0.0044,0.0000,0.0018,2.2977,2.2977,0.0020,0.0306,
0.6000,0,101.1754,no,unknown,unknown,unknown,Unknown,-9.9129,0.8411,-10.0659,0.0019,0.0053,0.4469,0.0213,0.0043,0.2306,0.1963,-0.0253,0.1042,0.0000,0.0017,1.0686,0.0000,0.0000,0.0017,0.0002,0.0092,0.0408,0.0279,0.0428,2.8097,0.1783,0.0001,98.5682,0.3264,0.0004,0.0008,0.0244,0.0063,0.1529,0.0018,0.0018,0.0010,0.0018,0.0018,0.0043,0.0000,0.0018,2.2977,2.2977,0.0020,0.0308,
