TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,109.9836,yes,unknown,unknown,unknown,Unknown,5.3268,-1.0160,0.8003,0.0018,0.0046,0.4259,0.0244,0.0045,0.1943,0.1939,-0.0749,0.0796,0.0001,0.2388,0.0158,0.0030,0.0001,0.0000,0.0005,0.0010,0.0869,0.0014,0.0045,0.0149,0.0610,0.0000,98.5179,0.3809,0.0002,0.0046,0.0012,0.0004,0.1484,0.0018,0.0018,0.0018,0.0019,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0282,
0.0667,0,111.0911,yes,unknown,unknown,unknown,Unknown,2.9517,-0.8967,2.8149,0.0018,0.0046,0.4250,0.0244,0.0045,0.1945,0.1941,-0.0911,0.0795,0.0000,0.2631,0.0219,0.0028,0.0001,0.0000,0.0004,0.0005,0.0669,0.0013,0.0351,0.0165,0.0683,0.0000,98.5524,0.1642,0.0002,0.0042,0.0025,0.0014,0.1068,0.0018,0.0018,0.0018,0.0019,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0282,
0.1333,0,110.2012,yes,unknown,unknown,unknown,Unknown,2.8133,-0.8978,1.2499,0.0018,0.0046,0.4244,0.0244,0.0045,0.1941,0.1944,-0.0862,0.0794,0.0000,0.2188,0.0191,0.0087,0.0001,0.0000,0.0005,0.0005,0.0510,0.0012,0.0570,0.0134,0.0843,0.0000,98.5521,0.0891,0.0001,0.0037,0.0026,0.0019,0.0746,0.0018,0.0018,0.0018,0.0019,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
0.2000,0,109.5546,yes,unknown,unknown,unknown,Unknown,3.6719,-1.8053,3.0273,0.0018,0.0046,0.4246,0.0243,0.0045,0.1941,0.1949,-0.0834,0.0794,0.0000,0.2123,0.0192,0.0113,0.0001,0.0000,0.0007,0.0005,0.0563,0.0011,0.0510,0.0156,0.1088,0.0000,98.2689,0.1067,0.0001,0.0034,0.0033,0.0032,0.0821,0.0018,0.0018,0.0018,0.0019,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
0.2667,0,110.4222,yes,unknown,unknown,unknown,Unknown,-0.9130,-2.3989,3.4833,0.0018,0.0046,0.4230,0.0243,0.0045,0.1941,0.1945,-0.0979,0.0797,0.0000,0.2048,0.0165,0.0094,0.0001,0.0000,0.0007,0.0006,0.0451,0.0031,0.1069,0.0171,0.0890,0.0000,98.0549,0.0819,0.0001,0.0036,0.0035,0.0038,0.0448,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
0.3333,0,109.8421,yes,unknown,unknown,unknown,Unknown,3.3704,-2.4763,3.6254,0.0018,0.0046,0.4224,0.0243,0.0045,0.1942,0.1942,-0.1093,0.0798,0.0000,0.2224,0.0162,0.0056,0.0001,0.0000,0.0006,0.0006,0.0411,0.0051,0.1293,0.0164,0.0738,0.0000,98.0252,0.0669,0.0001,0.0035,0.0049,0.0062,0.0443,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
0.4000,0,110.0011,yes,unknown,unknown,unknown,Unknown,2.0616,-3.5634,4.0423,0.0018,0.0046,0.4228,0.0243,0.0045,0.1941,0.1941,-0.1017,0.0797,0.0000,0.2039,0.0155,0.0049,0.0000,0.0000,0.0005,0.0005,0.0332,0.0144,0.1140,0.0168,0.0670,0.0000,97.5573,0.0660,0.0001,0.0035,0.0050,0.0061,0.0356,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
0.4667,0,110.4659,yes,unknown,unknown,unknown,Unknown,1.7877,-2.9024,4.3636,0.0018,0.0046,0.4223,0.0243,0.0045,0.1941,0.1940,-0.1210,0.0798,0.0000,0.2104,0.0136,0.0040,0.0000,0.0000,0.0005,0.0005,0.0328,0.0530,0.1342,0.0175,0.0659,0.0000,97.8533,0.0543,0.0001,0.0038,0.0055,0.0076,0.0384,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
0.5333,0,109.3458,yes,unknown,unknown,unknown,Unknown,1.8114,-2.8318,4.0225,0.0018,0.0046,0.4198,0.0242,0.0045,0.1941,0.1941,-0.1373,0.0804,0.0000,0.2026,0.0148,0.0047,0.0000,0.0000,0.0005,0.0004,0.0315,0.0224,0.2265,0.0177,0.0677,0.0000,97.8827,0.0500,0.0001,0.0038,0.0071,0.0075,0.0345,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
0.6000,0,109.9739,yes,unknown,unknown,unknown,Unknown,0.5156,-2.4283,4.2510,0.0018,0.0046,0.4189,0.0242,0.0045,0.1940,0.1945,-0.1457,0.0805,0.0000,0.1881,0.0119,0.0042,0.0000,0.0000,0.0004,0.0004,0.0330,0.0347,0.2574,0.0174,0.0876,0.0000,98.0437,0.0433,0.0001,0.0042,0.0083,0.0088,0.0351,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
