TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,110.1118,no,unknown,unknown,unknown,Unknown,1.5533,8.0531,7.1460,99.8757,0.0003,0.0024,0.0000,0.0000,4.7919,0.0001,99.4683,99.9151,99.4957,0.0328,0.0039,0.0080,0.0226,0.0067,0.0001,0.0006,0.0068,0.0027,0.0002,72.4483,0.0011,0.0000,94.2099,0.0013,0.0017,0.0588,0.0010,0.0032,0.5941,0.2732,15.5687,0.0018,0.0018,0.0018,0.0000,0.0000,0.0019,2.2977,2.2977,0.0018,0.0286,
0.0667,0,112.5107,no,unknown,unknown,unknown,Unknown,2.8209,8.5315,6.8294,99.9139,0.0007,0.0032,0.0000,0.0000,9.6705,0.0001,99.8437,99.9197,99.8839,0.0274,0.0031,0.0234,0.0303,0.0190,0.0001,0.0003,0.0307,0.0023,0.0001,89.2454,0.0002,0.0000,93.6654,0.0031,0.0014,0.0857,0.0008,0.0027,0.9314,0.1430,38.2624,0.0018,0.0018,0.0018,0.0000,0.0000,0.0019,2.2977,2.2977,0.0018,0.0288,
0.1333,0,111.8543,no,unknown,unknown,unknown,Unknown,0.7470,6.7102,6.6932,99.9173,0.0008,0.0033,0.0000,0.0000,10.5666,0.0001,99.8328,99.9197,99.8875,0.0235,0.0025,0.0370,0.0375,0.0354,0.0001,0.0002,0.0360,0.0019,0.0001,91.4576,0.0006,0.0000,95.5125,0.0022,0.0014,0.0966,0.0006,0.0025,0.6199,0.0982,47.9692,0.0018,0.0018,0.0018,0.0000,0.0000,0.0018,2.2977,2.2977,0.0018,0.0287,
0.2000,0,111.0265,no,unknown,unknown,unknown,Unknown,-0.8759,8.2124,6.2183,99.9090,0.0006,0.0030,0.0000,0.0000,8.6245,0.0001,99.8054,99.9195,99.8662,0.0220,0.0031,0.0583,0.0376,0.0356,0.0001,0.0002,0.0649,0.0025,0.0001,86.4959,0.0012,0.0000,94.0337,0.0027,0.0020,0.1855,0.0007,0.0028,0.4975,0.0790,49.0546,0.0018,0.0018,0.0018,0.0000,0.0000,0.0018,2.2977,2.2977,0.0018,0.0287,
0.2667,0,111.7823,no,unknown,unknown,unknown,Unknown,-0.4449,8.1704,6.4207,99.9073,0.0006,0.0030,0.0000,0.0000,8.3275,0.0001,99.7846,99.9193,99.8517,0.0226,0.0027,0.0713,0.0426,0.0363,0.0001,0.0001,0.0927,0.0021,0.0001,85.6624,0.0008,0.0000,94.0806,0.0027,0.0031,0.2870,0.0007,0.0026,0.4727,0.0681,49.1696,0.0018,0.0018,0.0018,0.0000,0.0000,0.0018,2.2977,2.2977,0.0018,0.0286,
0.3333,0,112.6270,no,unknown,unknown,unknown,Unknown,-2.0697,7.0050,7.4442,99.9080,0.0007,0.0030,0.0000,0.0000,8.6404,0.0001,99.7294,99.9188,99.8022,0.0259,0.0026,0.0912,0.0492,0.0340,0.0001,0.0001,0.0946,0.0039,0.0001,86.5826,0.0008,0.0002,95.2529,0.0019,0.0127,0.4845,0.0008,0.0027,0.4924,0.0603,49.7281,0.0018,0.0018,0.0018,0.0000,0.0000,0.0018,2.2977,2.2977,0.0018,0.0286,
0.4000,0,113.2532,no,unknown,unknown,unknown,Smiley,5.9799,7.6078,7.6549,99.9129,0.0007,0.0032,0.0000,0.0000,9.4642,0.0001,99.8064,99.9196,99.8755,0.0140,0.0024,0.0344,0.1095,0.0299,0.0000,0.0001,0.0568,0.0078,0.0001,88.7398,0.0002,0.0051,94.6770,0.0008,0.0439,0.5071,0.0005,0.0021,0.4252,0.0537,51.0973,0.0018,0.0018,0.0018,0.0000,0.0000,0.0018,2.2977,2.2977,0.0018,0.0286,
0.4667,0,111.6054,no,unknown,unknown,unknown,Smiley,5.6088,5.9306,8.7887,99.9129,0.0007,0.0032,0.0000,0.0000,9.2985,0.0001,99.8222,99.9201,99.9183,0.0115,0.0026,0.0142,0.2208,0.0358,0.0000,0.0001,0.0311,0.0174,0.0001,88.2812,0.0001,0.0046,96.1353,0.0005,0.1130,0.4574,0.0005,0.0025,0.4243,0.0489,51.9385,0.0018,0.0018,0.0018,0.0000,0.0000,0.0019,2.2977,2.2977,0.0018,0.0285,
0.5333,0,108.0719,no,unknown,unknown,unknown,Smiley,4.1589,6.5652,9.0638,99.9098,0.0006,0.0032,0.0000,0.0000,8.5219,0.0001,99.6816,99.9203,99.9370,0.0099,0.0025,0.0098,0.5485,0.0417,0.0001,0.0000,0.0157,0.0578,0.0001,86.1491,0.0001,0.0019,95.6352,0.0004,0.5231,0.6842,0.0005,0.0032,0.4189,0.0460,51.8431,0.0018,0.0018,0.0018,0.0000,0.0000,0.0019,2.2977,2.2977,0.0018,0.0285,
0.6000,0,109.1889,no,unknown,unknown,unknown,Unknown,5.9899,8.5158,7.1069,99.8960,0.0004,0.0035,0.0000,0.0000,6.2362,0.0001,98.6995,99.9199,99.9005,0.0100,0.0050,0.0066,2.4411,0.0667,0.0002,0.0001,0.0078,0.1380,0.0001,78.6541,0.0001,0.0054,93.6840,0.0002,3.0713,1.1225,0.0008,0.0034,0.6442,0.0502,49.5303,0.0018,0.0018,0.0018,0.0000,0.0000,0.0020,2.2978,2.2978,0.0018,0.0285,
