TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,126.8817,no,unknown,unknown,unknown,Unknown,-4.1285,3.0263,8.3879,0.0018,0.0046,0.4194,0.0239,0.0054,0.1935,0.1950,-0.1019,0.0807,0.0000,0.0114,0.0618,0.0002,0.0004,0.0000,0.0002,0.0652,0.0075,0.0193,0.2428,0.0188,0.1122,0.0000,97.8006,5.0535,0.0001,0.0727,0.0077,0.0016,0.0821,0.0018,0.0018,0.0018,0.0018,0.0018,0.0054,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
0.0667,0,126.9928,no,unknown,unknown,unknown,Unknown,-6.3788,3.1771,8.1591,0.0018,0.0046,0.4186,0.0239,0.0054,0.1933,0.1966,-0.1277,0.0808,0.0000,0.0079,0.0524,0.0001,0.0003,0.0000,0.0002,0.0941,0.0240,0.0528,0.2699,0.0137,0.1887,0.0000,97.7348,5.0190,0.0003,0.0618,0.0107,0.0016,0.0800,0.0018,0.0018,0.0018,0.0018,0.0018,0.0054,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
0.1333,0,126.6448,no,unknown,unknown,unknown,Unknown,-7.0381,1.9480,7.8665,0.0018,0.0046,0.4191,0.0239,0.0059,0.1933,0.1956,-0.1151,0.0807,0.0000,0.0065,0.0472,0.0001,0.0003,0.0000,0.0002,0.0880,0.0230,0.0385,0.2499,0.0139,0.1437,0.0000,98.2196,8.0337,0.0002,0.0543,0.0135,0.0017,0.0828,0.0018,0.0018,0.0018,0.0018,0.0018,0.0059,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
0.2000,0,126.5469,no,unknown,unknown,unknown,Unknown,-7.1145,1.8405,8.2293,0.0018,0.0046,0.4194,0.0239,0.0064,0.1933,0.1959,-0.1149,0.0806,0.0000,0.0070,0.0456,0.0001,0.0003,0.0000,0.0002,0.0929,0.0332,0.0424,0.2399,0.0148,0.1553,0.0000,98.2569,10.1643,0.0002,0.0532,0.0139,0.0019,0.0984,0.0018,0.0018,0.0018,0.0018,0.0018,0.0064,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
0.2667,0,126.5924,no,unknown,unknown,unknown,Unknown,-6.4763,2.2474,7.9908,0.0018,0.0046,0.4185,0.0239,0.0071,0.1934,0.1968,-0.1423,0.0809,0.0000,0.0076,0.0608,0.0001,0.0003,0.0000,0.0002,0.1506,0.0495,0.0425,0.2730,0.0135,0.1987,0.0000,98.1119,13.5009,0.0001,0.0488,0.0145,0.0017,0.1231,0.0018,0.0018,0.0018,0.0018,0.0018,0.0071,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
0.3333,0,126.3023,no,unknown,unknown,unknown,Unknown,-5.0403,3.7094,8.4974,0.0018,0.0046,0.4160,0.0238,0.0062,0.1934,0.1964,-0.1619,0.0814,0.0000,0.0078,0.0654,0.0001,0.0003,0.0000,0.0002,0.1353,0.0375,0.0308,0.3646,0.0107,0.1808,0.0000,97.4867,9.4562,0.0001,0.0456,0.0120,0.0018,0.1718,0.0018,0.0018,0.0018,0.0018,0.0018,0.0062,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
0.4000,0,126.2714,no,unknown,unknown,unknown,Unknown,-3.2185,2.5867,7.6529,0.0018,0.0046,0.4128,0.0238,0.0059,0.1935,0.1967,-0.1899,0.0822,0.0000,0.0080,0.0780,0.0002,0.0003,0.0000,0.0003,0.1169,0.0186,0.0257,0.4810,0.0079,0.1965,0.0000,97.9820,7.9681,0.0000,0.0483,0.0121,0.0020,0.1799,0.0018,0.0018,0.0018,0.0018,0.0018,0.0059,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
0.4667,0,125.1876,no,unknown,unknown,unknown,Unknown,-5.0900,3.0281,7.4334,0.0018,0.0046,0.4115,0.0238,0.0060,0.1934,0.1979,-0.2039,0.0824,0.0000,0.0088,0.0680,0.0002,0.0003,0.0000,0.0003,0.1155,0.0156,0.0249,0.5289,0.0081,0.2505,0.0000,97.7998,8.1379,0.0001,0.0616,0.0150,0.0027,0.1698,0.0018,0.0018,0.0018,0.0018,0.0018,0.0060,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
0.5333,0,124.5206,no,unknown,unknown,unknown,Unknown,-3.1503,3.0991,8.8394,0.0018,0.0046,0.4114,0.0238,0.0057,0.1934,0.1975,-0.2160,0.0824,0.0000,0.0076,0.0611,0.0004,0.0004,0.0000,0.0005,0.1479,0.0098,0.0291,0.5334,0.0089,0.2351,0.0000,97.7691,6.7629,0.0001,0.0682,0.0176,0.0033,0.1502,0.0018,0.0018,0.0018,0.0018,0.0018,0.0057,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
0.6000,0,125.9409,no,unknown,unknown,unknown,Unknown,-4.4753,2.7721,8.4483,0.0018,0.0046,0.4113,0.0238,0.0058,0.1935,0.1975,-0.2200,0.0825,0.0000,0.0082,0.0716,0.0006,0.0004,0.0000,0.0006,0.1526,0.0088,0.0319,0.5380,0.0087,0.2328,0.0000,97.9073,7.4478,0.0001,0.0853,0.0214,0.0037,0.1392,0.0018,0.0018,0.0018,0.0018,0.0018,0.0058,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
0.6667,0,125.7701,no,unknown,unknown,unknown,Unknown,-5.3591,1.7391,7.7901,0.0018,0.0046,0.4106,0.0238,0.0053,0.1936,0.1967,-0.2278,0.0827,0.0000,0.0088,0.0845,0.0011,0.0005,0.0000,0.0007,0.1475,0.0069,0.0333,0.5659,0.0088,0.1940,0.0000,98.2913,4.6290,0.0000,0.1142,0.0186,0.0039,0.1257,0.0018,0.0018,0.0018,0.0018,0.0018,0.0053,0.0000,0.0018,2.2977,2.2977,0.0019,0.0281,
