TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,105.9917,no,unknown,unknown,unknown,Unknown,4.5819,-18.5290,-0.8787,0.0018,0.0046,0.4253,0.0243,0.0045,0.1940,0.1978,-0.0710,0.0794,0.0000,0.1776,0.0331,0.0003,0.0000,0.0000,0.0007,0.0008,0.0013,0.0346,0.0216,0.0033,0.2489,0.0000,66.6901,0.0000,0.0000,0.0026,0.0052,0.0030,0.0633,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.0667,0,106.1185,no,unknown,unknown,unknown,Unknown,2.3600,-13.7501,-1.6504,0.0018,0.0047,0.4244,0.0259,0.0043,0.2010,0.1961,-0.5091,0.0816,0.0000,1.2654,0.0870,0.0003,0.0000,0.0000,0.0016,0.0023,0.0067,0.3694,0.0562,0.0029,0.1682,0.0000,83.8888,0.0000,0.0002,0.0089,0.0136,0.0340,0.1195,0.0018,0.0018,0.0018,0.0018,0.0018,0.0043,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.1333,0,105.4208,no,unknown,unknown,unknown,Unknown,1.1343,-10.8402,1.6964,0.0018,0.0048,0.4254,0.0271,0.0042,0.2051,0.1959,-0.6120,0.0804,0.0000,1.8765,0.1279,0.0003,0.0000,0.0000,0.0069,0.0023,0.0171,0.1247,0.0203,0.0024,0.1585,0.0000,90.3083,0.0000,0.0002,0.0082,0.0064,0.0106,0.1589,0.0018,0.0018,0.0018,0.0018,0.0018,0.0042,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.2000,0,105.3750,no,unknown,unknown,unknown,Unknown,-0.3694,-8.0090,1.1944,0.0018,0.0050,0.4257,0.0298,0.0039,0.2142,0.1953,-1.0373,0.0805,0.0000,3.2998,0.1446,0.0010,0.0000,0.0000,0.0120,0.0053,0.0490,0.1148,0.0093,0.0025,0.1264,0.0000,94.2579,0.0000,0.0003,0.0146,0.0054,0.0120,0.2275,0.0018,0.0018,0.0018,0.0018,0.0018,0.0039,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.2667,0,107.6938,no,unknown,unknown,unknown,Unknown,-1.9110,-6.5519,1.1388,0.0018,0.0053,0.4257,0.0340,0.0036,0.2270,0.1947,-1.6495,0.0805,0.0000,5.2751,0.1231,0.0014,0.0000,0.0000,0.0237,0.0117,0.0244,0.1454,0.0097,0.0033,0.0960,0.0000,95.6463,0.0000,0.0003,0.0195,0.0041,0.0106,0.3287,0.0018,0.0018,0.0018,0.0018,0.0018,0.0036,0.0000,0.0018,2.2978,2.2978,0.0018,0.0282,
0.3333,0,108.3736,no,unknown,unknown,unknown,Unknown,0.0026,-11.9472,0.2112,0.0018,0.0062,0.4259,0.0471,0.0030,0.2622,0.1946,-3.0996,0.0799,0.0000,10.1494,0.0831,0.0019,0.0000,0.0000,0.0351,0.0166,0.0252,0.0753,0.0082,0.0048,0.0936,0.0000,88.1902,0.0000,0.0008,0.0260,0.0026,0.0112,0.5192,0.0018,0.0018,0.0018,0.0018,0.0018,0.0030,0.0000,0.0018,2.2978,2.2978,0.0018,0.0282,
0.4000,0,108.4429,no,unknown,unknown,unknown,Unknown,1.1775,-11.4915,1.4286,0.0018,0.0068,0.4260,0.0578,0.0026,0.2872,0.1946,-4.0114,0.0799,0.0000,13.2010,0.0836,0.0026,0.0000,0.0000,0.0294,0.0178,0.0289,0.0766,0.0062,0.0043,0.0931,0.0000,89.1068,0.0000,0.0010,0.0312,0.0018,0.0068,0.5125,0.0018,0.0018,0.0018,0.0018,0.0018,0.0026,0.0000,0.0018,2.2978,2.2978,0.0018,0.0283,
0.4667,0,107.4715,no,unknown,unknown,unknown,Unknown,4.5288,-15.2505,-3.2459,0.0018,0.0071,0.4261,0.0646,0.0024,0.3021,0.1940,-4.5259,0.0800,0.0000,14.8864,0.0843,0.0014,0.0000,0.0000,0.0328,0.0224,0.0393,0.0973,0.0063,0.0038,0.0653,0.0000,79.4113,0.0000,0.0030,0.0289,0.0047,0.0102,0.6146,0.0018,0.0018,0.0018,0.0018,0.0018,0.0024,0.0000,0.0018,2.2978,2.2978,0.0018,0.0283,
0.5333,0,106.7873,no,unknown,unknown,unknown,Unknown,6.8195,-14.8259,0.0809,0.0018,0.0088,0.4262,0.1030,0.0018,0.3735,0.1933,-6.6336,0.0803,0.0000,21.8999,0.1333,0.0011,0.0000,0.0000,0.0346,0.0434,0.0276,0.1004,0.0055,0.0039,0.0297,0.0013,80.7652,0.0000,0.0143,0.0431,0.0080,0.0123,0.5393,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0000,0.0018,2.2978,2.2978,0.0018,0.0283,
0.6000,0,105.7830,no,unknown,unknown,unknown,Unknown,5.2962,-12.2446,-0.7653,0.0018,0.0091,0.4262,0.1098,0.0017,0.3859,0.1932,-6.9897,0.0813,0.0000,22.9160,0.1782,0.0007,0.0000,0.0000,0.0476,0.1058,0.0280,0.2250,0.0039,0.0040,0.0237,0.0017,87.5565,0.0000,0.0474,0.0434,0.0143,0.0163,0.6437,0.0018,0.0018,0.0018,0.0018,0.0018,0.0017,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
