TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,124.1828,no,unknown,unknown,unknown,Unknown,-5.7805,-14.9494,-31.1670,0.0018,0.0046,0.4277,0.0238,0.0045,0.1949,0.1936,0.0007,0.0804,0.0000,0.0000,0.0121,0.0000,0.0001,0.0000,0.0008,0.0000,0.0004,0.0125,0.0004,0.2394,0.0431,1.2487,80.3786,0.0000,0.0130,0.0017,0.0037,0.0016,0.0410,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2977,2.2977,0.0018,0.0281,
0.0667,0,120.8160,no,unknown,unknown,unknown,Unknown,-12.8193,-5.2111,-9.2578,0.0018,0.0046,0.4275,0.0238,0.0045,0.1948,0.1934,-0.0115,0.0804,0.0000,0.0000,0.0116,0.0000,0.0000,0.0000,0.0011,0.0000,0.0003,0.0423,0.0031,0.2286,0.0351,7.6976,96.6359,0.0000,0.0072,0.0029,0.0164,0.0014,0.0395,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2978,2.2978,0.0018,0.0281,
0.1333,0,119.5811,no,unknown,unknown,unknown,Unknown,-15.7317,-8.3937,-17.2738,0.0019,0.0049,0.4397,0.0226,0.0045,0.2096,0.1935,-0.0081,0.0903,0.0000,0.0000,0.0992,0.0002,0.0001,0.0000,0.0006,0.0001,0.0004,0.0260,0.0021,1.7687,0.0401,0.2368,93.8270,0.0001,0.0021,0.0010,0.0109,0.0008,0.1354,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2978,2.2978,0.0018,0.0282,
0.2000,0,116.4497,no,unknown,unknown,unknown,Unknown,-16.6267,-5.1028,-14.2709,0.0019,0.0050,0.4399,0.0225,0.0045,0.2104,0.1931,-0.0194,0.0907,0.0000,0.0002,0.1479,0.0007,0.0000,0.0000,0.0007,0.0001,0.0003,0.0623,0.0019,1.7917,0.0190,0.0010,96.7056,0.0001,0.0016,0.0010,0.0125,0.0015,0.1476,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2978,2.2978,0.0018,0.0283,
0.2667,0,112.6653,no,unknown,unknown,unknown,Unknown,-15.2848,-4.3613,-15.6356,0.0019,0.0049,0.4398,0.0225,0.0045,0.2098,0.1930,-0.0405,0.0904,0.0000,0.0003,0.1103,0.0009,0.0000,0.0000,0.0005,0.0001,0.0005,0.1344,0.0010,1.7789,0.0152,0.0021,97.1467,0.0003,0.0023,0.0007,0.0083,0.0016,0.1781,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2978,2.2978,0.0018,0.0284,
0.3333,0,114.9884,no,unknown,unknown,unknown,Unknown,-16.4739,-7.6692,-29.0661,0.0019,0.0049,0.4391,0.0225,0.0045,0.2095,0.1931,-0.0756,0.0901,0.0000,0.0006,0.1462,0.0010,0.0000,0.0000,0.0003,0.0001,0.0009,0.2510,0.0010,1.6987,0.0193,0.0119,94.6148,0.0003,0.0019,0.0006,0.0221,0.0032,0.2210,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2978,2.2978,0.0018,0.0285,
0.4000,0,112.4163,no,unknown,unknown,unknown,Unknown,-14.1974,-8.6929,-17.0214,0.0019,0.0049,0.4364,0.0226,0.0045,0.2081,0.1931,-0.1644,0.0890,0.0000,0.0008,0.3199,0.0017,0.0000,0.0000,0.0002,0.0002,0.0007,0.5450,0.0018,1.3593,0.0183,0.1726,93.4712,0.0002,0.0016,0.0008,0.0368,0.0063,0.2591,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2978,2.2978,0.0018,0.0286,
0.4667,0,94.5103,no,unknown,unknown,unknown,Unknown,-17.5938,-8.5949,-16.3190,0.0019,0.0048,0.4354,0.0229,0.0045,0.2056,0.1934,-0.0791,0.0875,0.0000,0.0010,0.1986,0.0019,0.0000,0.0000,0.0003,0.0002,0.0013,0.2596,0.0017,1.2289,0.0356,0.0824,93.5898,0.0005,0.0011,0.0012,0.0314,0.0083,0.1858,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2978,2.2978,0.0018,0.0287,
0.5333,0,102.6128,no,unknown,unknown,unknown,Unknown,-15.3330,-7.7641,-18.3436,0.0018,0.0048,0.4345,0.0230,0.0045,0.2054,0.1930,-0.0459,0.0873,0.0000,0.0034,0.2856,0.0069,0.0000,0.0000,0.0005,0.0004,0.0011,0.1401,0.0015,1.1160,0.0138,0.0066,94.5173,0.0015,0.0003,0.0015,0.0278,0.0071,0.1483,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2978,2.2978,0.0018,0.0287,
0.6000,0,104.1702,no,unknown,unknown,unknown,Unknown,-15.0494,-6.2535,-16.5418,0.0018,0.0048,0.4334,0.0231,0.0045,0.2036,0.1932,-0.0535,0.0862,0.0000,0.0153,0.2403,0.0207,0.0000,0.0000,0.0005,0.0008,0.0011,0.1402,0.0009,0.9777,0.0206,0.0033,95.8881,0.0013,0.0004,0.0017,0.0222,0.0081,0.1589,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2978,2.2978,0.0018,0.0288,
