TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,124.7958,no,unknown,unknown,unknown,Unknown,-11.6534,4.4866,-3.5522,0.0018,0.0046,0.4261,0.0247,0.0045,0.1956,0.1932,-0.1321,0.0793,0.0000,0.4380,0.0342,0.0007,0.0001,0.0000,0.0006,0.0000,0.0050,0.0059,0.0003,0.0080,0.0277,0.0000,97.0764,0.0014,0.0045,0.0260,0.0010,0.0001,0.0818,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.0667,0,125.1213,no,unknown,unknown,unknown,Unknown,-12.7965,4.4940,-3.3402,0.0018,0.0046,0.4261,0.0247,0.0045,0.1953,0.1939,-0.1212,0.0792,0.0000,0.4014,0.0299,0.0009,0.0001,0.0000,0.0004,0.0000,0.0076,0.0040,0.0001,0.0053,0.0576,0.0000,97.0722,0.0017,0.0027,0.0314,0.0007,0.0001,0.1404,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.1333,0,124.7193,no,unknown,unknown,unknown,Unknown,-11.4719,5.3908,-2.5426,0.0018,0.0046,0.4261,0.0245,0.0045,0.1947,0.1938,-0.0844,0.0794,0.0000,0.2810,0.0348,0.0006,0.0001,0.0000,0.0004,0.0000,0.0359,0.0024,0.0001,0.0049,0.0540,0.0000,96.5170,0.0039,0.0029,0.0291,0.0006,0.0001,0.1484,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.2000,0,126.5601,no,unknown,unknown,unknown,Unknown,-10.5540,7.0063,-2.3584,0.0018,0.0046,0.4260,0.0246,0.0045,0.1953,0.1945,-0.1064,0.0800,0.0000,0.3533,0.0517,0.0008,0.0001,0.0000,0.0003,0.0001,0.1268,0.0029,0.0001,0.0042,0.0867,0.0000,95.2517,0.0034,0.0026,0.0306,0.0008,0.0002,0.1337,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.2667,0,128.0903,no,unknown,unknown,unknown,Unknown,-13.4906,4.5900,-5.9491,0.0018,0.0046,0.4260,0.0241,0.0045,0.1938,0.1937,-0.0269,0.0795,0.0000,0.0943,0.0556,0.0002,0.0001,0.0000,0.0003,0.0001,0.0269,0.0023,0.0002,0.0036,0.0492,0.0000,97.0172,0.0067,0.0063,0.0163,0.0008,0.0005,0.1268,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.3333,0,127.9347,no,unknown,unknown,unknown,Unknown,-12.2519,1.5059,-1.8866,0.0018,0.0046,0.4260,0.0241,0.0045,0.1936,0.1935,-0.0224,0.0794,0.0000,0.0788,0.0453,0.0003,0.0001,0.0000,0.0003,0.0002,0.0202,0.0029,0.0003,0.0026,0.0422,0.1179,98.3678,0.0052,0.0064,0.0116,0.0009,0.0002,0.1126,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.4000,0,126.5955,no,unknown,unknown,unknown,Unknown,-13.0030,0.9207,-0.6246,0.0018,0.0046,0.4260,0.0241,0.0045,0.1936,0.1933,-0.0220,0.0794,0.0000,0.0741,0.0504,0.0003,0.0003,0.0000,0.0004,0.0001,0.0153,0.0045,0.0004,0.0030,0.0304,0.0338,98.5455,0.0027,0.0057,0.0108,0.0010,0.0001,0.0940,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.4667,0,127.4205,no,unknown,unknown,unknown,Unknown,-11.5694,-0.6597,0.0651,0.0018,0.0046,0.4259,0.0241,0.0045,0.1934,0.1935,-0.0217,0.0792,0.0000,0.0666,0.0373,0.0004,0.0004,0.0000,0.0006,0.0002,0.0053,0.0084,0.0013,0.0036,0.0421,0.0056,98.6185,0.0019,0.0048,0.0085,0.0021,0.0002,0.0774,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.5333,0,124.6252,no,unknown,unknown,unknown,Unknown,-10.4409,-3.5984,2.1633,0.0018,0.0046,0.4260,0.0241,0.0045,0.1934,0.1943,-0.0207,0.0792,0.0000,0.0635,0.0308,0.0005,0.0004,0.0000,0.0007,0.0001,0.0023,0.0089,0.0029,0.0030,0.0803,0.0023,97.5405,0.0006,0.0068,0.0102,0.0045,0.0002,0.0731,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.6000,0,125.5433,no,unknown,unknown,unknown,Unknown,-9.2030,-3.2690,2.9630,0.0018,0.0046,0.4259,0.0241,0.0045,0.1934,0.1953,-0.0229,0.0792,0.0000,0.0741,0.0330,0.0008,0.0009,0.0000,0.0006,0.0002,0.0037,0.0133,0.0061,0.0028,0.1284,0.0037,97.6937,0.0002,0.0159,0.0123,0.0123,0.0003,0.0743,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
