TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,134.5437,yes,unknown,unknown,unknown,Unknown,-9.4514,-5.7625,6.7572,0.0018,0.0045,0.4259,0.0241,0.0045,0.1925,0.1943,-0.0138,0.0793,0.0000,0.0118,0.0044,0.0238,0.0000,0.0000,0.0002,0.0001,0.0340,0.0098,0.0004,0.0003,0.0752,0.0000,96.2583,0.0029,0.0003,0.0096,0.0021,0.0005,0.0778,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.6922,2.2977,2.2977,0.0018,0.0280,
0.0667,0,138.8873,yes,unknown,unknown,unknown,Unknown,-6.5302,0.7936,8.2225,0.0018,0.0046,0.4260,0.0241,0.0045,0.1935,0.1936,-0.0188,0.0795,0.0000,0.0399,0.0601,0.0067,0.0000,0.0000,0.0044,0.0000,0.0260,0.0059,0.0001,0.0117,0.0456,0.0000,98.5815,0.0027,0.0003,0.0058,0.0009,0.0004,0.5628,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.3731,2.2977,2.2977,0.0018,0.0283,
0.1333,0,141.5867,yes,unknown,unknown,unknown,Unknown,-3.8055,4.7405,8.1507,0.0019,0.0049,0.4397,0.0226,0.0045,0.2100,0.1928,-0.0468,0.0904,0.0000,0.0184,0.1247,0.0009,0.0001,0.0000,0.0580,0.0000,0.0080,0.0014,0.0000,1.7650,0.0048,0.0000,96.9288,0.0048,0.0002,0.0027,0.0002,0.0001,0.5437,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.2509,2.2977,2.2977,0.0018,0.0286,
0.2000,0,143.2140,yes,unknown,unknown,unknown,Unknown,-5.4964,1.0227,7.5699,0.0028,0.0135,0.6511,0.0110,0.0045,0.5616,0.1928,-0.3191,0.4312,0.0000,0.0122,0.3439,0.0009,0.0001,0.0002,0.4492,0.0001,0.0076,0.0021,0.0000,23.4670,0.0047,0.0000,98.5160,0.0046,0.0002,0.0018,0.0004,0.0002,0.6632,0.0018,0.0018,0.0018,0.0018,0.0019,0.0045,0.0000,0.1889,2.2977,2.2977,0.0018,0.0289,
0.2667,0,142.6679,yes,unknown,unknown,unknown,Unknown,-6.5028,3.3673,6.9956,0.0072,0.1531,1.6914,0.0020,0.0043,5.9366,0.1929,-1.8256,16.5927,0.0000,0.0105,0.8401,0.0006,0.0004,0.0005,2.6026,0.0002,0.0078,0.0006,0.0000,76.5531,0.0088,0.0000,97.6490,0.0090,0.0003,0.0013,0.0003,0.0002,0.6117,0.0018,0.0018,0.0018,0.0018,0.0021,0.0043,0.0000,0.1515,2.2977,2.2977,0.0018,0.0296,
0.3333,0,142.2401,yes,unknown,unknown,unknown,Unknown,-7.8444,1.4652,5.7872,0.0099,0.2928,2.3217,0.0013,0.0044,12.2223,0.1930,-5.9026,41.1588,0.0000,0.0092,0.6751,0.0006,0.0011,0.0013,8.4263,0.0003,0.0105,0.0006,0.0000,94.3213,0.0158,0.0000,98.3809,0.0187,0.0004,0.0011,0.0003,0.0002,0.7544,0.0018,0.0018,0.0018,0.0018,0.0031,0.0044,0.0000,0.1266,2.2977,2.2977,0.0018,0.0300,
0.4000,0,142.1834,yes,unknown,unknown,unknown,Unknown,-6.0286,1.5300,6.6883,0.0098,0.3050,2.3247,0.0012,0.0043,12.4552,0.1930,-5.2777,41.9160,0.0000,0.0092,1.0523,0.0005,0.0026,0.0018,7.5319,0.0007,0.0124,0.0010,0.0000,94.3805,0.0156,0.0000,98.3601,0.0212,0.0006,0.0010,0.0003,0.0002,0.6041,0.0018,0.0018,0.0018,0.0018,0.0037,0.0043,0.0000,0.1089,2.2977,2.2977,0.0018,0.0304,
0.4667,0,143.8103,yes,unknown,unknown,unknown,Unknown,-4.3801,5.3781,8.6043,0.0105,0.2775,2.4585,0.0013,0.0044,13.8650,0.1931,-10.6578,46.8188,0.0000,0.0091,0.6962,0.0004,0.0045,0.0025,15.2158,0.0011,0.0129,0.0012,0.0000,97.5199,0.0200,0.0000,96.5256,0.0225,0.0008,0.0011,0.0003,0.0002,0.5512,0.0018,0.0018,0.0018,0.0018,0.0069,0.0044,0.0000,0.0955,2.2977,2.2977,0.0018,0.0306,
0.5333,0,134.4745,yes,unknown,unknown,unknown,Unknown,-6.3359,0.6037,5.7765,0.0104,0.2384,2.4900,0.0015,0.0042,14.7376,0.1934,-15.5317,49.4877,0.0000,0.0068,1.4784,0.0003,0.0047,0.0028,22.1791,0.0016,0.0093,0.0009,0.0000,98.2346,0.0339,0.0000,98.6336,0.0364,0.0006,0.0006,0.0001,0.0001,0.4681,0.0018,0.0018,0.0018,0.0018,0.0176,0.0042,0.0000,0.0851,2.2977,2.2977,0.0018,0.0311,
0.6000,0,137.2020,yes,unknown,unknown,unknown,Unknown,-6.1329,0.7831,7.1324,0.0103,0.2135,2.5070,0.0017,0.0040,15.3670,0.1939,-18.9750,51.3173,0.0000,0.0047,2.1139,0.0002,0.0036,0.0037,27.0983,0.0033,0.0108,0.0009,0.0000,98.6240,0.0618,0.0000,98.5844,0.0463,0.0006,0.0004,0.0001,0.0001,0.5070,0.0018,0.0018,0.0018,0.0018,0.0410,0.0040,0.0000,0.0768,2.2977,2.2977,0.0018,0.0319,
