TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,140.9326,no,unknown,unknown,unknown,Unknown,-15.5087,9.7342,5.8301,0.0018,0.0045,0.4258,0.0240,0.0045,0.1929,0.1931,-0.0747,0.0796,0.0000,0.0004,0.0255,0.0000,0.0336,0.0000,0.0040,0.0688,0.0047,0.0441,0.0709,0.0009,0.0224,1.4019,92.0793,0.0004,0.0004,0.0002,0.0101,0.0028,0.0468,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0280,
0.0667,0,144.1011,no,unknown,unknown,unknown,Unknown,-14.8433,12.6297,5.8498,0.0018,0.0045,0.4273,0.0240,0.0046,0.1930,0.2014,-0.1277,0.0803,0.0000,0.0001,0.0343,0.0000,0.0495,0.0000,0.0110,0.1760,0.0099,0.0929,0.0486,0.0050,0.4172,0.4235,86.6927,0.0004,0.0001,0.0002,0.0093,0.0022,0.1013,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.1333,0,138.9718,no,unknown,unknown,unknown,Unknown,-14.4927,15.2680,5.5947,0.0018,0.0045,0.4265,0.0240,0.0046,0.1929,0.2024,-0.0964,0.0799,0.0000,0.0001,0.0170,0.0000,0.0372,0.0000,0.0102,0.1189,0.0077,0.0633,0.0535,0.0066,0.4636,0.0288,79.3541,0.0003,0.0001,0.0002,0.0110,0.0017,0.0905,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.2000,0,129.8356,no,unknown,unknown,unknown,Unknown,-13.4677,19.1396,7.7085,0.0018,0.0045,0.4258,0.0240,0.0045,0.1928,0.2147,-0.0564,0.0795,0.0000,0.0003,0.0090,0.0001,0.0238,0.0000,0.0054,0.0353,0.0081,0.0443,0.0586,0.0037,1.0199,0.0023,63.9242,0.0000,0.0023,0.0007,0.0079,0.0019,0.0793,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.2667,0,127.2470,no,unknown,unknown,unknown,Unknown,-12.9687,20.8398,9.0192,0.0018,0.0045,0.4255,0.0240,0.0045,0.1928,0.2055,-0.0424,0.0797,0.0000,0.0006,0.0089,0.0004,0.0171,0.0000,0.0049,0.0179,0.0070,0.0261,0.0630,0.0045,0.6081,0.0015,55.7750,0.0000,0.0050,0.0019,0.0064,0.0018,0.0793,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.3333,0,127.3825,no,unknown,unknown,unknown,Unknown,-11.8043,20.9574,9.0581,0.0018,0.0045,0.4249,0.0240,0.0045,0.1928,0.2110,-0.0386,0.0800,0.0000,0.0014,0.0059,0.0008,0.0091,0.0000,0.0046,0.0191,0.0058,0.0170,0.0781,0.0056,0.8571,0.0045,55.1944,0.0000,0.0102,0.0045,0.0069,0.0018,0.0911,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.4000,0,128.6226,no,unknown,unknown,unknown,Unknown,-11.7188,21.1982,9.2717,0.0018,0.0045,0.4240,0.0240,0.0045,0.1928,0.2053,-0.0442,0.0799,0.0000,0.0021,0.0064,0.0015,0.0065,0.0000,0.0037,0.0173,0.0060,0.0114,0.1034,0.0052,0.5994,0.0066,54.0004,0.0000,0.0059,0.0078,0.0064,0.0021,0.0824,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.4667,0,130.5771,no,unknown,unknown,unknown,Unknown,-11.8316,21.3447,8.7458,0.0018,0.0045,0.4232,0.0240,0.0045,0.1928,0.2054,-0.0599,0.0801,0.0000,0.0036,0.0053,0.0018,0.0081,0.0000,0.0038,0.0206,0.0064,0.0167,0.1420,0.0058,0.6031,0.0468,53.2718,0.0000,0.0056,0.0093,0.0075,0.0021,0.0800,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.5333,0,128.4083,no,unknown,unknown,unknown,Unknown,-12.1265,21.8297,8.6557,0.0018,0.0045,0.4219,0.0240,0.0045,0.1927,0.2208,-0.0794,0.0807,0.0000,0.0063,0.0033,0.0054,0.0087,0.0000,0.0036,0.0158,0.0072,0.0204,0.2008,0.0059,1.2833,0.0990,50.8515,0.0000,0.0051,0.0245,0.0063,0.0021,0.0706,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.6000,0,127.9682,no,unknown,unknown,unknown,Unknown,-14.0530,21.4605,8.8716,0.0018,0.0045,0.4193,0.0240,0.0045,0.1927,0.2167,-0.1216,0.0811,0.0000,0.0282,0.0021,0.0166,0.0106,0.0000,0.0042,0.0106,0.0070,0.0333,0.3127,0.0059,1.1064,0.0203,52.6948,0.0000,0.0175,0.0639,0.0065,0.0021,0.0713,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
