TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,128.9704,yes,unknown,unknown,unknown,Unknown,3.3076,2.4991,1.7320,0.0018,0.0046,0.4261,0.0247,0.0045,0.1955,0.1928,-0.1486,0.0799,0.0000,0.4467,0.0216,0.0009,0.0013,0.0000,0.0041,0.0640,0.1430,0.0066,0.0001,0.0012,0.0050,0.0040,98.0163,0.0000,0.0261,0.0258,0.0020,0.0005,0.0266,0.0018,0.0018,0.0018,0.0019,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0280,
0.0667,0,129.8572,yes,unknown,unknown,unknown,Unknown,2.6276,5.0202,-0.8143,0.0018,0.0047,0.4261,0.0260,0.0044,0.1997,0.1928,-0.3657,0.0808,0.0000,1.1648,0.0205,0.0013,0.0016,0.0000,0.0036,0.2988,0.2428,0.0125,0.0001,0.0011,0.0075,0.0060,96.7578,0.0000,0.2023,0.0964,0.0027,0.0005,0.0866,0.0018,0.0018,0.0018,0.0019,0.0018,0.0044,0.0000,0.0019,2.2977,2.2977,0.0018,0.0280,
0.1333,0,128.9621,yes,unknown,unknown,unknown,Unknown,2.7481,4.3174,-1.2425,0.0018,0.0047,0.4261,0.0261,0.0043,0.2003,0.1928,-0.3949,0.0803,0.0000,1.2601,0.0268,0.0016,0.0015,0.0000,0.0033,0.1994,0.1701,0.0095,0.0000,0.0012,0.0066,0.0046,97.1709,0.0002,0.1236,0.1346,0.0023,0.0005,0.0874,0.0018,0.0018,0.0018,0.0019,0.0018,0.0043,0.0000,0.0020,2.2977,2.2977,0.0018,0.0280,
0.2000,0,128.2815,yes,unknown,unknown,unknown,Unknown,2.3915,3.4697,-1.4173,0.0018,0.0049,0.4261,0.0282,0.0041,0.2075,0.1929,-0.7533,0.0803,0.0000,2.4245,0.0338,0.0017,0.0015,0.0000,0.0027,0.1955,0.1836,0.0102,0.0000,0.0011,0.0086,0.0018,97.6015,0.0002,0.0974,0.1926,0.0030,0.0005,0.1111,0.0018,0.0018,0.0018,0.0019,0.0018,0.0041,0.0000,0.0020,2.2978,2.2978,0.0018,0.0280,
0.2667,0,126.7989,yes,unknown,unknown,unknown,Unknown,0.6074,2.4912,0.4025,0.0018,0.0048,0.4262,0.0265,0.0043,0.2018,0.1930,-0.4602,0.0801,0.0000,1.4926,0.0298,0.0016,0.0013,0.0000,0.0016,0.1291,0.1703,0.0131,0.0001,0.0012,0.0148,0.0014,98.0194,0.0001,0.0814,0.2888,0.0033,0.0005,0.0969,0.0018,0.0018,0.0018,0.0019,0.0018,0.0043,0.0000,0.0020,2.2978,2.2978,0.0018,0.0280,
0.3333,0,123.6536,yes,unknown,unknown,unknown,Unknown,1.0476,4.0358,0.5997,0.0018,0.0048,0.4262,0.0270,0.0042,0.2036,0.1931,-0.5203,0.0803,0.0000,1.7575,0.0512,0.0014,0.0012,0.0000,0.0016,0.1085,0.1816,0.0236,0.0001,0.0015,0.0223,0.0010,97.3217,0.0003,0.1221,0.2812,0.0040,0.0004,0.1204,0.0018,0.0018,0.0018,0.0019,0.0018,0.0042,0.0000,0.0020,2.2978,2.2978,0.0018,0.0281,
0.4000,0,125.1577,yes,unknown,unknown,unknown,Unknown,1.7962,3.6014,0.3058,0.0018,0.0048,0.4262,0.0265,0.0043,0.2022,0.1931,-0.4549,0.0801,0.0000,1.5109,0.0619,0.0013,0.0012,0.0001,0.0014,0.1008,0.1314,0.0388,0.0001,0.0023,0.0209,0.0007,97.5391,0.0004,0.1056,0.3283,0.0034,0.0004,0.1448,0.0018,0.0018,0.0018,0.0019,0.0018,0.0043,0.0000,0.0020,2.2978,2.2978,0.0018,0.0281,
0.4667,0,125.8957,yes,unknown,unknown,unknown,Unknown,0.9437,3.0700,-0.1272,0.0018,0.0048,0.4263,0.0267,0.0042,0.2030,0.1931,-0.5010,0.0800,0.0000,1.6406,0.0588,0.0014,0.0012,0.0001,0.0015,0.0832,0.1201,0.0768,0.0001,0.0029,0.0201,0.0005,97.7817,0.0003,0.1033,0.3382,0.0033,0.0004,0.2272,0.0018,0.0018,0.0018,0.0019,0.0018,0.0042,0.0000,0.0020,2.2978,2.2978,0.0018,0.0281,
0.5333,0,124.2952,yes,unknown,unknown,unknown,Unknown,1.2565,3.3979,-0.4076,0.0018,0.0049,0.4263,0.0282,0.0041,0.2083,0.1931,-0.7435,0.0801,0.0000,2.4642,0.0782,0.0014,0.0017,0.0001,0.0016,0.0724,0.1077,0.1239,0.0001,0.0033,0.0211,0.0003,97.6349,0.0008,0.1428,0.6523,0.0028,0.0004,0.2657,0.0018,0.0018,0.0018,0.0019,0.0018,0.0041,0.0000,0.0020,2.2978,2.2978,0.0018,0.0281,
0.6000,0,125.2419,yes,unknown,unknown,unknown,Unknown,0.1883,2.0886,-0.7446,0.0018,0.0051,0.4263,0.0302,0.0039,0.2153,0.1932,-1.0710,0.0805,0.0000,3.5011,0.1189,0.0012,0.0017,0.0001,0.0016,0.0546,0.0862,0.1385,0.0001,0.0041,0.0260,0.0005,98.1698,0.0011,0.0991,0.8981,0.0028,0.0004,0.3723,0.0018,0.0018,0.0018,0.0019,0.0018,0.0039,0.0000,0.0020,2.2978,2.2978,0.0018,0.0281,
