TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,105.0562,no,unknown,unknown,unknown,Unknown,-12.3652,0.4104,1.7154,0.0018,0.0046,0.4268,0.0241,0.0046,0.1922,0.1930,-0.0176,0.0797,0.0000,0.0001,0.0010,0.0445,0.0078,0.0002,0.0003,0.0000,0.0521,0.0033,0.0013,0.0061,0.0093,0.0000,98.6848,0.0000,0.0035,0.0116,0.0049,0.0010,0.1337,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0000,0.0019,2.2978,2.2978,0.0018,0.0281,
0.0667,0,104.3201,no,unknown,unknown,unknown,Unknown,-9.6542,2.2666,0.9449,0.0018,0.0046,0.4263,0.0242,0.0046,0.1916,0.1932,-0.0333,0.0798,0.0000,0.0001,0.0015,0.0981,0.0043,0.0002,0.0005,0.0001,0.0437,0.0027,0.0052,0.0036,0.0103,0.0000,98.1047,0.0000,0.0028,0.0067,0.0042,0.0013,0.2546,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0000,0.0019,2.2978,2.2978,0.0018,0.0282,
0.1333,0,112.4249,no,unknown,unknown,unknown,Unknown,-7.0448,4.1727,-2.3820,0.0018,0.0046,0.4287,0.0241,0.0046,0.1925,0.1934,-0.0299,0.0814,0.0000,0.0000,0.0052,0.0350,0.0222,0.0086,0.0005,0.0008,0.0610,0.0020,0.0105,0.0198,0.0317,0.0089,97.2494,0.0000,0.0008,0.0128,0.0013,0.0007,0.1522,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0000,0.0019,2.2978,2.2978,0.0018,0.0282,
0.2000,0,112.8705,no,unknown,unknown,unknown,Unknown,-6.1889,6.1082,-2.2873,0.0018,0.0046,0.4314,0.0241,0.0045,0.1925,0.1931,-0.0452,0.0839,0.0000,0.0001,0.0088,0.0304,0.0436,0.0143,0.0025,0.0028,0.0431,0.0044,0.0123,0.0091,0.0176,69.2555,96.0012,0.0000,0.0013,0.0207,0.0013,0.0013,0.0848,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2978,2.2978,0.0018,0.0281,
0.2667,0,109.5793,no,unknown,unknown,unknown,Unknown,-4.4378,7.0513,-2.1888,0.0018,0.0046,0.4392,0.0241,0.0045,0.1925,0.1930,-0.0931,0.0915,0.0000,0.0001,0.0195,0.0322,0.1107,0.0126,0.0135,0.0037,0.0107,0.0107,0.0298,0.0043,0.0091,37.7557,95.2108,0.0000,0.0025,0.0327,0.0014,0.0032,0.0434,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2978,2.2978,0.0018,0.0281,
0.3333,0,107.8870,no,unknown,unknown,unknown,Unknown,-5.1583,8.4078,-0.0400,0.0018,0.0045,0.4530,0.0240,0.0045,0.1926,0.1929,-0.2457,0.0905,0.0000,0.0002,0.0238,0.0262,0.3835,0.0190,0.0177,0.0081,0.0079,0.0234,0.0528,0.0029,0.0065,3.7510,93.8106,0.0000,0.0026,0.0365,0.0021,0.0040,0.0534,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2978,2.2978,0.0018,0.0281,
0.4000,0,101.4638,no,unknown,unknown,unknown,Unknown,-0.3193,9.0781,-1.6651,0.0018,0.0046,0.4441,0.0240,0.0045,0.1926,0.1930,-0.1704,0.0878,0.0000,0.0003,0.0285,0.0310,0.2473,0.0191,0.0094,0.0051,0.0091,0.0277,0.0429,0.0027,0.0097,0.0154,92.9849,0.0000,0.0039,0.0371,0.0015,0.0077,0.0612,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0020,2.2978,2.2978,0.0018,0.0281,
0.4667,0,100.8255,no,unknown,unknown,unknown,Unknown,-1.0564,7.2983,-1.6808,0.0018,0.0046,0.4366,0.0240,0.0045,0.1925,0.1933,-0.1239,0.0850,0.0000,0.0006,0.0229,0.0337,0.1566,0.0133,0.0052,0.0051,0.0093,0.0194,0.0657,0.0029,0.0252,0.0002,94.9805,0.0000,0.0050,0.0320,0.0016,0.0127,0.0977,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0020,2.2978,2.2978,0.0018,0.0281,
0.5333,0,101.2526,no,unknown,unknown,unknown,Unknown,-4.3688,9.3564,0.6488,0.0018,0.0046,0.4270,0.0240,0.0045,0.1927,0.1940,-0.1085,0.0820,0.0000,0.0012,0.0442,0.0383,0.0724,0.0067,0.0032,0.0056,0.0061,0.0086,0.1741,0.0024,0.0563,0.0001,92.6131,0.0000,0.0042,0.0322,0.0011,0.0118,0.0891,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0020,2.2978,2.2978,0.0018,0.0281,
0.6000,0,104.4390,no,unknown,unknown,unknown,Unknown,-8.1280,6.6105,0.6760,0.0018,0.0046,0.4212,0.0238,0.0045,0.1950,0.2002,-0.1515,0.0824,0.0000,0.0016,0.2542,0.0150,0.0594,0.0072,0.0022,0.0194,0.0124,0.0171,0.3397,0.0034,0.3604,0.0005,95.5972,0.0000,0.0028,0.0301,0.0019,0.0236,0.0558,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0020,2.2978,2.2978,0.0018,0.0281,
