TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,179.9143,no,unknown,unknown,unknown,Unknown,-22.4331,-2.2841,-4.1206,0.0017,0.0049,0.4273,0.0225,0.0040,0.2185,0.1935,-0.0064,0.0946,0.0000,0.0051,2.3313,0.0000,0.0001,0.0001,0.0004,0.0076,0.0543,0.0051,0.0054,0.2028,0.0407,0.0000,98.0982,0.0056,0.0021,0.0022,0.0052,0.0030,0.0488,0.0017,0.0017,0.0000,0.0018,0.0018,0.0040,0.0000,0.0025,2.2978,2.2978,0.0018,0.0288,
0.0667,0,179.3147,no,unknown,unknown,unknown,Unknown,-26.3348,-3.2263,-4.3649,0.0017,0.0049,0.4290,0.0225,0.0041,0.2179,0.1934,-0.0052,0.0944,0.0000,0.0046,2.0803,0.0000,0.0001,0.0002,0.0006,0.0075,0.0720,0.0046,0.0045,0.4218,0.0376,0.0000,97.7129,0.0085,0.0042,0.0021,0.0048,0.0027,0.1411,0.0017,0.0017,0.0000,0.0019,0.0018,0.0041,0.0000,0.0027,2.2978,2.2978,0.0018,0.0294,
0.1333,0,179.4633,no,unknown,unknown,unknown,Unknown,-26.0723,-3.9569,-5.2501,0.0017,0.0049,0.4285,0.0227,0.0041,0.2149,0.1933,-0.0053,0.0925,0.0000,0.0046,1.8679,0.0000,0.0001,0.0001,0.0008,0.0060,0.0596,0.0060,0.0051,0.3507,0.0288,0.0000,97.3625,0.0095,0.0045,0.0022,0.0058,0.0026,0.0824,0.0017,0.0017,0.0000,0.0018,0.0018,0.0041,0.0000,0.0028,2.2978,2.2978,0.0018,0.0294,
0.2000,0,179.7964,no,unknown,unknown,unknown,Unknown,-25.5051,-3.0617,-4.5657,0.0017,0.0049,0.4297,0.0225,0.0041,0.2185,0.1938,-0.0066,0.0949,0.0000,0.0083,2.0684,0.0000,0.0001,0.0001,0.0007,0.0074,0.0516,0.0077,0.0038,0.4986,0.0569,0.0000,97.7853,0.0061,0.0052,0.0026,0.0075,0.0033,0.1283,0.0017,0.0017,0.0000,0.0018,0.0018,0.0041,0.0000,0.0027,2.2978,2.2978,0.0018,0.0296,
0.2667,0,177.7271,no,unknown,unknown,unknown,Unknown,-27.5286,-0.9742,-3.6997,0.0017,0.0050,0.4308,0.0224,0.0041,0.2192,0.1947,-0.0083,0.0954,0.0000,0.0112,2.0028,0.0000,0.0000,0.0002,0.0007,0.0081,0.0679,0.0068,0.0033,0.6444,0.0981,0.0000,98.5301,0.0044,0.0028,0.0027,0.0052,0.0024,0.1710,0.0017,0.0017,0.0000,0.0018,0.0018,0.0041,0.0000,0.0026,2.2978,2.2978,0.0018,0.0299,
0.3333,0,178.8707,no,unknown,unknown,unknown,Unknown,-26.2362,-3.2153,-4.2210,0.0017,0.0050,0.4314,0.0223,0.0040,0.2215,0.1960,-0.0113,0.0969,0.0000,0.0142,2.1361,0.0000,0.0000,0.0002,0.0010,0.0083,0.0707,0.0114,0.0034,0.7225,0.1600,0.0000,97.7178,0.0042,0.0017,0.0025,0.0054,0.0029,0.1751,0.0017,0.0017,0.0000,0.0019,0.0018,0.0040,0.0000,0.0025,2.2978,2.2978,0.0018,0.0301,
0.4000,0,179.8029,no,unknown,unknown,unknown,Unknown,-27.6101,-2.9388,-4.3746,0.0017,0.0050,0.4323,0.0222,0.0041,0.2214,0.1966,-0.0106,0.0969,0.0000,0.0145,2.0248,0.0000,0.0000,0.0002,0.0011,0.0088,0.0596,0.0085,0.0029,0.8394,0.1894,0.0000,97.8379,0.0050,0.0018,0.0027,0.0046,0.0026,0.1913,0.0017,0.0017,0.0000,0.0018,0.0018,0.0041,0.0000,0.0025,2.2978,2.2978,0.0018,0.0303,
0.4667,0,180.9797,no,unknown,unknown,unknown,Unknown,-24.8240,-3.8318,-3.4780,0.0017,0.0050,0.4328,0.0222,0.0041,0.2217,0.1969,-0.0090,0.0971,0.0000,0.0137,1.9950,0.0000,0.0000,0.0002,0.0008,0.0089,0.0607,0.0049,0.0029,0.8947,0.2026,0.0000,97.4260,0.0071,0.0019,0.0026,0.0048,0.0025,0.1875,0.0017,0.0017,0.0000,0.0018,0.0018,0.0041,0.0000,0.0024,2.2978,2.2978,0.0018,0.0306,
0.5333,0,179.5901,no,unknown,unknown,unknown,Unknown,-25.3153,-3.6511,-3.7799,0.0018,0.0052,0.4389,0.0217,0.0041,0.2288,0.1968,-0.0084,0.1021,0.0000,0.0138,1.9260,0.0000,0.0001,0.0002,0.0006,0.0091,0.0585,0.0034,0.0025,1.6744,0.2022,0.0000,97.5151,0.0082,0.0021,0.0029,0.0037,0.0024,0.2155,0.0017,0.0017,0.0000,0.0018,0.0018,0.0041,0.0000,0.0024,2.2978,2.2978,0.0018,0.0312,
0.6000,0,176.4439,no,unknown,unknown,unknown,Unknown,-25.0719,-1.3430,-1.7793,0.0018,0.0054,0.4446,0.0211,0.0041,0.2377,0.1975,-0.0092,0.1084,0.0000,0.0152,2.0515,0.0000,0.0001,0.0003,0.0007,0.0099,0.0675,0.0029,0.0025,2.3866,0.2326,0.0000,98.4193,0.0090,0.0017,0.0030,0.0039,0.0023,0.2812,0.0017,0.0017,0.0000,0.0018,0.0018,0.0041,0.0000,0.0024,2.2978,2.2978,0.0018,0.0319,
0.6667,0,176.0559,no,unknown,unknown,unknown,Unknown,-26.7722,0.2985,-0.6546,0.0018,0.0055,0.4494,0.0207,0.0041,0.2431,0.2003,-0.0094,0.1124,0.0000,0.0163,1.9804,0.0000,0.0001,0.0005,0.0005,0.0093,0.0704,0.0031,0.0020,2.9693,0.3682,0.0000,98.7135,0.0096,0.0012,0.0030,0.0030,0.0021,0.3604,0.0017,0.0017,0.0000,0.0019,0.0018,0.0041,0.0000,0.0024,2.2978,2.2978,0.0018,0.0324,
0.7333,0,177.6516,no,unknown,unknown,unknown,Unknown,-26.4650,-0.2959,-0.2162,0.0018,0.0057,0.4560,0.0203,0.0041,0.2500,0.2008,-0.0086,0.1177,0.0000,0.0127,1.8122,0.0000,0.0001,0.0007,0.0005,0.0077,0.0683,0.0047,0.0021,3.7785,0.3917,0.0000,98.7142,0.0125,0.0007,0.0027,0.0023,0.0022,0.4677,0.0017,0.0017,0.0000,0.0019,0.0018,0.0041,0.0000,0.0024,2.2978,2.2978,0.0018,0.0328,
0.8000,0,175.9390,no,unknown,unknown,unknown,Unknown,-26.7732,-0.3839,-0.6657,0.0019,0.0059,0.4614,0.0198,0.0041,0.2571,0.1998,-0.0075,0.1231,0.0000,0.0094,1.7857,0.0000,0.0001,0.0009,0.0004,0.0065,0.0655,0.0053,0.0024,4.4327,0.3402,0.0000,98.6916,0.0220,0.0008,0.0026,0.0022,0.0020,0.5122,0.0017,0.0017,0.0000,0.0019,0.0018,0.0041,0.0000,0.0024,2.2978,2.2978,0.0018,0.0331,
