TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,117.1814,no,unknown,unknown,unknown,Unknown,-7.2808,4.7159,-3.0599,0.0019,0.0051,0.4436,0.0222,0.0044,0.2178,0.1931,-0.0320,0.0954,0.0000,0.0637,0.3900,0.0000,0.0001,0.0000,0.0121,0.0035,0.0051,0.0110,0.0003,2.2526,0.0207,0.0000,96.9434,0.0000,0.0001,0.0014,0.0006,0.0004,0.1066,0.0018,0.0018,0.0011,0.0018,0.0018,0.0044,0.0000,0.0020,2.2977,2.2977,0.0018,0.0297,
0.0667,0,116.7111,no,unknown,unknown,unknown,Unknown,-7.5421,2.8180,-4.1637,0.0019,0.0051,0.4422,0.0224,0.0044,0.2161,0.1934,-0.0430,0.0941,0.0000,0.0905,0.3751,0.0000,0.0001,0.0000,0.0159,0.0045,0.0046,0.0109,0.0003,2.0746,0.0365,0.0000,97.8884,0.0000,0.0001,0.0013,0.0008,0.0007,0.1075,0.0018,0.0018,0.0012,0.0018,0.0018,0.0044,0.0000,0.0019,2.2977,2.2977,0.0018,0.0297,
0.1333,0,119.2346,no,unknown,unknown,unknown,Unknown,-9.6981,3.2547,-3.8634,0.0019,0.0049,0.4355,0.0232,0.0045,0.2068,0.1935,-0.0643,0.0875,0.0000,0.1610,0.2297,0.0000,0.0001,0.0000,0.0160,0.0038,0.0045,0.0116,0.0008,1.2119,0.0394,0.0000,97.7001,0.0000,0.0001,0.0017,0.0006,0.0009,0.0917,0.0018,0.0018,0.0014,0.0018,0.0018,0.0045,0.0000,0.0019,2.2977,2.2977,0.0018,0.0295,
0.2000,0,118.5502,no,unknown,unknown,unknown,Unknown,-10.0849,3.5939,-2.6644,0.0018,0.0047,0.4313,0.0239,0.0044,0.2020,0.1936,-0.1064,0.0838,0.0000,0.3023,0.1615,0.0000,0.0001,0.0000,0.0101,0.0062,0.0042,0.0205,0.0020,0.6737,0.0437,0.0000,97.5427,0.0000,0.0001,0.0020,0.0010,0.0016,0.1042,0.0018,0.0018,0.0015,0.0018,0.0018,0.0044,0.0000,0.0019,2.2977,2.2977,0.0018,0.0293,
0.2667,0,117.6429,no,unknown,unknown,unknown,Unknown,-8.3020,3.9325,-3.9445,0.0018,0.0048,0.4309,0.0241,0.0044,0.2033,0.1937,-0.1640,0.0840,0.0000,0.4651,0.2306,0.0000,0.0001,0.0000,0.0123,0.0105,0.0047,0.0388,0.0036,0.6286,0.0506,0.0000,97.3750,0.0000,0.0001,0.0023,0.0017,0.0023,0.1026,0.0018,0.0018,0.0015,0.0018,0.0018,0.0044,0.0000,0.0019,2.2978,2.2978,0.0018,0.0292,
0.3333,0,117.7778,no,unknown,unknown,unknown,Unknown,-8.5364,3.4719,-3.7990,0.0018,0.0048,0.4309,0.0247,0.0044,0.2049,0.1938,-0.2699,0.0838,0.0000,0.7865,0.2056,0.0000,0.0001,0.0000,0.0147,0.0132,0.0062,0.0619,0.0038,0.6175,0.0574,0.0000,97.6005,0.0000,0.0001,0.0028,0.0023,0.0033,0.1017,0.0018,0.0018,0.0016,0.0018,0.0018,0.0044,0.0000,0.0019,2.2978,2.2978,0.0018,0.0292,
0.4000,0,117.4717,no,unknown,unknown,unknown,Unknown,-7.6786,3.4096,-3.5822,0.0018,0.0048,0.4301,0.0244,0.0044,0.2030,0.1939,-0.2215,0.0832,0.0000,0.6140,0.1913,0.0000,0.0001,0.0000,0.0130,0.0154,0.0065,0.0747,0.0037,0.5390,0.0593,0.0000,97.6295,0.0000,0.0001,0.0024,0.0027,0.0033,0.0961,0.0018,0.0018,0.0016,0.0018,0.0018,0.0044,0.0000,0.0019,2.2978,2.2978,0.0018,0.0291,
0.4667,0,117.5594,no,unknown,unknown,unknown,Unknown,-9.0649,3.7677,-4.2261,0.0018,0.0048,0.4300,0.0247,0.0044,0.2040,0.1940,-0.2733,0.0832,0.0000,0.7873,0.1989,0.0000,0.0001,0.0000,0.0128,0.0190,0.0075,0.0707,0.0041,0.5277,0.0625,0.0000,97.4580,0.0000,0.0001,0.0024,0.0036,0.0043,0.0981,0.0018,0.0018,0.0016,0.0018,0.0018,0.0044,0.0000,0.0019,2.2978,2.2978,0.0018,0.0291,
0.5333,0,118.1864,no,unknown,unknown,unknown,Unknown,-7.9453,3.2765,-3.7017,0.0018,0.0049,0.4306,0.0253,0.0043,0.2069,0.1939,-0.3716,0.0836,0.0000,1.1571,0.1821,0.0000,0.0001,0.0000,0.0113,0.0200,0.0082,0.0302,0.0051,0.6143,0.0616,0.0000,97.6904,0.0000,0.0001,0.0023,0.0045,0.0035,0.1016,0.0018,0.0018,0.0016,0.0018,0.0018,0.0043,0.0000,0.0019,2.2978,2.2978,0.0018,0.0291,
0.6000,0,115.6046,no,unknown,unknown,unknown,Unknown,-9.3944,3.3225,-3.2520,0.0018,0.0049,0.4307,0.0254,0.0043,0.2072,0.1941,-0.3836,0.0836,0.0000,1.1995,0.1691,0.0000,0.0000,0.0000,0.0099,0.0249,0.0093,0.0236,0.0079,0.6330,0.0685,0.0000,97.6695,0.0000,0.0001,0.0025,0.0080,0.0039,0.1105,0.0018,0.0018,0.0016,0.0018,0.0018,0.0043,0.0000,0.0019,2.2978,2.2978,0.0018,0.0290,
