TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,155.0784,yes,unknown,unknown,unknown,Unknown,10.5000,-7.6201,-24.6219,0.0056,0.0031,0.2411,0.0139,0.0027,0.2104,0.1183,6.3543,0.2208,7.2057,0.0387,1.6878,0.0000,0.0000,0.0000,0.0001,1.1836,0.0094,0.0853,1.5314,0.0587,0.4854,0.0000,94.6646,0.6284,0.0009,0.0000,0.0415,0.0291,0.0436,0.0064,0.0017,0.0000,0.0018,0.0018,0.0027,0.0000,0.0018,2.2978,2.2978,0.0021,0.0282,
0.0667,0,158.9000,yes,unknown,unknown,unknown,Unknown,12.7562,-5.0714,-4.7292,74.6059,0.0001,0.0032,0.0002,0.0000,0.2116,0.0008,73.1465,96.6870,73.6153,0.0173,1.8330,0.0000,0.0000,0.0000,0.0000,0.1249,0.0046,0.0767,1.3556,0.0355,0.5869,0.0001,96.7255,2.8863,0.0090,0.0001,0.0548,0.0290,0.0280,45.8782,0.0017,0.0000,0.0018,0.0018,0.0000,0.0000,0.0018,2.2978,2.2978,0.0023,0.0282,
0.1333,0,159.3911,yes,unknown,unknown,unknown,Relaxed,12.8601,-5.4768,-5.0703,98.5348,0.0000,0.0009,0.0000,0.0000,0.2126,0.0002,92.4123,99.7784,92.7688,0.0115,1.9372,0.0000,0.0001,0.0000,0.0000,0.0365,0.0025,0.0491,1.1258,0.0313,0.0860,0.0008,96.4587,4.8464,0.0260,0.0001,0.0481,0.0327,0.0171,63.8266,0.0017,0.0000,0.0018,0.0018,0.0000,0.0000,0.0018,2.2978,2.2978,0.0024,0.0282,
0.2000,0,158.7664,yes,unknown,unknown,unknown,Relaxed,11.8502,-7.0973,-5.2900,85.7793,0.0000,0.0025,0.0001,0.0000,0.2169,0.0006,77.9899,98.2298,78.1136,0.0096,2.3391,0.0000,0.0001,0.0000,0.0000,0.0170,0.0026,0.0278,0.3922,0.0276,0.3300,0.0001,95.1687,12.0596,0.0261,0.0001,0.0263,0.0247,0.0198,71.8986,0.0017,0.0000,0.0018,0.0018,0.0000,0.0000,0.0018,2.2978,2.2978,0.0025,0.0281,
0.2667,0,159.0688,yes,unknown,unknown,unknown,Relaxed,12.1344,-6.0048,-4.7666,43.0765,0.0001,0.0058,0.0003,0.0001,0.2188,0.0015,65.3661,90.1072,65.4644,0.0089,2.5197,0.0000,0.0001,0.0000,0.0000,0.0093,0.0024,0.0097,0.3171,0.0258,0.4786,0.0000,96.0798,20.7955,0.0132,0.0002,0.0191,0.0211,0.0179,71.7457,0.0017,0.0000,0.0018,0.0018,0.0001,0.0000,0.0018,2.2978,2.2978,0.0026,0.0281,
0.3333,0,161.0810,yes,unknown,unknown,unknown,Relaxed,13.0301,-5.6774,-3.3132,50.5696,0.0001,0.0052,0.0003,0.0001,0.2162,0.0013,67.1764,92.1696,67.2593,0.0077,2.2800,0.0000,0.0001,0.0000,0.0000,0.0098,0.0027,0.0114,0.2645,0.0238,0.4746,0.0000,96.3191,29.0059,0.0131,0.0001,0.0338,0.0245,0.0260,72.7053,0.0017,0.0000,0.0018,0.0018,0.0001,0.0000,0.0018,2.2978,2.2978,0.0026,0.0281,
0.4000,0,160.4483,yes,unknown,unknown,unknown,Relaxed,13.7452,-5.8593,-4.1559,5.0052,0.0003,0.0172,0.0009,0.0002,0.2080,0.0052,48.9474,46.3661,48.9807,0.0080,1.5157,0.0000,0.0001,0.0000,0.0001,0.0149,0.0031,0.0052,0.0912,0.0182,0.5271,0.0000,96.1880,12.4376,0.0066,0.0001,0.0373,0.0188,0.0181,63.9357,0.0017,0.0001,0.0018,0.0018,0.0002,0.0000,0.0018,2.2978,2.2978,0.0026,0.0281,
0.4667,0,161.6684,yes,unknown,unknown,unknown,Relaxed,13.0683,-4.9559,-5.2420,0.4832,0.0006,0.0449,0.0024,0.0005,0.2046,0.0155,34.3130,9.6530,34.3453,0.0080,1.1890,0.0000,0.0001,0.0000,0.0001,0.0215,0.0025,0.0119,0.0729,0.0145,0.5042,0.0000,96.7979,6.0311,0.0053,0.0001,0.0444,0.0201,0.0155,56.0556,0.0017,0.0001,0.0018,0.0018,0.0005,0.0000,0.0018,2.2978,2.2978,0.0025,0.0281,
0.5333,0,161.3467,yes,unknown,unknown,unknown,Unknown,12.8818,-6.0780,-6.3884,0.0910,0.0011,0.0879,0.0047,0.0010,0.2038,0.0330,24.0734,2.4131,24.1012,0.0057,1.1072,0.0000,0.0001,0.0000,0.0002,0.0185,0.0023,0.0190,0.0587,0.0115,0.3868,0.0000,96.0243,4.2177,0.0076,0.0001,0.0435,0.0171,0.0173,49.8428,0.0017,0.0001,0.0018,0.0018,0.0010,0.0000,0.0018,2.2978,2.2978,0.0025,0.0281,
0.6000,0,161.3274,yes,unknown,unknown,unknown,Unknown,12.0019,-5.5296,-5.4700,0.0072,0.0028,0.2421,0.0132,0.0026,0.2028,0.1041,8.5745,0.2697,8.6102,0.0067,1.0173,0.0000,0.0001,0.0000,0.0003,0.0455,0.0021,0.0306,0.0470,0.0098,0.2750,0.0000,96.4225,2.3139,0.0086,0.0001,0.0427,0.0169,0.0201,44.8593,0.0017,0.0001,0.0018,0.0018,0.0026,0.0000,0.0018,2.2978,2.2978,0.0025,0.0281,
0.6667,0,157.7765,yes,unknown,unknown,unknown,Unknown,11.8629,-3.4514,-6.2341,0.0019,0.0045,0.4118,0.0226,0.0043,0.2031,0.1881,0.4576,0.0857,0.5040,0.0066,1.0397,0.0000,0.0001,0.0000,0.0012,0.1069,0.0032,0.0259,0.0166,0.0116,0.1294,0.0000,97.6101,1.2646,0.0031,0.0001,0.0278,0.0085,0.0267,40.7814,0.0017,0.0001,0.0018,0.0018,0.0043,0.0000,0.0018,2.2978,2.2978,0.0025,0.0281,
