TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,98.4545,no,unknown,unknown,unknown,Unknown,-15.1588,8.1016,3.1532,0.0018,0.0045,0.4221,0.0240,0.0045,0.1929,0.1929,-0.0443,0.0799,0.0000,0.0059,0.0195,0.0001,0.0003,0.0000,0.0004,0.0006,0.0057,0.0027,0.1381,0.0006,0.0098,0.0000,94.1568,0.0070,0.0007,0.0357,0.0016,0.0006,0.0258,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0280,
0.0667,0,99.3073,no,unknown,unknown,unknown,Unknown,-14.5287,9.7933,4.1168,0.0018,0.0046,0.4222,0.0240,0.0045,0.1935,0.1929,-0.0475,0.0802,0.0000,0.0185,0.0730,0.0000,0.0001,0.0000,0.0009,0.0006,0.0088,0.0043,0.1332,0.0007,0.0089,0.0000,91.9926,0.0643,0.0005,0.0335,0.0017,0.0006,0.0666,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.1333,0,99.1249,no,unknown,unknown,unknown,Unknown,-13.1053,9.3684,3.4924,0.0018,0.0045,0.4231,0.0240,0.0046,0.1933,0.1929,-0.0383,0.0799,0.0000,0.0172,0.0529,0.0000,0.0001,0.0000,0.0013,0.0007,0.0118,0.0034,0.1037,0.0009,0.0089,0.0000,92.5967,0.1950,0.0004,0.0421,0.0014,0.0004,0.0656,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.2000,0,101.1412,no,unknown,unknown,unknown,Unknown,-11.5854,8.4422,2.7292,0.0018,0.0045,0.4223,0.0240,0.0045,0.1932,0.1929,-0.0483,0.0800,0.0000,0.0221,0.0389,0.0000,0.0001,0.0000,0.0007,0.0007,0.0068,0.0037,0.1331,0.0006,0.0092,0.0000,93.7705,0.0934,0.0004,0.0279,0.0014,0.0005,0.0513,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.2667,0,100.0315,no,unknown,unknown,unknown,Unknown,-14.8592,7.6574,2.3682,0.0018,0.0045,0.4218,0.0240,0.0045,0.1932,0.1929,-0.0522,0.0801,0.0000,0.0184,0.0393,0.0000,0.0001,0.0000,0.0009,0.0007,0.0040,0.0037,0.1493,0.0005,0.0093,0.0000,94.6268,0.0728,0.0003,0.0212,0.0013,0.0005,0.0392,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.3333,0,100.5972,no,unknown,unknown,unknown,Unknown,-14.7491,6.6939,2.6821,0.0018,0.0045,0.4223,0.0240,0.0045,0.1931,0.1928,-0.0471,0.0799,0.0000,0.0195,0.0310,0.0000,0.0002,0.0000,0.0013,0.0008,0.0041,0.0031,0.1310,0.0005,0.0079,0.0000,95.5264,0.0984,0.0004,0.0222,0.0011,0.0005,0.0420,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.4000,0,99.8142,no,unknown,unknown,unknown,Unknown,-13.6895,6.4862,2.6556,0.0018,0.0045,0.4220,0.0240,0.0046,0.1931,0.1928,-0.0487,0.0800,0.0000,0.0137,0.0358,0.0000,0.0001,0.0000,0.0013,0.0010,0.0028,0.0032,0.1414,0.0006,0.0077,0.0000,95.7006,0.1454,0.0004,0.0228,0.0011,0.0004,0.0400,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.4667,0,100.2890,no,unknown,unknown,unknown,Unknown,-13.8563,5.4414,2.0312,0.0018,0.0045,0.4225,0.0240,0.0046,0.1930,0.1929,-0.0437,0.0798,0.0000,0.0114,0.0238,0.0001,0.0001,0.0000,0.0014,0.0011,0.0026,0.0050,0.1252,0.0007,0.0087,0.0000,96.4829,0.1648,0.0004,0.0288,0.0011,0.0005,0.0438,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.5333,0,100.0058,no,unknown,unknown,unknown,Unknown,-14.1145,3.5495,3.7058,0.0018,0.0045,0.4227,0.0240,0.0046,0.1930,0.1929,-0.0424,0.0798,0.0000,0.0114,0.0275,0.0002,0.0001,0.0000,0.0011,0.0014,0.0016,0.0094,0.1166,0.0008,0.0118,0.0000,97.5639,0.5708,0.0005,0.0332,0.0012,0.0005,0.0425,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.6000,0,99.1083,no,unknown,unknown,unknown,Unknown,-13.6688,4.4268,3.2882,0.0018,0.0045,0.4224,0.0240,0.0047,0.1930,0.1930,-0.0486,0.0799,0.0000,0.0100,0.0231,0.0005,0.0001,0.0000,0.0008,0.0017,0.0011,0.0189,0.1300,0.0010,0.0181,0.0000,97.1102,1.0902,0.0008,0.0364,0.0013,0.0006,0.0387,0.0018,0.0018,0.0018,0.0018,0.0018,0.0047,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
