TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,112.2941,no,unknown,unknown,unknown,Unknown,-1.1374,-5.7530,8.4604,0.0018,0.0046,0.4261,0.0243,0.0045,0.1949,0.2075,-0.0904,0.0797,0.0048,0.2378,0.0611,0.0000,0.0012,0.0009,0.0001,0.0701,0.0343,0.0102,0.0002,0.0270,0.7046,0.0035,96.2652,0.0031,0.0035,0.0057,0.0098,0.0021,0.8769,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0290,
0.0667,0,112.4004,no,unknown,unknown,unknown,Unknown,-5.5551,-6.3590,8.0891,0.0018,0.0046,0.4261,0.0242,0.0045,0.1942,0.2476,-0.0973,0.0803,0.0085,0.1554,0.0429,0.0002,0.0012,0.0017,0.0001,0.1966,0.0328,0.0100,0.0002,0.0263,2.3716,0.0055,95.8041,0.0018,0.0111,0.0102,0.0263,0.0087,1.4145,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0293,
0.1333,0,111.5781,no,unknown,unknown,unknown,Unknown,-6.7760,-8.1192,7.5705,0.0018,0.0046,0.4263,0.0242,0.0045,0.1940,0.2518,-0.0852,0.0801,0.0112,0.1482,0.0281,0.0002,0.0011,0.0014,0.0001,0.1691,0.0294,0.0106,0.0002,0.0235,2.5342,0.0103,94.1374,0.0019,0.0088,0.0091,0.0363,0.0090,1.1489,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0293,
0.2000,0,112.7040,no,unknown,unknown,unknown,Unknown,-5.1237,-7.1223,7.2073,0.0018,0.0046,0.4261,0.0242,0.0045,0.1940,0.2607,-0.0870,0.0802,0.0102,0.1391,0.0392,0.0003,0.0010,0.0014,0.0001,0.1791,0.0288,0.0099,0.0002,0.0211,2.8609,0.0063,95.1457,0.0021,0.0067,0.0089,0.0414,0.0099,1.1071,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0292,
0.2667,0,114.1235,no,unknown,unknown,unknown,Unknown,-5.3455,-6.1319,8.7280,0.0018,0.0046,0.4261,0.0243,0.0045,0.1945,0.2701,-0.0846,0.0800,0.0082,0.1842,0.0605,0.0003,0.0007,0.0009,0.0001,0.1164,0.0251,0.0119,0.0001,0.0205,3.1916,0.0040,95.9829,0.0034,0.0048,0.0078,0.0367,0.0075,0.8669,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0292,
0.3333,0,112.2659,no,unknown,unknown,unknown,Unknown,-3.2161,-2.9162,5.6387,0.0018,0.0046,0.4261,0.0243,0.0045,0.1952,0.2294,-0.0790,0.0801,0.0103,0.2061,0.1111,0.0002,0.0003,0.0009,0.0001,0.0802,0.0380,0.0124,0.0001,0.0244,1.6521,0.0014,97.8474,0.0053,0.0027,0.0054,0.0302,0.0059,0.9799,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0292,
0.4000,0,113.5424,no,unknown,unknown,unknown,Unknown,-6.5297,-6.3231,5.4469,0.0018,0.0046,0.4259,0.0243,0.0045,0.1957,0.2194,-0.0869,0.0801,0.0119,0.2490,0.1361,0.0002,0.0002,0.0013,0.0001,0.0668,0.0377,0.0113,0.0001,0.0250,1.2334,0.0002,95.8329,0.0074,0.0008,0.0050,0.0245,0.0060,0.9591,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0292,
0.4667,0,113.7485,no,unknown,unknown,unknown,Unknown,-5.0996,-5.5365,5.6849,0.0018,0.0046,0.4259,0.0244,0.0045,0.1958,0.2214,-0.0925,0.0801,0.0135,0.2778,0.1321,0.0002,0.0001,0.0015,0.0001,0.0613,0.0428,0.0116,0.0001,0.0259,1.3215,0.0003,96.4178,0.0107,0.0006,0.0047,0.0235,0.0073,0.8808,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0291,
0.5333,0,113.4938,no,unknown,unknown,unknown,Unknown,-5.4945,-6.1199,5.3135,0.0018,0.0046,0.4258,0.0244,0.0044,0.1962,0.2288,-0.0965,0.0800,0.0174,0.3227,0.1415,0.0003,0.0001,0.0014,0.0001,0.0448,0.0386,0.0093,0.0001,0.0287,1.6329,0.0003,95.9922,0.0159,0.0002,0.0042,0.0240,0.0081,0.8013,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0018,2.2978,2.2978,0.0018,0.0291,
0.6000,0,113.5009,no,unknown,unknown,unknown,Unknown,-5.0174,-6.2468,5.8544,0.0018,0.0046,0.4257,0.0245,0.0044,0.1978,0.2272,-0.1263,0.0805,0.0193,0.4378,0.2330,0.0003,0.0001,0.0015,0.0001,0.0330,0.0366,0.0113,0.0001,0.0287,1.5699,0.0002,95.8934,0.0298,0.0001,0.0033,0.0242,0.0098,0.7765,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0018,2.2978,2.2978,0.0018,0.0291,
