TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,113.5187,yes,unknown,unknown,unknown,Unknown,12.4962,-3.5933,-0.2654,0.0018,0.0048,14.7200,0.0252,0.0043,0.2027,0.1928,-47.2679,0.0818,0.0001,0.9546,0.0908,0.0004,0.0008,93.9665,0.0006,0.0001,0.0201,0.0032,0.0001,0.3931,0.0072,0.0000,97.5430,0.0002,0.0091,0.0057,0.0002,0.0002,0.0706,0.0018,0.0018,0.0018,0.0018,0.0018,0.0043,0.0000,0.0018,2.2977,2.2977,0.0018,0.0284,
0.0667,0,111.4393,yes,unknown,unknown,unknown,Unknown,9.4738,-6.4147,-0.4477,0.0019,0.0053,0.7696,0.0234,0.0043,0.2233,0.1932,-7.3645,0.0954,0.0003,0.9516,0.0973,0.0009,0.0006,14.1109,0.0021,0.0001,0.0146,0.0502,0.0860,2.5446,0.0243,0.0000,95.7591,0.0002,0.0472,0.0037,0.0608,0.0056,0.1371,0.0018,0.0018,0.0018,0.0018,0.0018,0.0043,0.0000,0.0018,2.2978,2.2984,0.0018,0.0285,
0.1333,0,107.4272,yes,unknown,unknown,unknown,Unknown,9.5756,-6.7784,-0.0044,0.0019,0.0050,0.5378,0.0233,0.0044,0.2123,0.1932,-3.2090,0.0897,0.0008,0.5468,0.1005,0.0007,0.0004,5.8596,0.0020,0.0001,0.0372,0.0290,0.4060,1.6844,0.0258,0.0000,95.4537,0.0005,0.0410,0.0038,0.1275,0.0037,0.1309,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0018,2.2978,2.2982,0.0018,0.0285,
0.2000,0,109.7248,yes,unknown,unknown,unknown,Unknown,10.9788,-6.7671,-0.4044,0.0019,0.0048,0.5168,0.0242,0.0044,0.2045,0.1933,-2.5233,0.0844,0.0009,0.5878,0.0857,0.0009,0.0003,4.6810,0.0016,0.0001,0.0478,0.0258,0.0763,0.8404,0.0311,0.0000,95.4635,0.0004,0.0620,0.0042,0.3276,0.0044,0.0889,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0018,2.2978,2.2982,0.0018,0.0285,
0.2667,0,111.5646,yes,unknown,unknown,unknown,Unknown,9.1493,-6.3816,0.3521,0.0019,0.0048,0.4508,0.0241,0.0044,0.2037,0.1932,-0.8619,0.0841,0.0013,0.5302,0.0803,0.0009,0.0002,1.3403,0.0025,0.0002,0.0304,0.0547,0.1527,0.7933,0.0264,0.0000,95.7859,0.0002,0.0761,0.0034,0.1542,0.0058,0.0570,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0018,2.2978,2.2982,0.0018,0.0284,
0.3333,0,107.3559,yes,unknown,unknown,unknown,Unknown,9.4578,-6.4380,-0.8939,0.0019,0.0049,0.4311,0.0235,0.0044,0.2081,0.1932,-0.4876,0.0872,0.0010,0.4706,0.0600,0.0009,0.0001,0.4232,0.0033,0.0004,0.0264,0.0402,0.4389,1.3337,0.0244,0.0000,95.7401,0.0004,0.0267,0.0030,0.3389,0.0095,0.0844,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0018,2.2978,2.2984,0.0018,0.0284,
0.4000,0,103.8442,yes,unknown,unknown,unknown,Unknown,11.2873,-7.7968,-0.7774,0.0019,0.0048,0.4294,0.0239,0.0044,0.2035,0.1933,-0.3157,0.0844,0.0006,0.4170,0.0590,0.0011,0.0001,0.2204,0.0016,0.0008,0.0174,0.0293,0.2507,0.8729,0.0285,0.0000,94.4833,0.0009,0.0119,0.0033,0.1660,0.0071,0.1179,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0018,2.2978,2.2986,0.0018,0.0284,
0.4667,0,110.3225,yes,unknown,unknown,unknown,Unknown,13.3697,-7.4298,1.6255,0.0019,0.0048,0.4078,0.0233,0.0045,0.2032,0.1929,-0.4486,0.0851,0.0004,0.2815,0.0572,0.0007,0.0000,0.1056,0.0043,0.0017,0.0192,0.0449,0.9892,0.9351,0.0118,0.0000,94.8536,0.0006,0.0057,0.0030,0.3270,0.0044,0.1755,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2998,0.0018,0.0284,
0.5333,0,112.9225,yes,unknown,unknown,unknown,Unknown,13.3931,-8.3174,-0.0632,0.0019,0.0048,0.1909,0.0190,0.0045,0.2041,0.1932,-3.9044,0.1953,0.0003,0.1915,0.0540,0.0006,0.0000,0.0627,0.0088,0.0081,0.0224,0.0584,12.6359,1.0909,0.0271,0.0000,93.9148,0.0005,0.0030,0.0022,1.1620,0.0025,0.2281,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2981,2.3101,0.0018,0.0284,
0.6000,0,114.2091,yes,unknown,unknown,unknown,Unknown,13.0904,-6.9066,0.0254,0.0019,0.0049,0.0983,0.0158,0.0045,0.2059,0.1934,-6.9657,0.4040,0.0001,0.1467,0.0430,0.0005,0.0000,0.0403,0.0166,0.0348,0.0248,0.0790,22.8542,1.3387,0.0346,0.0000,95.3411,0.0003,0.0013,0.0021,1.7853,0.0021,0.2837,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2986,2.3412,0.0018,0.0284,
0.6667,0,116.8568,yes,unknown,unknown,unknown,Unknown,15.7993,-7.0460,-1.3501,0.0019,0.0049,0.0414,0.0126,0.0045,0.2083,0.1943,-10.9629,1.0359,0.0000,0.1530,0.0330,0.0006,0.0000,0.0281,0.0170,0.1241,0.0264,0.0454,36.1343,1.5990,0.0783,0.0000,95.2157,0.0001,0.0006,0.0019,0.7512,0.0014,0.2946,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2996,2.4207,0.0018,0.0284,
0.7333,0,116.5369,yes,unknown,unknown,unknown,Unknown,13.4926,-6.5129,-2.3900,0.0019,0.0050,0.0055,0.0074,0.0046,0.2109,0.1956,-20.2402,8.6247,0.0000,0.1038,0.0307,0.0007,0.0000,0.0285,0.0239,0.3021,0.0238,0.0338,66.9244,1.9068,0.1426,0.0002,95.6786,0.0000,0.0006,0.0020,0.8807,0.0012,0.3576,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0000,0.0018,2.3018,3.1598,0.0018,0.0284,
0.8000,0,117.1369,yes,unknown,unknown,unknown,Unknown,14.1875,-5.4248,-1.9469,0.0019,0.0050,0.0014,0.0053,0.0046,0.2109,0.1981,-26.5969,29.6527,0.0000,0.1267,0.0296,0.0012,0.0000,0.0217,0.0311,0.5303,0.0230,0.0140,87.8759,1.9007,0.2634,0.0015,96.4941,0.0000,0.0004,0.0035,0.7579,0.0010,0.3293,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0000,0.0018,2.3051,4.6136,0.0018,0.0284,
0.8667,0,115.9467,yes,unknown,unknown,unknown,Unknown,11.3769,-7.6898,-1.1209,0.0019,0.0050,0.0014,0.0053,0.0047,0.2109,0.2001,-26.9058,30.0274,0.0000,0.1823,0.0299,0.0024,0.0000,0.0177,0.0341,1.2541,0.0230,0.0126,88.1262,1.8577,0.3562,0.0017,94.5938,0.0000,0.0006,0.0063,0.6540,0.0010,0.3766,0.0018,0.0018,0.0018,0.0018,0.0018,0.0047,0.0000,0.0018,2.3084,7.0399,0.0018,0.0284,
