TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,150.8299,no,unknown,unknown,unknown,Unknown,4.7394,5.4137,-14.0282,0.0018,0.0046,0.4175,0.0238,0.0045,0.1935,0.1928,-0.0974,0.0811,0.0003,0.0001,0.0523,0.0001,0.0008,0.0000,0.0003,0.0000,0.0025,0.0063,0.3173,0.0326,0.0063,0.0010,96.5017,0.0000,0.0000,0.0063,0.0055,0.0014,0.0087,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.0667,0,140.8759,no,unknown,unknown,unknown,Unknown,2.4630,10.2534,0.2647,0.0018,0.0046,0.4218,0.0238,0.0045,0.1951,0.1928,-0.0546,0.0814,0.0000,0.0004,0.2412,0.0000,0.0005,0.0000,0.0083,0.0001,0.1731,0.0076,0.1538,0.0138,0.0044,0.0004,91.2881,0.0000,0.0000,0.0040,0.0262,0.0014,0.0492,0.0018,0.0018,0.0018,0.0019,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.1333,0,139.4937,no,unknown,unknown,unknown,Unknown,-0.0495,14.1804,2.0386,0.0018,0.0046,0.4207,0.0238,0.0045,0.1947,0.1927,-0.0807,0.0812,0.0000,0.0012,0.1942,0.0000,0.0003,0.0000,0.0181,0.0003,0.0460,0.0337,0.1917,0.0120,0.0030,0.0005,82.6916,0.0000,0.0005,0.0042,0.0320,0.0020,0.1018,0.0018,0.0018,0.0018,0.0019,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.2000,0,134.9641,no,unknown,unknown,unknown,Unknown,-0.4870,11.3163,2.4422,0.0018,0.0046,0.4237,0.0238,0.0045,0.1945,0.1930,-0.0670,0.0810,0.0000,0.0026,0.1813,0.0000,0.0001,0.0000,0.0041,0.0009,0.1635,0.1349,0.0802,0.0062,0.0149,0.0001,89.4423,0.0000,0.0038,0.0053,0.0283,0.0058,0.0708,0.0018,0.0018,0.0018,0.0019,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.2667,0,135.0075,no,unknown,unknown,unknown,Unknown,-0.8088,10.6181,1.4884,0.0018,0.0046,0.4237,0.0237,0.0045,0.1948,0.1935,-0.1708,0.0830,0.0000,0.0041,0.2138,0.0000,0.0000,0.0000,0.0033,0.0011,0.1860,0.4804,0.0820,0.0049,0.0398,0.0000,90.6903,0.0000,0.0047,0.0058,0.0191,0.0089,0.0312,0.0018,0.0018,0.0018,0.0019,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0281,
0.3333,0,137.1269,no,unknown,unknown,unknown,Unknown,-0.0048,9.2917,1.3494,0.0018,0.0046,0.4239,0.0231,0.0047,0.1946,0.1951,-0.6682,0.0933,0.0000,0.0064,0.1930,0.0000,0.0000,0.0000,0.0031,0.0023,0.3573,2.1444,0.0762,0.0044,0.1196,0.0000,92.7011,0.0000,0.0068,0.0054,0.0195,0.0111,0.0280,0.0018,0.0018,0.0018,0.0019,0.0018,0.0047,0.0000,0.0018,2.2979,2.2979,0.0018,0.0281,
0.4000,0,136.9754,no,unknown,unknown,unknown,Unknown,-0.7152,8.6720,1.7467,0.0018,0.0046,0.4243,0.0231,0.0046,0.1946,0.1963,-0.6001,0.0919,0.0000,0.0061,0.1892,0.0000,0.0000,0.0000,0.0014,0.0020,0.3090,1.9349,0.0607,0.0033,0.1736,0.0000,93.4966,0.0000,0.0051,0.0051,0.0180,0.0106,0.0191,0.0018,0.0018,0.0018,0.0019,0.0018,0.0046,0.0000,0.0018,2.2979,2.2979,0.0018,0.0281,
0.4667,0,140.4012,no,unknown,unknown,unknown,Unknown,-2.0212,8.8847,4.2832,0.0018,0.0046,0.4248,0.0233,0.0046,0.1939,0.1987,-0.5016,0.0894,0.0000,0.0105,0.1143,0.0001,0.0000,0.0000,0.0011,0.0018,0.3182,1.6192,0.0441,0.0036,0.2910,0.0000,93.2331,0.0000,0.0048,0.0056,0.0222,0.0127,0.0225,0.0018,0.0018,0.0018,0.0019,0.0018,0.0046,0.0000,0.0018,2.2979,2.2979,0.0018,0.0280,
0.5333,0,136.5791,no,unknown,unknown,unknown,Unknown,-2.1876,9.5887,3.8119,0.0018,0.0046,0.4252,0.0236,0.0046,0.1939,0.2032,-0.2950,0.0851,0.0000,0.0265,0.1042,0.0002,0.0000,0.0000,0.0011,0.0028,0.1740,0.9324,0.0276,0.0038,0.5026,0.0002,92.2889,0.0000,0.0065,0.0056,0.0303,0.0115,0.0204,0.0018,0.0018,0.0018,0.0019,0.0018,0.0046,0.0000,0.0018,2.2979,2.2979,0.0018,0.0280,
0.6000,0,138.1291,no,unknown,unknown,unknown,Unknown,-0.4293,9.9844,5.4977,0.0018,0.0046,0.4253,0.0239,0.0045,0.1937,0.2240,-0.1489,0.0818,0.0000,0.0591,0.0665,0.0005,0.0000,0.0000,0.0012,0.0064,0.1467,0.4307,0.0281,0.0044,1.4199,0.0002,91.7065,0.0001,0.0235,0.0079,0.0383,0.0117,0.0198,0.0018,0.0018,0.0018,0.0019,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0280,
