TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,122.1003,no,unknown,unknown,unknown,Unknown,2.9921,-3.7347,13.5395,0.0018,0.0046,0.4263,0.0240,0.0045,0.1936,0.1930,-0.0104,0.0795,0.0000,0.0190,0.0389,0.0007,0.0028,0.0000,0.0007,0.0019,0.0056,0.0014,0.0057,0.0481,0.0138,0.0020,97.4743,0.0000,0.0001,0.0826,0.0009,0.0011,0.0483,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0282,
0.0667,0,118.0001,no,unknown,unknown,unknown,Unknown,3.1753,-3.8578,10.6050,0.0018,0.0046,0.4264,0.0240,0.0045,0.1946,0.1933,-0.0238,0.0801,0.0000,0.0511,0.0991,0.0083,0.0015,0.0000,0.0006,0.0009,0.0290,0.0024,0.0131,0.0934,0.0296,0.0003,97.4129,0.0000,0.0003,0.0713,0.0009,0.0014,0.1334,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0283,
0.1333,0,118.4580,no,unknown,unknown,unknown,Unknown,2.0258,-2.1349,11.4211,0.0018,0.0046,0.4270,0.0240,0.0045,0.1958,0.1930,-0.0383,0.0806,0.0000,0.0936,0.0860,0.0046,0.0007,0.0000,0.0007,0.0007,0.0441,0.0057,0.0204,0.2056,0.0167,0.0000,98.1531,0.0000,0.0001,0.0585,0.0008,0.0012,0.1163,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
0.2000,0,117.8046,no,unknown,unknown,unknown,Unknown,3.5945,-0.9967,12.5641,0.0018,0.0046,0.4270,0.0240,0.0045,0.1962,0.1932,-0.0463,0.0808,0.0000,0.1136,0.1072,0.0040,0.0004,0.0000,0.0008,0.0006,0.0539,0.0115,0.0221,0.2123,0.0243,0.0000,98.5236,0.0000,0.0001,0.0623,0.0012,0.0016,0.1443,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
0.2667,0,119.6052,no,unknown,unknown,unknown,Unknown,2.2919,-1.0352,8.3831,0.0018,0.0046,0.4242,0.0240,0.0045,0.1946,0.1931,-0.0590,0.0799,0.0000,0.0841,0.0789,0.0036,0.0001,0.0000,0.0006,0.0005,0.0112,0.0246,0.0825,0.0787,0.0183,0.0000,98.5123,0.0000,0.0000,0.0897,0.0103,0.0082,0.0451,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0284,
0.3333,0,121.5156,no,unknown,unknown,unknown,Unknown,4.8615,0.5371,8.7349,0.0018,0.0046,0.4234,0.0240,0.0045,0.1939,0.1932,-0.0701,0.0798,0.0000,0.0604,0.0479,0.0018,0.0001,0.0000,0.0007,0.0006,0.0068,0.0658,0.1031,0.0475,0.0231,0.0000,98.6515,0.0000,0.0000,0.0719,0.0197,0.0224,0.0328,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0284,
0.4000,0,119.6482,no,unknown,unknown,unknown,Unknown,5.3624,-0.3196,8.3800,0.0018,0.0046,0.4238,0.0240,0.0045,0.1937,0.1932,-0.0671,0.0797,0.0000,0.0641,0.0397,0.0022,0.0001,0.0000,0.0007,0.0007,0.0043,0.0697,0.0855,0.0342,0.0234,0.0000,98.7081,0.0000,0.0000,0.0611,0.0317,0.0343,0.0257,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0283,
0.4667,0,120.3482,no,unknown,unknown,unknown,Unknown,3.7151,-1.1558,10.5033,0.0018,0.0046,0.4242,0.0240,0.0045,0.1936,0.1933,-0.0750,0.0798,0.0000,0.0657,0.0300,0.0020,0.0000,0.0000,0.0007,0.0006,0.0053,0.1084,0.0717,0.0329,0.0312,0.0000,98.4765,0.0000,0.0000,0.0504,0.0324,0.0429,0.0287,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0283,
0.5333,0,117.7223,no,unknown,unknown,unknown,Unknown,2.2697,-1.1313,10.5320,0.0018,0.0046,0.4235,0.0240,0.0045,0.1937,0.1934,-0.1230,0.0805,0.0000,0.0753,0.0366,0.0027,0.0000,0.0000,0.0006,0.0004,0.0063,0.2359,0.0942,0.0318,0.0360,0.0000,98.4839,0.0000,0.0000,0.0365,0.0497,0.0563,0.0262,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0283,
0.6000,0,119.8329,no,unknown,unknown,unknown,Unknown,2.9504,-1.1066,10.7354,0.0018,0.0046,0.4236,0.0239,0.0045,0.1937,0.1934,-0.1768,0.0816,0.0000,0.0722,0.0369,0.0019,0.0000,0.0000,0.0006,0.0004,0.0079,0.4222,0.0914,0.0310,0.0345,0.0000,98.4913,0.0000,0.0000,0.0297,0.1064,0.0799,0.0286,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2979,2.2979,0.0018,0.0283,
0.6667,0,120.4032,no,unknown,unknown,unknown,Unknown,3.3850,0.0281,10.6780,0.0018,0.0046,0.4242,0.0239,0.0046,0.1935,0.1936,-0.1427,0.0812,0.0000,0.0492,0.0300,0.0022,0.0000,0.0000,0.0007,0.0004,0.0125,0.3529,0.0695,0.0327,0.0455,0.0010,98.7804,0.0000,0.0000,0.0285,0.1301,0.0647,0.0317,0.0018,0.0018,0.0018,0.0018,0.0018,0.0046,0.0000,0.0018,2.2979,2.2979,0.0018,0.0282,
