TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,115.5881,yes,unknown,unknown,unknown,Unknown,9.7582,-0.9052,2.4752,0.0019,0.0048,0.4336,0.0230,0.0045,0.2054,0.1926,0.0065,0.0871,0.0767,0.0971,0.0217,0.0119,0.0013,0.0404,0.0001,0.0033,0.0247,0.0042,0.0488,1.3515,0.0476,0.0002,98.5499,0.0001,0.0009,0.1504,0.0079,0.0015,0.0796,0.0019,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0058,2.2978,2.2978,0.0018,0.0281,
0.0667,0,117.1113,yes,unknown,unknown,unknown,Unknown,8.5808,1.1573,4.2742,0.0029,0.0149,0.6762,0.0103,0.0044,0.6117,0.1939,0.0042,0.4920,0.0494,0.0802,0.4338,0.0022,0.0010,0.2860,0.0018,0.0014,0.0623,0.0031,0.0336,25.2322,0.0943,0.0003,98.4761,0.0000,0.3392,0.0378,0.0067,0.0012,0.2890,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0040,2.2978,2.2978,0.0018,0.0291,
0.1333,0,115.2581,yes,unknown,unknown,unknown,Unknown,7.7253,-1.7416,4.9301,0.0029,0.0149,0.6712,0.0103,0.0044,0.6097,0.1959,0.2774,0.4886,0.0903,0.1622,0.1522,0.0015,0.0019,0.0493,0.0036,0.0008,0.0963,0.0024,0.0254,25.4167,0.2184,0.0006,98.2904,0.0000,0.6823,0.0297,0.0033,0.0009,0.3087,0.0018,0.0019,0.0019,0.0018,0.0018,0.0044,0.0000,0.0034,2.2979,2.2979,0.0018,0.0290,
0.2000,0,116.8550,yes,unknown,unknown,unknown,Unknown,7.0581,-0.4440,5.7552,0.0022,0.0067,0.4887,0.0181,0.0043,0.2866,0.2214,0.8729,0.1465,0.1943,0.1941,0.4856,0.0011,0.0020,0.0183,0.0006,0.0003,0.0998,0.0024,0.0111,8.1752,1.4482,0.0007,98.6760,0.0000,1.8795,0.0221,0.0190,0.0018,0.1046,0.0018,0.0019,0.0019,0.0019,0.0018,0.0043,0.0000,0.0031,2.2979,2.2979,0.0018,0.0293,
0.2667,0,113.3864,yes,unknown,unknown,unknown,Unknown,5.5094,3.3705,8.4648,0.0023,0.0056,0.4435,0.0190,0.0042,0.2497,0.2063,1.0940,0.1181,0.8667,0.1381,0.4450,0.0013,0.0037,0.0067,0.0003,0.0003,0.0429,0.0038,0.0047,5.1905,1.2575,0.0001,97.6475,0.0000,0.6929,0.0209,0.0198,0.0032,0.0644,0.0019,0.0019,0.0019,0.0019,0.0018,0.0042,0.0000,0.0028,2.2979,2.2979,0.0018,0.0294,
0.3333,0,118.6019,yes,unknown,unknown,unknown,Unknown,1.8904,2.6747,9.8750,0.0027,0.0049,0.4062,0.0187,0.0039,0.2323,0.1821,2.4169,0.1056,1.8725,0.1199,0.1828,0.0016,0.0071,0.0050,0.0002,0.0003,0.0263,0.0050,0.0033,3.8880,0.7900,0.0000,97.9468,0.0000,1.4741,0.0219,0.0161,0.0058,0.0529,0.0020,0.0020,0.0019,0.0018,0.0018,0.0039,0.0000,0.0027,2.2979,2.2979,0.0018,0.0293,
0.4000,0,118.9285,yes,unknown,unknown,unknown,Unknown,-0.6685,0.9800,9.7655,0.0032,0.0042,0.3614,0.0180,0.0036,0.2156,0.1556,3.4572,0.1248,3.2040,0.0651,0.1609,0.0027,0.0069,0.0034,0.0002,0.0003,0.0112,0.0044,0.0028,2.2851,0.2468,0.0001,98.5284,0.0000,0.7027,0.0247,0.0117,0.0124,0.0357,0.0022,0.0021,0.0019,0.0018,0.0018,0.0036,0.0000,0.0026,2.2979,2.2979,0.0018,0.0292,
0.4667,0,118.1378,yes,unknown,unknown,unknown,Unknown,-2.3402,-0.7691,5.6717,0.0038,0.0038,0.3342,0.0170,0.0034,0.2107,0.1420,4.6733,0.1458,4.2946,0.0689,0.0970,0.0042,0.0080,0.0025,0.0002,0.0002,0.0093,0.0072,0.0019,1.8416,0.1526,0.0002,98.5883,0.0000,1.0221,0.0263,0.0085,0.0189,0.0298,0.0024,0.0021,0.0019,0.0018,0.0018,0.0034,0.0000,0.0025,2.2979,2.2979,0.0018,0.0291,
0.5333,0,114.1528,yes,unknown,unknown,unknown,Unknown,-2.6571,-0.6673,5.4996,0.0072,0.0030,0.2590,0.0131,0.0026,0.2100,0.1057,9.7042,0.2544,8.1988,0.0683,0.0599,0.0042,0.0069,0.0024,0.0002,0.0001,0.0047,0.0047,0.0008,1.8095,0.1285,0.0006,98.6164,0.0000,3.8339,0.0219,0.0065,0.0151,0.0281,0.0030,0.0022,0.0020,0.0018,0.0018,0.0026,0.0000,0.0025,2.2979,2.2979,0.0018,0.0290,
0.6000,0,111.5237,yes,unknown,unknown,unknown,Unknown,-1.0944,0.6268,4.2044,0.0083,0.0029,0.2456,0.0124,0.0025,0.2113,0.0996,10.3936,0.2876,9.0613,0.0880,0.0196,0.0086,0.0071,0.0020,0.0002,0.0001,0.0043,0.0134,0.0007,1.9883,0.1717,0.0036,98.6274,0.0000,3.4258,0.0307,0.0059,0.0134,0.0365,0.0037,0.0023,0.0020,0.0018,0.0018,0.0025,0.0000,0.0024,2.2978,2.2978,0.0018,0.0289,
