TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,124.5138,yes,unknown,unknown,unknown,Relaxed,8.3127,-2.1226,2.4047,87.1258,0.0000,0.0025,0.0001,0.0000,0.1949,0.0005,78.2444,98.2834,78.3327,0.0171,0.0228,0.0005,0.0023,0.0213,0.0001,0.0062,0.0053,0.0077,0.2746,0.2153,0.0305,0.0000,98.1576,0.0006,0.0385,0.0023,0.0035,0.0026,0.0396,96.5523,0.0019,0.0018,0.0018,0.0018,0.0000,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
0.0667,0,129.1867,yes,unknown,unknown,unknown,Relaxed,-0.7637,-0.2209,-0.4288,99.2020,0.0000,0.0009,0.0000,0.0000,0.2566,0.0002,95.3736,99.8487,95.4439,0.0401,0.0315,0.0004,0.0010,0.0095,0.0001,0.0017,0.1780,0.0048,0.2152,6.3199,0.0062,0.0000,98.7331,0.0001,0.0345,0.0059,0.0100,0.0092,0.0288,98.1667,0.0030,0.0018,0.0019,0.0018,0.0000,0.0000,0.0018,2.2978,2.2978,0.0018,0.0281,
0.1333,0,126.9650,yes,unknown,unknown,unknown,Relaxed,3.2061,-3.2105,-0.6547,99.7857,0.0007,0.0038,0.0000,0.0000,7.3532,0.0002,95.0450,99.8404,95.0697,0.0444,0.1036,0.0002,0.0021,0.0259,0.0001,0.0005,1.0562,0.0015,0.0230,82.4409,0.0081,0.0000,97.7199,0.0001,0.0256,0.0036,0.0026,0.0021,0.2154,65.4593,13.2259,0.0018,0.0020,0.0018,0.0000,0.0000,0.0018,2.2978,2.2978,0.0018,0.0283,
0.2000,0,122.3049,yes,unknown,unknown,unknown,Relaxed,-0.2813,-1.1154,1.6588,99.7357,0.0001,0.0015,0.0000,0.0000,1.2673,0.0001,98.3299,99.8995,98.3094,0.0729,0.1727,0.0002,0.0008,0.0029,0.0000,0.0004,0.4096,0.0058,0.0240,41.8600,0.0021,0.0000,98.4886,0.0001,0.1334,0.0046,0.0122,0.0069,0.0593,59.4626,10.0134,0.0018,0.0020,0.0018,0.0000,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
0.2667,0,129.2149,yes,unknown,unknown,unknown,Relaxed,-1.0711,-4.2415,-1.1307,99.4480,0.0000,0.0009,0.0000,0.0000,0.2994,0.0001,97.4071,99.8854,97.3924,0.0505,0.2227,0.0004,0.0009,0.0060,0.0001,0.0008,0.0919,0.0023,0.0301,9.5350,0.0017,0.0000,97.2123,0.0002,0.1085,0.0048,0.0275,0.0109,0.0556,67.4911,8.0119,0.0018,0.0020,0.0018,0.0000,0.0000,0.0018,2.2978,2.2978,0.0018,0.0285,
0.3333,0,122.4891,yes,unknown,unknown,unknown,Relaxed,-5.0680,-1.8667,0.8889,99.4357,0.0000,0.0008,0.0000,0.0000,0.2414,0.0001,97.7935,99.8915,97.7781,0.0301,0.1939,0.0003,0.0008,0.0043,0.0001,0.0007,0.0709,0.0097,0.0411,4.7880,0.0012,0.0000,98.2479,0.0001,0.1065,0.0042,0.0718,0.0249,0.0369,72.8815,6.6772,0.0018,0.0019,0.0018,0.0000,0.0000,0.0018,2.2979,2.2979,0.0018,0.0285,
0.4000,0,119.4593,yes,unknown,unknown,unknown,Relaxed,1.5486,-4.7445,-1.2364,99.4200,0.0000,0.0008,0.0000,0.0000,0.2656,0.0001,97.4179,99.8859,97.4227,0.0197,0.3498,0.0002,0.0003,0.0018,0.0001,0.0003,0.0634,0.0337,0.0129,6.7470,0.0019,0.0000,96.9264,0.0003,0.0408,0.0032,0.1077,0.0200,0.0610,76.7214,5.7239,0.0018,0.0019,0.0018,0.0000,0.0000,0.0018,2.2979,2.2979,0.0018,0.0287,
0.4667,0,113.7949,yes,unknown,unknown,unknown,Relaxed,-3.9070,-3.7357,-0.6458,99.3147,0.0000,0.0008,0.0000,0.0000,0.2163,0.0001,96.8125,99.8767,96.8793,0.0227,0.2698,0.0001,0.0004,0.0007,0.0001,0.0007,0.0836,0.2145,0.0294,2.2625,0.0056,0.0000,97.4738,0.0009,0.0351,0.0025,0.2983,0.0348,0.0432,79.6158,5.0087,0.0018,0.0019,0.0018,0.0000,0.0000,0.0018,2.2980,2.2980,0.0018,0.0287,
0.5333,0,116.0574,yes,unknown,unknown,unknown,Relaxed,-5.5851,-4.4029,-1.7223,99.2910,0.0000,0.0008,0.0000,0.0000,0.2138,0.0001,96.1199,99.8742,96.7401,0.0253,0.3956,0.0001,0.0002,0.0004,0.0001,0.0005,0.0535,2.0484,0.0229,1.8566,0.0144,0.0000,97.1235,0.0021,0.0231,0.0026,0.6457,0.0385,0.0375,81.8666,4.4524,0.0018,0.0019,0.0018,0.0000,0.0000,0.0018,2.2981,2.2981,0.0018,0.0288,
0.6000,0,116.7165,yes,unknown,unknown,unknown,Relaxed,-4.3582,-4.4921,-3.7464,98.9551,0.0000,0.0009,0.0000,0.0000,0.2149,0.0002,92.4560,99.8244,94.3989,0.0222,0.5882,0.0001,0.0001,0.0002,0.0001,0.0007,0.0541,6.4603,0.0182,1.7627,0.0806,0.0000,97.0733,0.0090,0.0195,0.0024,1.5535,0.0483,0.0361,83.6603,4.0074,0.0018,0.0019,0.0018,0.0000,0.0000,0.0018,2.2983,2.2983,0.0018,0.0290,
