TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,132.9819,no,unknown,unknown,unknown,Unknown,4.0489,-3.4623,6.3895,0.0018,0.0046,0.4257,0.0240,0.0045,0.1936,0.1974,-0.0035,0.0796,0.0000,0.0004,0.0987,0.0000,0.0004,0.0000,0.0007,0.0019,0.0080,0.0045,0.0103,0.0000,0.2263,0.0766,97.6050,0.0000,0.0059,0.0016,0.0708,0.0020,0.0665,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.0667,0,127.8081,no,unknown,unknown,unknown,Unknown,0.1657,-8.3376,2.6877,0.0018,0.0046,0.4263,0.0240,0.0045,0.1939,0.1952,0.0060,0.0797,0.0000,0.0010,0.1238,0.0003,0.0004,0.0000,0.0006,0.0003,0.0056,0.0039,0.0027,0.0001,0.1237,0.1097,93.8916,0.0000,0.0228,0.0042,0.0473,0.0016,0.0210,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.1333,0,120.9085,no,unknown,unknown,unknown,Unknown,4.2552,-2.4360,3.5115,0.0018,0.0046,0.4260,0.0239,0.0045,0.1944,0.1956,-0.0045,0.0801,0.0000,0.0015,0.1802,0.0001,0.0014,0.0000,0.0025,0.0002,0.0075,0.0037,0.0020,0.0005,0.1425,6.0324,98.0407,0.0000,0.0004,0.0019,0.0069,0.0006,0.0232,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.2000,0,120.0014,no,unknown,unknown,unknown,Unknown,1.5268,-1.8867,3.8660,0.0018,0.0046,0.4260,0.0240,0.0045,0.1939,0.1947,-0.0067,0.0799,0.0000,0.0020,0.1279,0.0001,0.0031,0.0000,0.0035,0.0018,0.0418,0.0035,0.0024,0.0020,0.0982,45.8608,98.2410,0.0000,0.0005,0.0014,0.0048,0.0003,0.1768,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.2667,0,120.1983,no,unknown,unknown,unknown,Unknown,1.9246,-3.0646,3.4634,0.0018,0.0046,0.4263,0.0238,0.0044,0.1963,0.1938,-0.0154,0.0814,0.0000,0.0015,0.3658,0.0000,0.0082,0.0000,0.0129,0.0025,0.0604,0.0022,0.0018,0.0058,0.0556,51.9751,97.7841,0.0000,0.0004,0.0017,0.0044,0.0002,0.0955,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0018,2.2977,2.2977,0.0018,0.0280,
0.3333,0,123.1111,no,unknown,unknown,unknown,Unknown,3.8645,-2.3474,2.8888,0.0018,0.0046,0.4274,0.0237,0.0044,0.1986,0.1932,-0.0270,0.0841,0.0000,0.0035,0.5896,0.0000,0.0270,0.0000,0.0164,0.0017,0.2851,0.0015,0.0010,0.0119,0.0275,81.8391,98.0745,0.0000,0.0007,0.0034,0.0066,0.0004,0.0613,0.0018,0.0018,0.0018,0.0019,0.0018,0.0044,0.0000,0.0018,2.2977,2.2977,0.0018,0.0281,
0.4000,0,127.7444,no,unknown,unknown,unknown,Unknown,1.8721,-2.3038,0.0601,0.0018,0.0046,0.4269,0.0238,0.0044,0.1963,0.1932,-0.0174,0.0829,0.0000,0.0079,0.3668,0.0000,0.0179,0.0000,0.0074,0.0009,0.3107,0.0020,0.0007,0.0065,0.0243,1.2019,98.0909,0.0000,0.0005,0.0039,0.0100,0.0008,0.0135,0.0018,0.0018,0.0018,0.0019,0.0018,0.0044,0.0000,0.0018,2.2977,2.2977,0.0018,0.0280,
0.4667,0,126.7483,no,unknown,unknown,unknown,Unknown,4.0622,-0.5503,-0.7306,0.0018,0.0046,0.4264,0.0239,0.0045,0.1953,0.1933,-0.0126,0.0826,0.0000,0.0115,0.2572,0.0000,0.0090,0.0000,0.0051,0.0006,0.3635,0.0032,0.0005,0.0066,0.0287,0.0041,98.6480,0.0000,0.0006,0.0049,0.0120,0.0011,0.0082,0.0018,0.0018,0.0018,0.0019,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0280,
0.5333,0,128.5292,no,unknown,unknown,unknown,Unknown,3.6500,0.2987,-0.0306,0.0018,0.0046,0.4261,0.0239,0.0045,0.1954,0.1930,-0.0160,0.0819,0.0000,0.0320,0.2588,0.0000,0.0031,0.0000,0.0040,0.0003,0.2404,0.0065,0.0003,0.0044,0.0139,0.0009,98.7135,0.0000,0.0001,0.0060,0.0060,0.0017,0.0045,0.0018,0.0018,0.0018,0.0019,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0280,
0.6000,0,128.0273,no,unknown,unknown,unknown,Unknown,7.1389,-0.9151,-0.7658,0.0018,0.0046,0.4260,0.0240,0.0045,0.1959,0.1930,-0.0298,0.0820,0.0000,0.0706,0.2821,0.0000,0.0010,0.0000,0.0035,0.0003,0.2398,0.0182,0.0003,0.0043,0.0156,0.0003,98.5471,0.0000,0.0000,0.0061,0.0043,0.0022,0.0044,0.0018,0.0018,0.0018,0.0019,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0280,
