TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,138.4891,yes,unknown,unknown,unknown,Unknown,7.8680,-5.1271,-2.7119,0.0018,0.0046,0.4258,0.0240,0.0045,0.1949,0.1928,-0.0193,0.0802,0.0000,0.0414,0.1689,0.0000,0.0000,0.0000,0.0001,0.0010,0.0032,0.0073,0.0153,0.0413,0.0049,0.0384,96.6900,0.0001,0.0005,0.0136,0.0020,0.0004,0.1740,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0019,2.2978,2.2978,0.0018,0.0283,
0.0667,0,138.1672,yes,unknown,unknown,unknown,Unknown,8.1906,-4.1503,-3.2301,0.0018,0.0046,0.4257,0.0238,0.0044,0.1975,0.1930,-0.0143,0.0818,0.0000,0.0198,0.4593,0.0000,0.0000,0.0000,0.0001,0.0015,0.0030,0.0122,0.0146,0.0324,0.0180,0.0787,97.2613,0.0001,0.0004,0.0369,0.0026,0.0007,0.1676,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0022,2.2978,2.2978,0.0018,0.0283,
0.1333,0,138.3177,yes,unknown,unknown,unknown,Unknown,8.1802,-4.4527,-2.5590,0.0018,0.0046,0.4254,0.0238,0.0044,0.1970,0.1934,-0.0167,0.0815,0.0000,0.0161,0.4118,0.0000,0.0000,0.0000,0.0001,0.0019,0.0024,0.0148,0.0228,0.0224,0.0353,0.2182,97.0956,0.0001,0.0002,0.0585,0.0048,0.0012,0.1385,0.0018,0.0018,0.0017,0.0018,0.0018,0.0044,0.0000,0.0027,2.2978,2.2978,0.0018,0.0283,
0.2000,0,139.0994,yes,unknown,unknown,unknown,Unknown,7.6611,-6.7659,-3.6971,0.0018,0.0046,0.4254,0.0237,0.0044,0.1979,0.1939,-0.0189,0.0821,0.0000,0.0109,0.5211,0.0000,0.0000,0.0000,0.0001,0.0030,0.0019,0.0272,0.0218,0.0111,0.0600,0.0243,95.4645,0.0001,0.0002,0.0701,0.0048,0.0015,0.1172,0.0018,0.0018,0.0017,0.0018,0.0018,0.0044,0.0000,0.0036,2.2978,2.2978,0.0018,0.0282,
0.2667,0,141.7451,yes,unknown,unknown,unknown,Unknown,9.1126,-3.8373,-2.5233,0.0018,0.0046,0.4255,0.0239,0.0045,0.1956,0.1934,-0.0181,0.0808,0.0000,0.0125,0.2867,0.0001,0.0000,0.0000,0.0001,0.0043,0.0021,0.0241,0.0195,0.0116,0.0368,0.0011,97.4232,0.0000,0.0002,0.0933,0.0029,0.0010,0.1594,0.0018,0.0018,0.0017,0.0018,0.0018,0.0045,0.0000,0.0036,2.2978,2.2978,0.0018,0.0282,
0.3333,0,143.9069,yes,unknown,unknown,unknown,Unknown,9.1470,-4.8897,-2.9186,0.0018,0.0046,0.4256,0.0240,0.0045,0.1942,0.1934,-0.0157,0.0799,0.0000,0.0160,0.1451,0.0001,0.0000,0.0000,0.0001,0.0049,0.0034,0.0180,0.0137,0.0089,0.0339,0.0004,96.8387,0.0000,0.0003,0.0945,0.0024,0.0009,0.1828,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0035,2.2978,2.2978,0.0018,0.0282,
0.4000,0,144.9571,yes,unknown,unknown,unknown,Unknown,8.9662,-4.3968,-2.0834,0.0018,0.0046,0.4257,0.0240,0.0045,0.1938,0.1931,-0.0119,0.0796,0.0000,0.0176,0.0991,0.0001,0.0001,0.0000,0.0001,0.0042,0.0043,0.0071,0.0109,0.0084,0.0219,0.0001,97.1270,0.0000,0.0003,0.1154,0.0022,0.0007,0.1919,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0033,2.2978,2.2978,0.0018,0.0282,
0.4667,0,143.1826,yes,unknown,unknown,unknown,Unknown,9.0355,-3.7735,-3.1558,0.0018,0.0046,0.4258,0.0240,0.0045,0.1936,0.1933,-0.0111,0.0795,0.0000,0.0214,0.0782,0.0001,0.0001,0.0000,0.0001,0.0034,0.0044,0.0029,0.0095,0.0095,0.0296,0.0000,97.4551,0.0000,0.0003,0.1196,0.0017,0.0007,0.1979,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0032,2.2978,2.2978,0.0018,0.0282,
0.5333,0,143.6423,yes,unknown,unknown,unknown,Unknown,7.0718,-4.7474,-4.2846,0.0018,0.0046,0.4258,0.0240,0.0045,0.1937,0.1933,-0.0096,0.0795,0.0000,0.0174,0.0862,0.0001,0.0001,0.0000,0.0001,0.0041,0.0051,0.0027,0.0077,0.0085,0.0304,0.0001,96.9247,0.0000,0.0002,0.1762,0.0017,0.0005,0.1849,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0031,2.2978,2.2978,0.0018,0.0282,
0.6000,0,145.0755,yes,unknown,unknown,unknown,Unknown,7.2898,-3.2374,-4.5749,0.0018,0.0046,0.4259,0.0240,0.0045,0.1936,0.1933,-0.0132,0.0795,0.0000,0.0329,0.0742,0.0001,0.0000,0.0000,0.0001,0.0036,0.0058,0.0019,0.0053,0.0082,0.0285,0.0000,97.7079,0.0000,0.0001,0.2322,0.0015,0.0004,0.1975,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0030,2.2978,2.2978,0.0018,0.0282,
0.6667,0,144.4859,yes,unknown,unknown,unknown,Unknown,7.5979,-2.7526,-3.2134,0.0018,0.0046,0.4260,0.0240,0.0045,0.1936,0.1930,-0.0147,0.0794,0.0000,0.0411,0.0670,0.0001,0.0001,0.0000,0.0001,0.0027,0.0056,0.0017,0.0031,0.0076,0.0171,0.0000,97.9153,0.0000,0.0001,0.1991,0.0010,0.0003,0.1857,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0029,2.2978,2.2978,0.0018,0.0282,
0.7333,0,146.3063,yes,unknown,unknown,unknown,Unknown,6.8399,0.0298,-3.0329,0.0018,0.0046,0.4260,0.0241,0.0045,0.1938,0.1929,-0.0310,0.0793,0.0000,0.0976,0.0567,0.0002,0.0001,0.0000,0.0002,0.0020,0.0067,0.0011,0.0022,0.0076,0.0095,0.0000,98.7800,0.0000,0.0001,0.2667,0.0008,0.0003,0.1836,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0028,2.2978,2.2978,0.0018,0.0282,
0.8000,0,145.4568,yes,unknown,unknown,unknown,Unknown,6.1708,-1.4705,-4.3786,0.0018,0.0046,0.4261,0.0242,0.0045,0.1944,0.1929,-0.0515,0.0795,0.0000,0.1667,0.0759,0.0003,0.0001,0.0000,0.0002,0.0012,0.0065,0.0010,0.0021,0.0081,0.0088,0.0001,98.3792,0.0001,0.0001,0.3081,0.0010,0.0004,0.1658,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0028,2.2978,2.2978,0.0018,0.0282,
0.8667,0,142.2660,yes,unknown,unknown,unknown,Unknown,6.2895,-4.7744,-4.4704,0.0018,0.0046,0.4261,0.0243,0.0045,0.1953,0.1930,-0.0657,0.0798,0.0000,0.2117,0.1394,0.0004,0.0006,0.0000,0.0001,0.0012,0.0069,0.0018,0.0026,0.0091,0.0160,0.0003,96.9085,0.0001,0.0001,0.3129,0.0010,0.0005,0.1605,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0027,2.2978,2.2978,0.0018,0.0282,
0.9333,0,140.2025,yes,unknown,unknown,unknown,Unknown,6.5548,-2.8047,-2.5082,0.0018,0.0046,0.4263,0.0243,0.0044,0.1972,0.1933,-0.0882,0.0807,0.0001,0.2830,0.2858,0.0007,0.0031,0.0000,0.0001,0.0008,0.0056,0.0021,0.0024,0.0140,0.0299,0.0010,97.8939,0.0002,0.0002,0.3384,0.0008,0.0006,0.1535,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0027,2.2978,2.2978,0.0018,0.0282,
1.0000,0,139.1331,yes,unknown,unknown,unknown,Unknown,8.0469,-7.8483,-2.9648,0.0018,0.0046,0.4271,0.0243,0.0044,0.1989,0.1937,-0.1074,0.0815,0.0026,0.3279,0.4228,0.0013,0.0170,0.0000,0.0001,0.0010,0.0046,0.0060,0.0020,0.0214,0.0501,0.0019,94.4294,0.0003,0.0003,0.2943,0.0009,0.0008,0.1422,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0026,2.2978,2.2978,0.0018,0.0282,
1.0667,0,140.2648,yes,unknown,unknown,unknown,Unknown,8.5512,-9.3034,-3.3376,0.0018,0.0047,0.4292,0.0244,0.0043,0.2004,0.1943,-0.1117,0.0817,0.1051,0.5355,0.4391,0.0028,0.1047,0.0000,0.0001,0.0011,0.0046,0.0080,0.0017,0.0348,0.1551,0.0051,92.6853,0.0002,0.0008,0.3597,0.0009,0.0013,0.1422,0.0018,0.0018,0.0018,0.0018,0.0018,0.0043,0.0000,0.0026,2.2978,2.2978,0.0018,0.0282,
1.1333,0,140.1466,yes,unknown,unknown,unknown,Unknown,9.1225,-7.7773,-3.6877,0.0040,0.0035,0.3252,0.0178,0.0031,0.1999,0.1414,4.5458,0.1588,4.8953,0.5243,0.3726,0.0051,0.3745,0.0000,0.0001,0.0017,0.0047,0.0145,0.0022,0.0659,0.5379,0.0144,94.5035,0.0003,0.0053,0.3958,0.0010,0.0022,0.1617,0.0020,0.0018,0.0018,0.0018,0.0018,0.0031,0.0000,0.0026,2.2978,2.2978,0.0018,0.0282,
