TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,127.3386,yes,unknown,unknown,unknown,Unknown,0.4979,-5.8031,6.4258,0.0433,0.0014,0.1194,0.0066,0.0012,0.1959,0.0453,19.2934,1.2452,19.3867,0.1472,0.2311,0.0000,0.0009,0.0000,0.0001,0.0103,0.0002,0.0598,0.0938,0.0096,0.0398,0.0000,96.2290,0.0021,0.0013,0.0786,0.0160,0.0094,0.0231,0.0615,0.0018,0.0017,0.0018,0.0018,0.0012,0.0000,0.0071,2.2978,2.2978,0.0018,0.0280,
0.0667,0,128.7860,yes,unknown,unknown,unknown,Unknown,-1.1450,-3.0931,6.1877,0.0667,0.0012,0.0979,0.0055,0.0010,0.1959,0.0372,21.7746,1.8032,22.0180,0.2022,0.2013,0.0000,0.0006,0.0000,0.0001,0.0371,0.0005,0.0744,0.4980,0.0122,0.0470,0.0000,97.7717,0.0009,0.0012,0.0678,0.0280,0.0094,0.0498,0.0805,0.0018,0.0018,0.0018,0.0018,0.0010,0.0000,0.0062,2.2978,2.2978,0.0018,0.0280,
0.1333,0,129.8994,yes,unknown,unknown,unknown,Unknown,-0.4310,-2.9368,5.3449,0.1596,0.0009,0.0643,0.0038,0.0007,0.1965,0.0249,26.7823,3.7915,27.3637,0.2352,0.2370,0.0000,0.0005,0.0000,0.0001,0.0585,0.0010,0.0719,1.5840,0.0188,0.0330,0.0000,97.8387,0.0005,0.0095,0.1531,0.0360,0.0118,0.0625,0.1409,0.0018,0.0018,0.0018,0.0018,0.0007,0.0000,0.0093,2.2978,2.2978,0.0018,0.0281,
0.2000,0,132.2521,yes,unknown,unknown,unknown,Unknown,0.3597,0.4522,5.4785,1.8035,0.0004,0.0248,0.0014,0.0003,0.1974,0.0081,41.7252,24.8790,42.2645,0.5116,0.1475,0.0000,0.0004,0.0000,0.0001,0.0349,0.0057,0.0589,1.2387,0.0366,0.0389,0.0000,98.6739,0.0002,0.0354,0.3338,0.0214,0.0157,0.0900,1.0570,0.0018,0.0018,0.0018,0.0018,0.0003,0.0000,0.0143,2.2978,2.2978,0.0018,0.0281,
0.2667,0,137.8384,yes,unknown,unknown,unknown,Unknown,2.0591,2.1178,2.8135,40.0957,0.0001,0.0062,0.0004,0.0001,0.2068,0.0016,63.4149,88.4067,64.2206,2.1172,0.0783,0.0002,0.0008,0.0000,0.0001,0.0270,0.0091,0.0100,0.5902,0.0748,0.0217,0.0000,98.1593,0.0001,0.0455,0.6467,0.0060,0.0076,0.0823,14.4923,0.0018,0.0018,0.0018,0.0018,0.0001,0.0000,0.0210,2.2978,2.2978,0.0018,0.0281,
0.3333,0,134.4261,yes,unknown,unknown,unknown,Unknown,1.9861,4.2533,0.1273,89.2818,0.0000,0.0023,0.0002,0.0000,0.2234,0.0005,78.1728,98.5667,79.6154,4.6076,0.0592,0.0005,0.0025,0.0000,0.0001,0.0388,0.0113,0.0036,0.2772,0.1615,0.0123,0.0002,97.2060,0.0001,0.0925,0.8793,0.0035,0.0090,0.1067,28.2846,0.0018,0.0018,0.0018,0.0018,0.0000,0.0000,0.0675,2.2978,2.2978,0.0018,0.0282,
0.4000,0,133.8089,yes,unknown,unknown,unknown,Unknown,1.9867,6.1579,-1.4527,97.3386,0.0000,0.0013,0.0001,0.0000,0.2527,0.0003,86.0854,99.6011,88.6412,8.4788,0.0660,0.0009,0.0097,0.0000,0.0001,0.0418,0.0099,0.0008,0.1428,0.3158,0.0096,0.0008,95.9629,0.0000,0.1218,1.1398,0.0019,0.0100,0.1164,38.4517,0.0018,0.0018,0.0018,0.0018,0.0000,0.0000,0.1362,2.2978,2.2978,0.0018,0.0282,
0.4667,0,134.3991,yes,unknown,unknown,unknown,Unknown,1.6549,4.9058,-2.7358,98.2609,0.0000,0.0011,0.0001,0.0000,0.2969,0.0002,87.1772,99.7261,91.2812,13.6671,0.0579,0.0011,0.0479,0.0000,0.0002,0.0521,0.0117,0.0008,0.0875,0.4608,0.0109,0.0005,96.8288,0.0000,0.1566,1.0620,0.0020,0.0099,0.1367,46.1029,0.0019,0.0018,0.0018,0.0018,0.0000,0.0000,0.1954,2.2979,2.2979,0.0018,0.0282,
0.5333,0,134.5471,yes,unknown,unknown,unknown,Relaxed,2.4468,6.5155,-3.7227,99.1436,0.0000,0.0008,0.0002,0.0000,0.4209,0.0001,88.1546,99.8529,95.6420,25.0971,0.0410,0.0032,0.0572,0.0000,0.0003,0.0628,0.0086,0.0011,0.0480,0.6430,0.0056,0.0002,95.6765,0.0000,0.2626,1.4384,0.0007,0.0095,0.1553,52.0745,0.0019,0.0018,0.0018,0.0018,0.0000,0.0000,0.2247,2.2979,2.2979,0.0018,0.0282,
0.6000,0,134.7759,yes,unknown,unknown,unknown,Relaxed,3.9616,8.0536,-3.9137,99.3984,0.0000,0.0007,0.0006,0.0000,0.6951,0.0001,85.3793,99.8917,97.7918,41.6330,0.0250,0.0105,0.0717,0.0000,0.0002,0.0492,0.0099,0.0024,0.0295,0.8560,0.0022,0.0017,94.2094,0.0000,0.3522,1.9880,0.0003,0.0064,0.1607,56.8567,0.0019,0.0018,0.0018,0.0018,0.0000,0.0000,0.2613,2.2982,2.2982,0.0018,0.0282,
0.6667,0,132.6959,yes,unknown,unknown,unknown,Relaxed,3.1364,6.4972,-3.2756,99.5073,0.0001,0.0007,0.0011,0.0000,0.9679,0.0001,83.2464,99.9090,99.0048,52.5948,0.0121,0.0185,0.0722,0.0000,0.0002,0.0335,0.0063,0.0039,0.0155,0.9909,0.0013,0.0017,95.6916,0.0000,0.1943,1.5326,0.0001,0.0051,0.1348,60.7712,0.0019,0.0018,0.0018,0.0018,0.0000,0.0000,0.2509,2.2987,2.2987,0.0018,0.0282,
0.7333,0,130.8672,yes,unknown,unknown,unknown,Relaxed,3.7567,6.9649,-4.0955,99.5456,0.0001,0.0007,0.0017,0.0000,1.2294,0.0001,81.4259,99.9148,99.4663,60.1255,0.0123,0.0361,0.0725,0.0000,0.0001,0.0348,0.0062,0.0090,0.0101,1.3678,0.0007,0.0010,95.2891,0.0000,0.1515,1.3577,0.0001,0.0049,0.1260,64.0329,0.0019,0.0018,0.0018,0.0018,0.0000,0.0000,0.2385,2.2996,2.2996,0.0018,0.0282,
0.8000,0,132.0477,yes,unknown,unknown,unknown,Relaxed,4.9545,6.7635,-4.3322,99.5613,0.0000,0.0007,0.0006,0.0000,0.7967,0.0001,86.0976,99.9169,99.6444,45.0415,0.0143,0.0229,0.0857,0.0000,0.0001,0.0315,0.0045,0.0204,0.0126,1.6648,0.0006,0.0016,95.4666,0.0000,0.0871,0.8581,0.0001,0.0049,0.1058,66.7923,0.0020,0.0018,0.0018,0.0018,0.0000,0.0000,0.2231,2.3001,2.3001,0.0018,0.0282,
0.8667,0,131.5234,yes,unknown,unknown,unknown,Relaxed,4.4124,7.7069,-3.8822,99.5643,0.0000,0.0007,0.0004,0.0000,0.7023,0.0001,87.4278,99.9173,99.6808,40.7018,0.0174,0.0245,0.0906,0.0000,0.0001,0.0243,0.0050,0.0398,0.0160,1.7339,0.0007,0.0003,94.5762,0.0000,0.0859,0.6555,0.0002,0.0048,0.1134,69.1575,0.0020,0.0018,0.0018,0.0018,0.0000,0.0000,0.2082,2.3009,2.3009,0.0018,0.0282,
0.9333,0,132.0904,yes,unknown,unknown,unknown,Relaxed,4.0133,7.2760,-4.5634,99.5654,0.0000,0.0007,0.0002,0.0000,0.4632,0.0001,91.7459,99.9171,99.6576,26.1863,0.0268,0.0237,0.1057,0.0000,0.0001,0.0233,0.0038,0.0300,0.0241,2.0985,0.0009,0.0004,95.0017,0.0000,0.0684,0.5264,0.0002,0.0044,0.1040,71.2069,0.0020,0.0018,0.0018,0.0018,0.0000,0.0000,0.1948,2.3019,2.3019,0.0018,0.0282,
1.0000,0,132.8853,yes,unknown,unknown,unknown,Relaxed,3.4513,6.2694,-4.8939,99.5746,0.0000,0.0007,0.0001,0.0000,0.4169,0.0001,93.0638,99.9181,99.7467,22.1284,0.0254,0.0169,0.1181,0.0000,0.0001,0.0231,0.0037,0.0242,0.0317,2.4464,0.0009,0.0017,95.8756,0.0000,0.1086,0.4371,0.0004,0.0048,0.1133,72.9997,0.0020,0.0018,0.0018,0.0018,0.0000,0.0000,0.1830,2.3035,2.3035,0.0018,0.0282,
1.0667,0,133.3661,yes,unknown,unknown,unknown,Relaxed,4.2388,6.0010,-5.1064,99.5852,0.0000,0.0007,0.0001,0.0000,0.3819,0.0001,94.4689,99.9185,99.7840,17.5620,0.0385,0.0129,0.1150,0.0001,0.0001,0.0244,0.0044,0.0168,0.0435,3.5147,0.0009,0.0005,96.0827,0.0000,0.1008,0.4423,0.0005,0.0045,0.1335,79.2376,0.0021,0.0018,0.0018,0.0018,0.0000,0.0000,0.1828,2.3050,2.3050,0.0018,0.0282,
1.1333,0,133.6495,yes,unknown,unknown,unknown,Relaxed,3.5509,4.8043,-4.2961,99.6060,0.0000,0.0007,0.0001,0.0000,0.4284,0.0001,94.4471,99.9194,99.8603,18.0721,0.0661,0.0064,0.1076,0.0002,0.0001,0.0311,0.0063,0.0169,0.0400,5.6973,0.0005,0.0002,96.8906,0.0000,0.2269,0.4322,0.0012,0.0048,0.1664,85.4692,0.0022,0.0018,0.0018,0.0018,0.0000,0.0000,0.1828,2.3057,2.3057,0.0018,0.0282,
1.2000,0,133.2745,yes,unknown,unknown,unknown,Relaxed,3.7029,3.9615,-4.9402,99.6219,0.0000,0.0007,0.0001,0.0000,0.4509,0.0001,94.9884,99.9196,99.8728,16.3942,0.1002,0.0043,0.0864,0.0003,0.0001,0.0366,0.0064,0.0237,0.0261,7.9150,0.0004,0.0009,97.3602,0.0000,0.2611,0.4749,0.0013,0.0046,0.1755,91.6845,0.0024,0.0018,0.0018,0.0018,0.0000,0.0000,0.1820,2.3061,2.3061,0.0018,0.0283,
1.2667,0,133.0835,yes,unknown,unknown,unknown,Relaxed,4.2843,5.3710,-4.6980,99.6377,0.0000,0.0008,0.0001,0.0000,0.5224,0.0001,94.6222,99.9195,99.8663,17.6323,0.1217,0.0032,0.0661,0.0005,0.0001,0.0461,0.0056,0.0404,0.0210,10.3530,0.0004,0.0013,96.5303,0.0000,0.2803,0.4794,0.0022,0.0047,0.2023,97.6682,0.0027,0.0018,0.0018,0.0018,0.0000,0.0000,0.1804,2.3065,2.3065,0.0018,0.0283,
1.3333,0,133.8391,yes,unknown,unknown,unknown,Relaxed,3.2698,4.0529,-4.8436,99.6369,0.0000,0.0008,0.0001,0.0000,0.5123,0.0001,94.9646,99.9191,99.8348,16.4665,0.1807,0.0018,0.0460,0.0005,0.0001,0.0437,0.0049,0.0818,0.0160,10.6286,0.0004,0.0005,97.3128,0.0000,0.3402,0.4889,0.0025,0.0059,0.2041,99.6235,0.0031,0.0018,0.0018,0.0018,0.0000,0.0000,0.1776,2.3067,2.3067,0.0018,0.0283,
1.4000,0,134.3484,yes,unknown,unknown,unknown,Relaxed,3.2667,4.2133,-4.0706,99.6476,0.0000,0.0008,0.0001,0.0000,0.5411,0.0001,95.1848,99.9196,99.8755,15.7762,0.3185,0.0011,0.0352,0.0005,0.0001,0.0373,0.0058,0.1673,0.0092,12.1535,0.0002,0.0003,97.2276,0.0000,0.4103,0.4906,0.0038,0.0069,0.2218,99.7559,0.0035,0.0018,0.0018,0.0018,0.0000,0.0000,0.1591,2.3068,2.3068,0.0018,0.0284,
1.4667,0,133.3736,yes,unknown,unknown,unknown,Relaxed,2.6312,2.8855,-4.9119,99.6592,0.0000,0.0008,0.0001,0.0000,0.5718,0.0001,95.2891,99.9204,99.9445,15.5610,0.3693,0.0007,0.0293,0.0006,0.0001,0.0195,0.0071,0.0655,0.0063,13.4741,0.0001,0.0006,97.8604,0.0000,0.3603,0.5659,0.0026,0.0066,0.2256,99.7395,0.0040,0.0018,0.0018,0.0018,0.0000,0.0000,0.1250,2.3069,2.3069,0.0018,0.0285,
