TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,102.7404,yes,unknown,unknown,unknown,Unknown,-3.9094,-13.6675,3.7732,0.0019,0.0045,0.4224,0.0238,0.0045,0.1931,0.1923,0.0934,0.0803,0.1136,0.0002,0.0099,0.0003,0.0103,0.0000,0.0004,0.0018,0.0016,0.0057,0.0449,0.0421,0.0605,0.0001,84.1110,0.0000,0.0031,0.0553,0.0009,0.0022,0.0537,0.0019,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0046,2.2977,2.2977,0.0018,0.0281,
0.0667,0,102.2316,yes,unknown,unknown,unknown,Unknown,-4.6657,-13.9296,4.4989,0.0019,0.0045,0.4213,0.0237,0.0045,0.1932,0.1912,0.1611,0.0810,0.1773,0.0001,0.0071,0.0005,0.0135,0.0000,0.0003,0.0007,0.0012,0.0043,0.0288,0.0578,0.0549,0.0000,83.3976,0.0000,0.0026,0.0496,0.0006,0.0015,0.0812,0.0019,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0088,2.2977,2.2977,0.0018,0.0281,
0.1333,0,102.7378,yes,unknown,unknown,unknown,Unknown,-4.0733,-14.5202,4.8677,0.0019,0.0045,0.4225,0.0237,0.0045,0.1933,0.1917,0.1191,0.0805,0.1357,0.0001,0.0050,0.0004,0.0137,0.0000,0.0002,0.0005,0.0010,0.0034,0.0296,0.0664,0.0470,0.0000,81.6972,0.0000,0.0015,0.0384,0.0005,0.0011,0.0907,0.0019,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0111,2.2977,2.2977,0.0018,0.0281,
0.2000,0,101.2253,yes,unknown,unknown,unknown,Unknown,-5.4113,-12.5372,5.1401,0.0019,0.0045,0.4229,0.0237,0.0045,0.1933,0.1914,0.1316,0.0806,0.1431,0.0001,0.0057,0.0004,0.0155,0.0000,0.0001,0.0003,0.0011,0.0032,0.0114,0.0641,0.0396,0.0000,86.9047,0.0000,0.0025,0.0452,0.0003,0.0008,0.0944,0.0019,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0119,2.2977,2.2977,0.0018,0.0281,
0.2667,0,101.7837,yes,unknown,unknown,unknown,Unknown,-5.7966,-12.1681,5.0037,0.0019,0.0045,0.4238,0.0238,0.0045,0.1933,0.1916,0.1099,0.0804,0.1228,0.0001,0.0053,0.0003,0.0206,0.0000,0.0001,0.0003,0.0011,0.0018,0.0092,0.0638,0.0359,0.0000,87.7221,0.0000,0.0026,0.0445,0.0002,0.0005,0.0929,0.0019,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0115,2.2977,2.2977,0.0018,0.0281,
0.3333,0,105.6697,yes,unknown,unknown,unknown,Unknown,-4.8768,-12.2657,5.4076,0.0019,0.0045,0.4237,0.0237,0.0045,0.1937,0.1914,0.1026,0.0804,0.1212,0.0001,0.0079,0.0002,0.0209,0.0000,0.0002,0.0003,0.0011,0.0012,0.0281,0.1061,0.0228,0.0000,87.5105,0.0000,0.0023,0.0382,0.0003,0.0008,0.1237,0.0019,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0124,2.2978,2.2978,0.0018,0.0281,
0.4000,0,107.5661,yes,unknown,unknown,unknown,Unknown,-4.9728,-11.0254,5.0745,0.0019,0.0045,0.4236,0.0237,0.0045,0.1940,0.1916,0.0852,0.0802,0.1075,0.0001,0.0062,0.0002,0.0166,0.0000,0.0002,0.0002,0.0012,0.0005,0.0475,0.1458,0.0225,0.0000,89.9793,0.0000,0.0015,0.0319,0.0003,0.0007,0.1766,0.0019,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0141,2.2978,2.2978,0.0018,0.0281,
0.4667,0,108.4197,yes,unknown,unknown,unknown,Unknown,-5.0469,-11.4576,4.3849,0.0019,0.0046,0.4236,0.0237,0.0045,0.1941,0.1919,0.0347,0.0800,0.0726,0.0001,0.0058,0.0002,0.0202,0.0000,0.0002,0.0003,0.0016,0.0004,0.0930,0.1626,0.0135,0.0000,89.1725,0.0000,0.0015,0.0269,0.0004,0.0008,0.2115,0.0019,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0146,2.2979,2.2979,0.0018,0.0281,
0.5333,0,109.5223,yes,unknown,unknown,unknown,Unknown,-5.1838,-12.0086,4.6276,0.0019,0.0046,0.4228,0.0237,0.0045,0.1941,0.1919,0.0161,0.0800,0.0642,0.0001,0.0043,0.0002,0.0190,0.0000,0.0002,0.0002,0.0021,0.0005,0.1284,0.1581,0.0098,0.0000,88.0616,0.0000,0.0008,0.0232,0.0004,0.0010,0.1407,0.0019,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0170,2.2981,2.2981,0.0018,0.0281,
0.6000,0,108.8509,yes,unknown,unknown,unknown,Unknown,-4.7363,-12.0517,4.6028,0.0018,0.0046,0.4221,0.0238,0.0045,0.1939,0.1923,-0.0165,0.0800,0.0425,0.0001,0.0048,0.0002,0.0177,0.0000,0.0001,0.0002,0.0024,0.0016,0.1653,0.1381,0.0117,0.0000,87.9707,0.0000,0.0006,0.0233,0.0006,0.0013,0.0992,0.0019,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0196,2.2983,2.2983,0.0018,0.0281,
