TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,112.1766,yes,unknown,unknown,unknown,Unknown,-3.5547,1.6397,-17.1608,0.0028,0.0039,0.3038,0.0194,0.0038,0.1929,0.1604,1.6776,0.1130,2.5110,0.0026,0.0041,0.0021,0.0104,0.0000,0.0003,0.0403,0.0658,0.0180,2.6974,0.0266,0.0418,0.0034,98.3244,0.0000,0.0001,0.0076,0.0264,0.0284,0.0581,0.0029,0.0018,0.0018,0.0019,0.0018,0.0038,0.0000,0.0018,2.2983,2.2983,0.0018,0.0280,
0.0667,0,112.4886,yes,unknown,unknown,unknown,Unknown,-9.3767,2.6267,1.2340,0.0029,0.0038,0.3107,0.0192,0.0038,0.1930,0.1583,2.1838,0.1181,2.8169,0.0023,0.0117,0.0005,0.0036,0.0000,0.0009,0.0458,0.1156,0.0225,2.0314,0.0274,0.1382,0.0138,97.9661,0.0000,0.0002,0.0051,0.0243,0.0300,0.0721,0.0030,0.0018,0.0018,0.0019,0.0018,0.0038,0.0000,0.0018,2.2983,2.2983,0.0018,0.0281,
0.1333,0,113.6346,yes,unknown,unknown,unknown,Unknown,-11.2327,4.6447,0.3672,0.0030,0.0038,0.3058,0.0189,0.0037,0.1931,0.1543,2.4124,0.1221,3.0520,0.0033,0.0066,0.0007,0.0041,0.0000,0.0009,0.0574,0.0801,0.0154,2.0464,0.0381,0.0606,0.0429,96.9853,0.0000,0.0001,0.0048,0.0223,0.0270,0.0738,0.0030,0.0018,0.0018,0.0019,0.0018,0.0037,0.0000,0.0018,2.2983,2.2983,0.0018,0.0281,
0.2000,0,112.2593,yes,unknown,unknown,unknown,Unknown,-8.1955,10.5091,3.9149,0.0057,0.0030,0.2460,0.0147,0.0029,0.1933,0.1155,6.4790,0.2129,6.9492,0.0056,0.0151,0.0007,0.0032,0.0000,0.0005,0.0517,0.0865,0.0156,1.4875,0.0567,0.0793,0.1568,90.8726,0.0000,0.0001,0.0033,0.0226,0.0406,0.0841,0.0039,0.0018,0.0018,0.0019,0.0018,0.0029,0.0000,0.0018,2.2985,2.2985,0.0018,0.0281,
0.2667,0,113.1017,yes,unknown,unknown,unknown,Unknown,-7.0144,8.5091,4.2898,0.0101,0.0024,0.1985,0.0117,0.0023,0.1937,0.0891,10.0405,0.3502,10.4435,0.0051,0.0271,0.0006,0.0016,0.0000,0.0004,0.0348,0.1094,0.0137,1.2858,0.0901,0.1061,0.1798,93.6919,0.0000,0.0002,0.0028,0.0208,0.0546,0.0839,0.0056,0.0018,0.0018,0.0019,0.0018,0.0023,0.0000,0.0018,2.2985,2.2985,0.0018,0.0281,
0.3333,0,111.8730,yes,unknown,unknown,unknown,Unknown,-6.1375,10.6764,9.5154,0.0266,0.0017,0.1325,0.0078,0.0015,0.1944,0.0578,15.8837,0.8123,16.3661,0.0064,0.0497,0.0005,0.0012,0.0000,0.0003,0.0231,0.1495,0.0192,1.5567,0.1351,0.2102,0.0137,90.5913,0.0000,0.0004,0.0023,0.0240,0.0872,0.0729,0.0106,0.0018,0.0018,0.0019,0.0018,0.0015,0.0000,0.0018,2.2985,2.2985,0.0018,0.0281,
0.4000,0,111.6446,yes,unknown,unknown,unknown,Unknown,-7.5612,0.6084,-16.4430,0.0162,0.0021,0.1649,0.0096,0.0019,0.1946,0.0720,12.9304,0.5281,13.3320,0.0060,0.0411,0.0008,0.0010,0.0000,0.0003,0.0478,0.1972,0.0252,1.2570,0.1697,0.1301,0.0175,98.6324,0.0000,0.0003,0.0039,0.0183,0.0452,0.0709,0.0120,0.0018,0.0018,0.0019,0.0018,0.0019,0.0000,0.0018,2.2986,2.2986,0.0018,0.0281,
0.4667,0,116.7617,yes,unknown,unknown,unknown,Unknown,-13.1360,1.8503,2.5177,0.0066,0.0029,0.2368,0.0139,0.0027,0.1946,0.1084,7.4173,0.2409,7.8164,0.0042,0.0287,0.0009,0.0008,0.0000,0.0004,0.0639,0.0776,0.0288,1.2304,0.1836,0.0990,0.4572,98.2535,0.0000,0.0002,0.0050,0.0180,0.0227,0.0505,0.0115,0.0018,0.0018,0.0019,0.0018,0.0027,0.0000,0.0018,2.2985,2.2985,0.0018,0.0281,
0.5333,0,118.4400,yes,unknown,unknown,unknown,Unknown,-12.4937,2.5762,2.6089,0.0070,0.0028,0.2386,0.0136,0.0026,0.1952,0.1055,7.8981,0.2532,8.1662,0.0042,0.0407,0.0012,0.0012,0.0000,0.0004,0.0825,0.0523,0.0221,0.7810,0.2407,0.0884,1.4023,97.9861,0.0000,0.0002,0.0049,0.0139,0.0150,0.0470,0.0111,0.0019,0.0018,0.0019,0.0018,0.0026,0.0000,0.0018,2.2985,2.2985,0.0018,0.0281,
0.6000,0,115.8940,yes,unknown,unknown,unknown,Unknown,-10.3738,2.3349,8.2598,0.0183,0.0020,0.1656,0.0092,0.0018,0.1971,0.0681,13.8783,0.5857,14.0607,0.0063,0.1016,0.0020,0.0016,0.0000,0.0003,0.0614,0.0613,0.0102,0.5249,0.3964,0.1198,1.0662,98.0792,0.0000,0.0002,0.0044,0.0106,0.0141,0.0613,0.0123,0.0019,0.0019,0.0019,0.0018,0.0018,0.0000,0.0018,2.2985,2.2985,0.0018,0.0282,
