TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,113.8344,yes,unknown,unknown,unknown,Unknown,-1.4240,0.8377,-7.7048,0.0018,0.0046,0.4251,0.0248,0.0045,0.1956,0.1931,-0.1693,0.0793,0.0000,0.4834,0.0129,0.0012,0.0001,0.0000,0.0009,0.0412,0.0194,0.0082,0.0284,0.0012,0.0217,0.0068,98.5691,0.0000,0.0002,0.0034,0.0288,0.0159,0.0270,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.0667,0,115.0236,yes,unknown,unknown,unknown,Unknown,-1.5396,0.3938,-5.9830,0.0018,0.0046,0.4251,0.0247,0.0045,0.1954,0.1931,-0.1515,0.0792,0.0000,0.4479,0.0108,0.0017,0.0001,0.0000,0.0009,0.0194,0.0177,0.0078,0.0290,0.0012,0.0213,0.0045,98.6891,0.0000,0.0021,0.0082,0.0244,0.0131,0.0260,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.1333,0,114.4170,yes,unknown,unknown,unknown,Unknown,-2.5632,0.2585,-4.9102,0.0018,0.0046,0.4251,0.0247,0.0045,0.1951,0.1932,-0.1407,0.0792,0.0000,0.4091,0.0091,0.0017,0.0001,0.0000,0.0009,0.0186,0.0146,0.0071,0.0329,0.0011,0.0248,0.0044,98.7236,0.0000,0.0020,0.0086,0.0221,0.0101,0.0227,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.2000,0,113.7054,yes,unknown,unknown,unknown,Unknown,-2.5874,0.7083,-4.7840,0.0018,0.0046,0.4251,0.0248,0.0045,0.1954,0.1931,-0.1527,0.0792,0.0000,0.4552,0.0090,0.0016,0.0001,0.0000,0.0009,0.0151,0.0155,0.0083,0.0303,0.0010,0.0217,0.0094,98.6052,0.0000,0.0028,0.0095,0.0219,0.0109,0.0219,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.2667,0,113.8256,yes,unknown,unknown,unknown,Unknown,-3.2518,1.0078,-5.5322,0.0018,0.0046,0.4244,0.0249,0.0044,0.1959,0.1930,-0.1895,0.0794,0.0000,0.5321,0.0141,0.0019,0.0001,0.0000,0.0011,0.0310,0.0156,0.0096,0.0558,0.0009,0.0179,0.0102,98.5203,0.0001,0.0012,0.0106,0.0388,0.0137,0.0208,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.3333,0,111.2011,yes,unknown,unknown,unknown,Unknown,-4.1540,-0.0719,-4.5819,0.0018,0.0046,0.4238,0.0249,0.0044,0.1962,0.1932,-0.2157,0.0795,0.0000,0.5791,0.0124,0.0016,0.0001,0.0000,0.0008,0.0346,0.0118,0.0278,0.0752,0.0011,0.0271,0.0208,98.7698,0.0001,0.0011,0.0079,0.0417,0.0106,0.0198,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.4000,0,112.7104,yes,unknown,unknown,unknown,Unknown,-3.8251,1.0304,-4.9644,0.0018,0.0046,0.4234,0.0250,0.0044,0.1964,0.1932,-0.2440,0.0796,0.0000,0.6240,0.0107,0.0021,0.0001,0.0000,0.0007,0.0243,0.0095,0.0725,0.0903,0.0013,0.0273,0.0133,98.5137,0.0002,0.0013,0.0093,0.0338,0.0095,0.0189,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.4667,0,112.2065,yes,unknown,unknown,unknown,Unknown,-3.8296,0.5086,-5.3800,0.0018,0.0046,0.4229,0.0249,0.0044,0.1964,0.1933,-0.2799,0.0800,0.0000,0.6289,0.0103,0.0024,0.0001,0.0000,0.0006,0.0180,0.0064,0.1767,0.1079,0.0014,0.0305,0.0029,98.6590,0.0002,0.0020,0.0102,0.0349,0.0092,0.0184,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.5333,0,111.5033,yes,unknown,unknown,unknown,Unknown,-2.4579,1.6592,-4.2736,0.0018,0.0046,0.4223,0.0250,0.0044,0.1969,0.1935,-0.3701,0.0813,0.0000,0.7045,0.0126,0.0026,0.0001,0.0000,0.0006,0.0101,0.0060,0.3850,0.1329,0.0018,0.0419,0.0014,98.3179,0.0004,0.0022,0.0122,0.0333,0.0088,0.0183,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
0.6000,0,109.6264,yes,unknown,unknown,unknown,Unknown,-3.2089,0.0560,-4.8807,0.0018,0.0046,0.4221,0.0250,0.0044,0.1971,0.1941,-0.3955,0.0816,0.0000,0.7285,0.0180,0.0020,0.0001,0.0000,0.0005,0.0093,0.0059,0.4422,0.1374,0.0021,0.0686,0.0007,98.7737,0.0006,0.0019,0.0112,0.0338,0.0075,0.0195,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0018,2.2978,2.2978,0.0018,0.0280,
